<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1I01BSET50-O,20260508,2.68,2.68,2.68,2.68,2
2I01BSET50-O,20260508,2.9,2.9,2.89,2.89,21
2X01BSET50-O,20260508,7.23,7.23,7.23,7.23,17
BMSCITH-O,20260508,12.41,12.41,12.4,12.4,15
BSET100-O,20260508,11.02,11.02,11.02,11.02,5
GLD-O,20260508,6.04,6.07,6.03,6.03,389
TDEX-O,20260508,9.72,9.72,9.68,9.69,379
UHERO-O,20260508,8.1,8.1,6,6,10
1DIV,20260508,12.43,12.47,12.42,12.45,23300
1I01BSET50,20260508,3.82,3.84,3.82,3.84,600
2I01BSET50,20260508,2.92,2.94,2.9,2.94,874900
2X01BSET50,20260508,7.21,7.27,7.18,7.19,204900
BMSCG,20260508,8.41,8.42,8.41,8.41,1500
BMSCITH,20260508,12.44,12.45,12.32,12.33,144200
BSET100,20260508,10.97,11.04,10.97,10.99,31200
CHINA,20260508,7.44,7.46,7.43,7.43,45300
GLD,20260508,6.01,6.03,6.01,6.01,1256900
TDEX,20260508,9.71,9.72,9.66,9.69,211500
UBOT,20260508,14.69,14.69,14.69,14.69,600
UHERO,20260508,7.99,8.11,7.99,8.11,5200
2S,20260508,3.1,3.36,3.06,3.14,1698400
3BBIF,20260508,6.65,6.7,6.55,6.6,35609000
88TH,20260508,4.44,4.48,4.38,4.42,361100
A5,20260508,1.82,1.84,1.82,1.84,11700
AAI,20260508,3.44,3.46,3.42,3.42,1507800
AAV,20260508,1.07,1.08,1.06,1.07,22250400
ABM,20260508,0.45,0.47,0.45,0.45,192200
ACC,20260508,0.41,0.44,0.4,0.41,5642400
ACE,20260508,1.28,1.28,1.27,1.28,658000
ACG,20260508,0.67,0.67,0.65,0.65,13600
ADB,20260508,0.57,0.58,0.57,0.58,35300
ADD,20260508,3.22,3.46,3.22,3.36,64700
ADVANC,20260508,353,355,349,350,12604300
ADVICE,20260508,6,6.05,5.9,5.95,676000
AE,20260508,0.07,0.08,0.07,0.07,1303100
AEONTS,20260508,94,94.5,93,94.25,530600
AF,20260508,0.36,0.37,0.36,0.37,900
AFC,20260508,3.2,3.2,3.2,3.2,200
AGE,20260508,1.23,1.24,1.22,1.24,457800
AH,20260508,13.9,13.9,13.6,13.7,138200
AHC,20260508,12,12.3,11.9,12.1,281500
AI,20260508,2.9,2.94,2.9,2.9,254800
AIE,20260508,1.17,1.2,1.17,1.18,1104200
AIMCG,20260508,1.36,1.37,1.33,1.36,18700
AIMIRT,20260508,11.4,11.6,11.4,11.5,470600
AIRA,20260508,1.09,1.09,1.09,1.09,200
AIT,20260508,4.72,4.74,4.7,4.72,411700
AJ,20260508,2.7,2.78,2.7,2.74,2279900
AJA,20260508,0.15,0.16,0.14,0.15,6972200
AKP,20260508,0.75,0.77,0.75,0.76,2879200
AKR,20260508,0.85,0.87,0.85,0.87,11168800
ALLA,20260508,1.18,1.18,1.16,1.18,1781300
ALLY,20260508,4.6,4.64,4.6,4.6,396900
ALPHAX,20260508,0.36,0.36,0.35,0.35,2503500
ALT,20260508,1.33,1.35,1.26,1.26,3536800
ALUCON,20260508,228,230,227,228,3800
AMA,20260508,3.9,3.96,3.9,3.92,105500
AMANAH,20260508,0.63,0.63,0.62,0.63,819000
AMARC,20260508,4.88,5.5,4.76,4.92,7872800
AMARIN,20260508,2.8,2.92,2.68,2.92,13300
AMATA,20260508,20.5,21,20.5,20.8,11797500
AMATAR,20260508,6.9,7,6.9,7,70000
AMATAV,20260508,1.96,1.96,1.94,1.95,107100
AMC,20260508,2.44,2.62,2.44,2.62,70400
AMR,20260508,0.34,0.34,0.32,0.34,183400
ANAN,20260508,0.35,0.36,0.35,0.35,1890300
ANI,20260508,2.6,2.64,2.58,2.6,4400
AOT,20260508,52,52.25,51.25,51.25,23344200
AP,20260508,7.9,7.95,7.75,7.75,12375600
APCO,20260508,2.6,2.64,2.58,2.64,42600
APCS,20260508,1.51,1.51,1.51,1.51,22000
APO,20260508,2.24,2.34,2.24,2.3,1449400
APP,20260508,2.62,2.66,2.6,2.62,377900
APURE,20260508,2.08,2.26,2.06,2.18,314600
AQUA,20260508,0.1,0.11,0.1,0.11,6193600
ARIN,20260508,0.5,0.5,0.49,0.5,332600
ARIP,20260508,0.45,0.45,0.44,0.44,46900
ARROW,20260508,5.05,5.05,5,5,1000
AS,20260508,2.72,2.8,2.72,2.74,2457100
ASAP,20260508,1.41,1.5,1.21,1.21,119800
ASEFA,20260508,3.86,3.9,3.86,3.88,209600
ASIA,20260508,5.3,5.35,5.25,5.35,29700
ASIAN,20260508,7.05,7.05,6.95,7.05,656300
ASIMAR,20260508,1.46,1.46,1.42,1.43,133500
ASK,20260508,9.4,9.4,9.2,9.25,1005700
ASN,20260508,0.65,0.72,0.65,0.68,18000
ASP,20260508,2.08,2.12,2.08,2.12,605700
ASW,20260508,7.05,7.15,7,7.15,121000
ATLAS,20260508,1.88,1.9,1.86,1.88,2945800
ATP30,20260508,0.82,0.82,0.81,0.82,96600
AU,20260508,4.52,4.52,4.46,4.46,391800
AUCT,20260508,4.7,4.7,4.5,4.5,2092100
AURA,20260508,13.8,13.9,13.6,13.8,2920000
AWC,20260508,2.08,2.14,2.06,2.14,55216500
AXTRART,20260508,13.4,13.4,13.2,13.4,1587400
AYUD,20260508,37.5,37.5,36.75,37,14200
B,20260508,0.04,0.04,0.03,0.03,445300
B-WORK,20260508,6.05,6.05,5.95,6.05,449500
B52,20260508,0.26,0.26,0.23,0.24,162800
BA,20260508,14.2,14.3,14.1,14.2,5718600
BAFS,20260508,8.45,8.5,8.4,8.45,137600
BAM,20260508,6.75,6.8,6.7,6.7,6879500
BANPU,20260508,5.85,5.95,5.8,5.8,18834300
BAREIT,20260508,10.7,10.8,10.7,10.8,247400
BAY,20260508,27.5,28,27.25,28,634900
BBGI,20260508,4.26,4.32,4.16,4.2,2356400
BBIK,20260508,18.8,18.8,18,18.2,1764100
BBL,20260508,161.5,163.5,161.5,163,7201600
BC,20260508,0.72,0.79,0.72,0.74,280100
BCH,20260508,9.3,9.35,9.25,9.3,3001900
BCP,20260508,35.75,36,35,35.25,2350300
BCPG,20260508,7.55,7.6,7.45,7.6,8845100
BCT,20260508,46,46,45.25,46,600
BDMS,20260508,18.5,18.6,18.3,18.4,34198800
BE8,20260508,5.35,5.35,5.25,5.3,161400
BEAUTY,20260508,0.38,0.38,0.36,0.37,6708000
BEC,20260508,1.83,1.83,1.81,1.83,487500
BEM,20260508,5.4,5.45,5.35,5.4,21517200
BEYOND,20260508,8.5,8.6,8.5,8.6,9800
BGC,20260508,5.85,5.85,5.8,5.8,60100
BGRIM,20260508,13.7,14.3,13.6,13.9,22805900
BGT,20260508,0.36,0.37,0.36,0.37,65700
BH,20260508,179,180.5,177.5,178.5,2768800
BIG,20260508,0.29,0.3,0.28,0.3,346100
BIOTEC,20260508,0.26,0.27,0.26,0.27,1945400
BIS,20260508,2.04,2.04,2,2.02,28500
BIZ,20260508,4.72,4.8,4.7,4.74,246000
BJC,20260508,14.3,14.4,14.1,14.2,3710300
BJCHI,20260508,0.68,0.69,0.67,0.67,151600
BKA,20260508,0.75,0.76,0.74,0.75,313300
BKD,20260508,1.07,1.08,1.07,1.07,11900
BKGI,20260508,1.4,1.43,1.4,1.41,93600
BKIH,20260508,328,331,327,330,26000
BLA,20260508,20.7,20.7,20.5,20.6,356900
BLAND,20260508,0.44,0.45,0.44,0.45,1317600
BLC,20260508,3.88,3.9,3.86,3.9,207300
BLESS,20260508,0.25,0.25,0.23,0.24,245000
BM,20260508,1.01,1.04,1,1.04,1896700
BOFFICE,20260508,5.7,5.7,5.6,5.7,375900
BOL,20260508,4.96,4.98,4.94,4.96,106400
BPP,20260508,11.9,12,11.8,11.9,150600
BPS,20260508,0.53,0.53,0.52,0.52,228100
BR,20260508,1.65,1.65,1.63,1.64,166000
BRI,20260508,1.28,1.3,1.27,1.3,140200
BRR,20260508,3.62,3.64,3.6,3.64,50600
BRRGIF,20260508,3.8,3.8,3.78,3.8,193400
BSBM,20260508,0.58,0.69,0.57,0.66,4372100
BSM,20260508,0.34,0.35,0.34,0.35,8000
BTC,20260508,0.18,0.19,0.17,0.18,4185700
BTG,20260508,22.2,22.2,21.8,21.9,3511400
BTNC,20260508,16.2,16.3,16.2,16.3,1600
BTS,20260508,2.08,2.08,2.06,2.06,19971200
BTSGIF,20260508,2.62,2.64,2.6,2.64,4172200
BTW,20260508,0.08,0.08,0.08,0.08,81200
BUI,20260508,11,11,10.9,10.9,11100
BVG,20260508,1.63,1.64,1.61,1.62,237000
BWG,20260508,0.3,0.31,0.29,0.29,30689800
BYD,20260508,0.5,0.5,0.49,0.5,415900
CAZ,20260508,1.65,1.65,1.56,1.6,111800
CBG,20260508,39,41.25,39,40.5,15586800
CCET,20260508,5.95,6.05,5.9,5.95,35523600
CCP,20260508,0.26,0.26,0.25,0.25,588500
CEN,20260508,0.61,0.65,0.61,0.64,1706400
CENTEL,20260508,30.75,31.25,30.25,31,4767100
CEYE,20260508,1.17,1.21,1.15,1.21,11400
CFARM,20260508,0.8,0.82,0.78,0.79,1996400
CFRESH,20260508,0.82,0.83,0.8,0.83,613900
CGD,20260508,0.11,0.12,0.11,0.11,1279100
CGH,20260508,0.44,0.48,0.44,0.47,1208300
CH,20260508,1.56,1.56,1.54,1.55,68200
CHAO,20260508,4.42,4.42,4.4,4.4,13000
CHASE,20260508,0.45,0.46,0.45,0.45,223900
CHAYO,20260508,1.03,1.06,1.03,1.05,9657400
CHEWA,20260508,0.16,0.18,0.16,0.18,240400
CHG,20260508,1.4,1.4,1.39,1.4,5969100
CHIC,20260508,0.3,0.31,0.3,0.3,131800
CHOW,20260508,1.33,1.67,1.33,1.54,9130600
CI,20260508,0.32,0.34,0.32,0.33,307600
CIG,20260508,0.02,0.03,0.02,0.03,316200
CITY,20260508,1.17,1.22,1.17,1.21,102000
CIVIL,20260508,0.86,0.86,0.85,0.86,40400
CK,20260508,18.5,19.2,18.5,18.9,22191900
CKP,20260508,2.34,2.36,2.32,2.36,3302600
CM,20260508,1.62,1.62,1.62,1.62,100
CMAN,20260508,2.8,2.96,2.72,2.82,4211400
CMC,20260508,0.36,0.36,0.33,0.35,122500
CMO,20260508,0.71,0.71,0.68,0.68,1212300
CMR,20260508,1.3,1.31,1.29,1.29,81500
CNT,20260508,1.21,1.41,1.18,1.4,15776100
COCOCO,20260508,5.65,5.65,5.55,5.6,132800
COLOR,20260508,0.99,0.99,0.98,0.99,2700
COM7,20260508,23.9,24.2,23.6,23.8,12214300
COMAN,20260508,0.6,0.61,0.58,0.6,800
CPALL,20260508,44,44.5,43.75,43.75,15816800
CPANEL,20260508,1.54,1.54,1.52,1.52,51400
CPAXT,20260508,14.8,14.9,14.6,14.7,12014200
CPF,20260508,19.5,19.5,19,19,24610100
CPH,20260508,8.1,8.2,8.05,8.15,19300
CPI,20260508,3.42,3.52,3.4,3.5,1897400
CPL,20260508,0.68,0.69,0.66,0.67,340200
CPN,20260508,64.5,65.25,64,64.75,6927200
CPNCG,20260508,6.15,6.25,6.1,6.2,1804500
CPNREIT,20260508,12.4,12.4,12.2,12.3,1652400
CPR,20260508,2.66,2.68,2.6,2.6,19900
CPT,20260508,1.14,1.14,1.01,1.08,435000
CPTREIT,20260508,6.1,6.1,6,6.1,484400
CPW,20260508,2.28,2.3,2.24,2.28,840200
CRANE,20260508,0.4,0.4,0.4,0.4,115000
CRC,20260508,18.8,19.1,18.7,18.8,10900000
CRD,20260508,0.31,0.32,0.31,0.31,8500
CREDIT,20260508,18.3,18.6,18.3,18.4,162500
CSC,20260508,42.75,43.75,42.75,43.75,10200
CSP,20260508,0.5,0.59,0.5,0.56,2742600
CSR,20260508,68,68,68,68,800
CSS,20260508,0.77,0.78,0.76,0.77,22800
CTARAF,20260508,4.66,4.66,4.64,4.66,171500
CTW,20260508,3.34,3.34,3.28,3.3,103600
CWT,20260508,0.78,0.78,0.77,0.77,811700
D,20260508,2.82,2.84,2.8,2.8,365700
DCC,20260508,1.34,1.34,1.31,1.33,1213100
DCON,20260508,0.21,0.21,0.2,0.2,134900
DDD,20260508,5.25,5.25,5.25,5.25,3000
DELTA,20260508,310,318,309,311,14631000
DEMCO,20260508,2.4,2.46,2.32,2.32,748300
DEXON,20260508,0.88,0.9,0.88,0.88,138900
DHOUSE,20260508,0.39,0.39,0.38,0.38,3600
DIF,20260508,10.1,10.2,10,10,24300400
DIMET,20260508,0.05,0.06,0.05,0.05,213100
DITTO,20260508,10.9,11.9,10.9,11.8,3255800
DMT,20260508,11.1,11.1,11,11.1,233300
DOD,20260508,1.7,1.71,1.69,1.69,292800
DOHOME,20260508,3.34,3.4,3.32,3.4,10932300
DPAINT,20260508,0.73,0.73,0.7,0.7,1040700
DREIT,20260508,4.7,4.74,4.7,4.74,64700
DRT,20260508,4.7,4.72,4.68,4.72,49100
