<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260109,11.52,11.52,11.5,11.5,107
2I01BSET50-O,20260109,4.62,4.62,4.62,4.62,1
BMSCITH-O,20260109,9.82,9.82,9.8,9.8,10
CHINA-O,20260109,6.98,6.98,6.94,6.94,177
GLD-O,20260109,5.56,5.65,5.54,5.55,476
TDEX-O,20260109,8.33,8.33,8.29,8.29,377
1DIV,20260109,11.43,11.54,11.43,11.47,4100
2I01BSET50,20260109,4.64,4.67,4.6,4.67,57400
2X01BSET50,20260109,5.06,5.09,5.02,5.03,200700
ABFTH,20260109,1380,1380,1380,1380,250
BMSCITH,20260109,9.82,9.82,9.74,9.75,18100
BSET100,20260109,9.1,9.1,9.02,9.03,14200
CHINA,20260109,6.96,6.97,6.91,6.95,55100
GLD,20260109,5.55,5.57,5.53,5.55,2164900
TDEX,20260109,8.27,8.32,8.26,8.28,81500
UBOT,20260109,14.19,14.19,14.19,14.19,100
2S,20260109,2.5,2.5,2.46,2.46,9700
3BBIF,20260109,6.5,6.55,6.45,6.45,4385900
88TH,20260109,4.46,4.46,4.16,4.22,3916000
A,20260109,4.88,4.88,4.88,4.88,20000
A5,20260109,1.84,1.84,1.8,1.84,7900
AAI,20260109,4.18,4.22,4.16,4.2,2949600
AAV,20260109,1.17,1.2,1.16,1.18,48783200
ABM,20260109,0.64,0.64,0.61,0.64,700
ACC,20260109,0.45,0.46,0.44,0.44,5780600
ACE,20260109,1.29,1.3,1.28,1.29,5221400
ACG,20260109,0.56,0.58,0.56,0.58,12400
ADB,20260109,0.59,0.6,0.59,0.6,5000
ADD,20260109,3.26,3.26,3.22,3.22,1300
ADVANC,20260109,321,323,319,320,2676400
ADVICE,20260109,5.75,5.85,5.7,5.7,611800
AE,20260109,0.09,0.1,0.09,0.09,814200
AEONTS,20260109,99.25,99.5,97.25,98.5,656100
AF,20260109,0.3,0.31,0.3,0.31,9100
AFC,20260109,3.58,3.6,3.56,3.56,1000
AGE,20260109,1.24,1.25,1.23,1.25,403100
AH,20260109,12.8,13.1,12.8,13,79200
AHC,20260109,13.3,13.5,13.3,13.3,3000
AI,20260109,3,3.02,2.98,3.02,94800
AIE,20260109,1.01,1.03,1.01,1.02,269700
AIMCG,20260109,1.7,1.72,1.7,1.71,169600
AIMIRT,20260109,10.9,10.9,10.8,10.9,533300
AIT,20260109,5,5,4.94,4.94,554100
AJ,20260109,1.98,2.04,1.96,1.97,1450900
AJA,20260109,0.18,0.18,0.17,0.17,1320400
AKP,20260109,0.6,0.6,0.59,0.6,119500
AKR,20260109,0.87,0.87,0.86,0.87,393200
AKS,20260109,0.02,0.03,0.01,0.02,3788000
ALLA,20260109,1.17,1.18,1.17,1.17,40000
ALLY,20260109,4.46,4.48,4.44,4.46,262800
ALPHAX,20260109,0.5,0.5,0.48,0.49,11368000
ALT,20260109,1.05,1.05,1.03,1.04,390200
ALUCON,20260109,196,196,196,196,200
AMA,20260109,4.1,4.14,4.1,4.14,121500
AMANAH,20260109,0.76,0.77,0.75,0.76,255000
AMARC,20260109,2.52,2.52,2.4,2.4,704200
AMARIN,20260109,1.91,2.38,1.91,2.38,3300
AMATA,20260109,15.4,15.8,15.3,15.7,12234500
AMATAR,20260109,6.7,6.8,6.7,6.7,19000
AMATAV,20260109,1.81,1.81,1.79,1.79,22300
AMC,20260109,1.97,2,1.97,2,200
AMR,20260109,0.4,0.41,0.4,0.41,286400
ANAN,20260109,0.43,0.44,0.41,0.41,1637400
ANI,20260109,2.82,2.82,2.74,2.74,52300
AOT,20260109,51.25,52.5,51.25,51.75,19175000
AP,20260109,8.95,9,8.8,8.9,9390500
APCO,20260109,2.82,2.86,2.82,2.82,8600
APCS,20260109,1.45,1.45,1.4,1.41,21900
APO,20260109,1.79,1.8,1.78,1.79,106600
APP,20260109,2.6,2.6,2.56,2.56,118600
APURE,20260109,2.16,2.16,2.14,2.16,111600
AQUA,20260109,0.15,0.18,0.15,0.15,152751300
ARIN,20260109,0.58,0.59,0.57,0.58,2393400
ARIP,20260109,0.43,0.45,0.42,0.42,1097600
ARROW,20260109,5.1,5.1,5.1,5.1,1600
AS,20260109,3.34,3.38,3.24,3.28,2710100
ASAP,20260109,1.2,1.22,1.2,1.22,12500
ASEFA,20260109,3.5,3.5,3.44,3.48,23000
ASIA,20260109,5.2,5.25,5.2,5.25,600
ASIAN,20260109,7.25,7.35,7.15,7.3,846500
ASIMAR,20260109,1.54,1.55,1.54,1.55,5900
ASK,20260109,7.2,7.35,7.1,7.35,183000
ASN,20260109,0.83,0.84,0.82,0.82,24800
ASP,20260109,2.02,2.04,2,2.04,572900
ASW,20260109,5.95,6.1,5.95,6.05,359000
ATLAS,20260109,1.78,1.81,1.77,1.77,4001400
ATP30,20260109,0.85,0.86,0.84,0.85,1096200
AU,20260109,5.05,5.15,5.05,5.05,1030300
AUCT,20260109,5.3,5.4,5.2,5.25,356200
AURA,20260109,14,14.1,13.8,14,660900
AWC,20260109,2.04,2.08,2.04,2.04,26479800
AXTRART,20260109,13.3,13.3,12.6,12.9,1196000
AYUD,20260109,35,35.25,35,35,31600
B,20260109,0.04,0.05,0.03,0.04,6385500
B-WORK,20260109,5.1,5.2,5.05,5.1,638400
B52,20260109,0.39,0.43,0.39,0.4,535400
BA,20260109,16.1,16.3,15.9,16.1,6866100
BAFS,20260109,8.6,8.7,8.55,8.6,56300
BAM,20260109,8,8.05,7.9,8,3823400
BANPU,20260109,5,5.05,5,5,21363800
BAREIT,20260109,10.3,10.4,10.3,10.3,527200
BAY,20260109,26,26.25,25.75,26.25,226500
BBGI,20260109,2.74,2.76,2.72,2.72,186000
BBIK,20260109,14.9,14.9,14.3,14.6,851600
BBL,20260109,173.5,174.5,171.5,172,6350100
BC,20260109,0.78,0.78,0.78,0.78,10000
BCH,20260109,10.3,10.3,9.8,9.9,28381900
