<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL01,20260608,30,30.5,29.75,30,16840
AAPL03,20260608,3.4,3.44,3.36,3.38,51923
AAPL19,20260608,6.8,6.9,6.75,6.75,10618
AAPL80,20260608,10.1,10.4,10.1,10.1,1563616
ABBV19,20260608,7.35,7.55,7.35,7.4,106771
ABNB06,20260608,4.4,4.46,4.36,4.4,1440
ADBE03,20260608,1.89,1.89,1.83,1.83,30770
ADBE06,20260608,2.12,2.14,2.04,2.04,3123601
ADVANT19,20260608,5.25,5.25,5.15,5.15,594683
ADVANT23,20260608,3.58,3.58,3.44,3.54,1981782
AFRM03,20260608,2.78,2.78,2.58,2.64,144738
AIA06,20260608,3.08,3.08,3.02,3.06,115839
AIA19,20260608,3.08,3.08,3.04,3.04,30176
AIA23,20260608,2.36,2.4,2.34,2.4,147561
AMD03,20260608,8.3,8.3,7.6,7.85,181663
AMD23,20260608,6.9,6.9,6.35,6.55,572819
AMD80,20260608,3.32,3.32,3.02,3.1,24734467
AMGN06,20260608,2.84,2.94,2.84,2.9,219159
AMZN01,20260608,24.4,24.6,23.7,23.9,117608
AMZN03,20260608,4.16,4.16,4.06,4.06,22060
AMZN06,20260608,2.06,2.1,2.02,2.04,209223
AMZN23,20260608,2.76,2.78,2.7,2.7,161972
AMZN80,20260608,2.06,2.1,2.02,2.02,5343092
ANET23,20260608,2.96,2.98,2.78,2.86,1772236
ANTA13,20260608,1.93,1.93,1.89,1.92,155
ANTA23,20260608,1.94,1.96,1.93,1.95,67102
APLD03,20260608,4.72,4.72,4.2,4.44,1018323
APPL03,20260608,3.12,3.22,3,3.08,350482
ASEMI24,20260608,3.62,3.68,3.58,3.66,1529584
ASICS23,20260608,2.64,2.68,2.62,2.68,14752
ASML01,20260608,46,46.5,44.25,45.5,397833
ASTS03,20260608,3.52,3.52,3,3.1,8845517
AVGO23,20260608,3.04,3.04,2.88,2.94,1162626
AVGO80,20260608,2.72,2.72,2.54,2.58,16797595
AXP06,20260608,2.56,2.58,2.54,2.56,1451
BABA01,20260608,11.3,11.4,11.2,11.4,79939
BABA06,20260608,5,5,4.96,4.96,66477
BABA13,20260608,2.16,2.16,2.12,2.14,51353
BABA23,20260608,3.36,3.38,3.32,3.32,59768
BABA80,20260608,5,5.05,4.96,4.98,10772734
BAC03,20260608,3.54,3.56,3.52,3.52,46183
BDX06,20260608,1.63,1.68,1.63,1.65,477120
BIDU01,20260608,11.3,11.4,11,11.3,167965
BIDU06,20260608,4.88,4.92,4.82,4.92,35169
BIDU23,20260608,2.32,2.38,2.3,2.3,204090
BIDU80,20260608,4.94,4.98,4.84,4.9,11656435
BILIBILI01,20260608,2.88,2.92,2.82,2.88,231475
BIREN23,20260608,9.85,9.9,9.45,9.45,448012
BKNG03,20260608,2.28,2.32,2.26,2.28,1553
BKNG80,20260608,2.72,2.8,2.7,2.72,191525
BLK06,20260608,3.3,3.34,3.28,3.32,39280
BONDAS19,20260608,6.4,6.45,6.35,6.35,7211
BRKB80,20260608,1.56,1.61,1.55,1.61,7768686
BYDCOM01,20260608,0.85,0.86,0.82,0.82,1084768
BYDCOM80,20260608,0.37,0.38,0.36,0.37,12777740
CAMBRI80,20260608,6.15,6.15,5.95,6,1112741
CATL01,20260608,6.55,6.6,6.45,6.5,19451581
CATL23,20260608,11.6,11.7,11.3,11.4,404771
CATL80,20260608,29,29,28.5,28.75,200315
CCJ23,20260608,2.34,2.34,2.1,2.18,756696
CEG23,20260608,2.16,2.16,2.08,2.12,2175005
CHHONGQ19,20260608,11.1,11.3,11,11.3,10643
CHMOBILE19,20260608,3.46,3.46,3.44,3.46,244589
CHMOBILE23,20260608,2.66,2.7,2.66,2.7,51488
CHNXT5023,20260608,8.85,8.95,8.7,8.8,268719
CMBANK23,20260608,2.24,2.28,2.24,2.26,20881
CME03,20260608,2.82,2.84,2.8,2.84,49385
CN01,20260608,24,24,23.5,23.8,66228
CN23,20260608,6.05,6.1,5.95,6,19030
CNBIO24,20260608,1.25,1.25,1.21,1.24,121071
CNEV24,20260608,2.28,2.28,2.22,2.26,86247
CNROBOAI23,20260608,2.7,2.7,2.62,2.64,113474
CNSEMI23,20260608,3.6,3.6,3.48,3.56,169636
CNSTAR5023,20260608,8.2,8.35,8.1,8.35,30818
CNTECH01,20260608,25.75,25.75,25,25.25,110613
COSTCO19,20260608,32,32.75,31.75,32,70959
CRM01,20260608,3.46,3.48,3.32,3.36,2060837
CRM06,20260608,2.5,2.5,2.42,2.44,45719
CRM80,20260608,6.2,6.25,6.05,6.05,334447
CRSP03,20260608,3.68,3.68,3.38,3.46,357509
CRWD06,20260608,4.66,4.66,4.36,4.4,389613
CRWD80,20260608,23.3,23.3,21.8,22,539843
CRWV03,20260608,3.46,3.46,3.14,3.32,3646933
CSCO06,20260608,5.25,5.25,4.96,5.05,2700002
CYPC80,20260608,13.2,13.5,13.2,13.5,707
DASH03,20260608,2.6,2.7,2.56,2.7,4311
DBS19,20260608,16.1,16.2,16,16.2,20280
DDOG19,20260608,8,8,7.6,7.7,293805
DELL19,20260608,13.4,13.4,12.6,12.9,4387558
DISNEY19,20260608,16.3,16.5,16.3,16.4,16344
DUOL06,20260608,2.22,2.28,2.2,2.2,654946
E1VFVN3001,20260608,43.25,43.25,42.75,42.75,313932
EOSE03,20260608,1.31,1.31,1.11,1.17,17048969
ESTEE80,20260608,0.91,0.92,0.9,0.9,313984
EXPE06,20260608,2.94,3.1,2.94,3.02,7227
FANUC23,20260608,2.56,2.74,2.56,2.72,273218
FCX23,20260608,2.8,2.8,2.56,2.6,2999566
FERRARI80,20260608,1.15,1.15,1.13,1.14,421151
FPTVN11,20260608,1.85,1.85,1.82,1.83,259766
FPTVN19,20260608,9.25,9.3,9.15,9.2,420142
FUEVFVND01,20260608,44.25,44.5,44,44.25,87746
GAC03,20260608,2.1,2.1,2.02,2.06,2224
GANFENG23,20260608,2.3,2.3,2.22,2.26,1152843
GASVN11,20260608,4.26,4.26,4.18,4.18,1581
GDS23,20260608,1.98,1.99,1.94,1.99,173760
GEELY06,20260608,3.06,3.06,3.02,3.06,1558
GEELY80,20260608,7.6,7.7,7.6,7.7,37339
GEV23,20260608,2.84,2.86,2.76,2.78,6820395
GIGA23,20260608,9.75,9.85,9.5,9.6,338943
GOLD03,20260608,3.28,3.28,3.22,3.24,701165
GOLD19,20260608,13.1,13.2,12.9,13,826107
GOLDUS03,20260608,3.36,3.36,3.24,3.26,574144
GOLDUS19,20260608,44.5,44.5,43,43,506293
GOOG23,20260608,2.98,3.02,2.96,2.98,341941
GOOG80,20260608,6,6.05,5.9,5.9,10159004
GOOGL01,20260608,35.75,35.75,35,35.25,193740
GOOGL03,20260608,6.1,6.1,5.95,6,272423
GRAB80,20260608,11.2,11.2,10.8,10.9,89966
GSUS06,20260608,5.1,5.1,4.84,4.84,247778
HAIERS19,20260608,8.7,8.7,8.6,8.65,32321
HANSOH19,20260608,4.86,4.88,4.76,4.84,23259
HERMES80,20260608,6.2,6.2,6.05,6.05,24799
HIMS03,20260608,4.58,4.58,4.18,4.32,762226
HK01,20260608,21.1,21.1,20.9,21,54195
HK13,20260608,5.6,5.6,5.55,5.55,511
HKCE01,20260608,24.1,24.1,23.9,24.1,5630
HKEX23,20260608,2.12,2.12,2.06,2.1,84614
HKTECH13,20260608,4.06,4.06,3.98,3.98,216703
HONDA19,20260608,2.9,2.94,2.9,2.92,8309
HOOD03,20260608,2.82,2.82,2.62,2.72,355333
HOOD06,20260608,2.86,2.86,2.6,2.76,1261576
HOOD80,20260608,2.8,2.82,2.62,2.74,363450
HORIZON23,20260608,1.31,1.32,1.28,1.32,377225
HPG19,20260608,2.98,2.98,2.96,2.96,27649
HSHD23,20260608,6.7,6.7,6.55,6.7,128312
HUAHONG23,20260608,8.3,8.3,7.85,7.85,3946289
IBM06,20260608,3.92,3.94,3.68,3.68,4827431
ICBC06,20260608,2.9,2.92,2.9,2.92,3061
ICBC19,20260608,2.9,2.9,2.88,2.9,128677
IFLYTEK80,20260608,2.2,2.2,2.14,2.16,9350
INDIA01,20260608,12.9,13,12.7,12.8,50004
INDIAESG19,20260608,4,4,3.96,3.98,6154
INTEL03,20260608,7.1,7.1,6.35,6.6,6718414
