<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260122,11.68,14.58,11.59,11.61,190
2I01BSET50-O,20260122,4.13,4.13,4.13,4.13,47
2X01BSET50-O,20260122,5.63,5.63,5.63,5.63,20
BSET100-O,20260122,9.53,9.53,9.53,9.53,5
CHINA-O,20260122,6.99,6.99,6.99,6.99,20
GLD-O,20260122,5.93,6.1,5.91,5.99,1056
TDEX-O,20260122,8.74,8.76,8.2,8.64,638
UBOT-O,20260122,14.19,14.19,14.19,14.19,7
1DIV,20260122,11.62,11.65,11.59,11.61,27100
1I01BSET50,20260122,4.56,4.56,4.56,4.56,100
2I01BSET50,20260122,4.14,4.24,4.11,4.22,1126500
2X01BSET50,20260122,5.63,5.66,5.49,5.51,186300
ABFTH,20260122,1376,1376,1376,1376,500
BMSCG,20260122,7.55,7.55,7.47,7.47,400
BMSCITH,20260122,10.34,10.4,10.24,10.24,329700
BSET100,20260122,9.54,9.56,9.4,9.4,426129
CHINA,20260122,6.98,6.99,6.9,6.93,717600
GLD,20260122,5.91,5.97,5.91,5.96,2753200
TDEX,20260122,8.7,8.76,8.63,8.65,939200
UBOT,20260122,14.1,14.19,14.1,14.19,11000
UHERO,20260122,9.58,9.58,9.58,9.58,3000
2S,20260122,2.48,2.5,2.46,2.48,180600
3BBIF,20260122,6.4,6.45,6.35,6.45,3829900
88TH,20260122,4.22,4.22,4.16,4.16,10937000
A,20260122,4.82,4.82,4.82,4.82,200
A5,20260122,1.83,1.85,1.74,1.84,37200
AAI,20260122,4.3,4.32,4.2,4.22,2788100
AAV,20260122,1.24,1.24,1.19,1.19,168141300
ABM,20260122,0.6,0.63,0.6,0.62,16500
ACC,20260122,0.4,0.41,0.39,0.39,2483800
ACE,20260122,1.3,1.31,1.29,1.31,3317300
ADB,20260122,0.59,0.59,0.58,0.59,109100
ADD,20260122,3.64,3.72,3.52,3.7,6000
ADVANC,20260122,348,350,341,343,7525400
ADVICE,20260122,5.65,5.75,5.6,5.65,1896900
AE,20260122,0.09,0.1,0.09,0.09,1171400
AEONTS,20260122,99,99.25,96.75,97,925300
AF,20260122,0.29,0.3,0.28,0.3,80900
AGE,20260122,1.3,1.3,1.28,1.29,563200
AH,20260122,13,13.1,12.7,12.8,491900
AHC,20260122,13.3,13.3,13.3,13.3,1200
AI,20260122,3.02,3.04,3.02,3.02,31500
AIE,20260122,1.04,1.05,1.02,1.02,593300
AIMCG,20260122,1.68,1.68,1.67,1.67,75400
AIMIRT,20260122,10.8,10.9,10.7,10.7,195600
AIT,20260122,5,5.05,4.98,5,453900
AJ,20260122,1.92,1.94,1.82,1.84,2224700
AJA,20260122,0.17,0.17,0.16,0.17,311000
AKP,20260122,0.62,0.62,0.61,0.61,644300
AKR,20260122,0.84,0.84,0.82,0.84,3200000
AKS,20260122,0.03,0.03,0.02,0.02,446300
ALLA,20260122,1.17,1.18,1.16,1.17,106600
ALLY,20260122,4.3,4.34,4.3,4.32,92100
ALPHAX,20260122,0.51,0.51,0.48,0.48,10937400
ALT,20260122,1.13,1.21,1.13,1.16,3868000
ALUCON,20260122,201,201,201,201,100
AMA,20260122,4.12,4.12,4.1,4.12,127000
AMANAH,20260122,0.75,0.75,0.71,0.72,1147000
AMARC,20260122,2.64,2.7,2.52,2.52,3551600
AMARIN,20260122,2.14,2.14,2.12,2.12,33800
AMATA,20260122,16.1,16.3,15.6,15.6,13688600
AMATAR,20260122,6.65,6.7,6.6,6.6,50400
AMATAV,20260122,1.8,1.8,1.78,1.8,52000
AMC,20260122,1.99,2,1.99,2,23800
AMR,20260122,0.4,0.4,0.39,0.4,42500
ANAN,20260122,0.44,0.44,0.43,0.43,674600
ANI,20260122,2.82,2.86,2.8,2.82,35600
AOT,20260122,53,53,52,52,30643900
AP,20260122,8.9,9.05,8.85,8.9,21838000
APCO,20260122,2.8,2.82,2.78,2.8,15700
APCS,20260122,1.3,1.3,1.3,1.3,400
