<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260113,11.42,11.45,11.4,11.4,100
2I01BSET50-O,20260113,4.68,4.7,4.68,4.7,47
2X01BSET50-O,20260113,5.01,5.01,5.01,5.01,5
GLD-O,20260113,5.68,5.72,5.68,5.71,724
TDEX-O,20260113,8.27,8.27,8.17,8.18,687
UHERO-O,20260113,9.48,9.48,9.48,9.48,50
1DIV,20260113,11.42,11.42,11.36,11.39,20100
1I01BSET50,20260113,4.88,4.88,4.88,4.88,5300
2I01BSET50,20260113,4.68,4.77,4.66,4.76,490300
2X01BSET50,20260113,5.01,5.02,4.9,4.93,364600
BMSCG,20260113,7.19,7.19,7.03,7.03,1000
BMSCITH,20260113,9.67,9.69,9.6,9.61,28800
BSET100,20260113,9,9,8.93,8.93,18700
CHINA,20260113,7.03,7.05,6.98,7,82900
GLD,20260113,5.65,5.72,5.65,5.71,3230300
TDEX,20260113,8.25,8.27,8.17,8.19,491300
UBOT,20260113,14.39,14.39,14.39,14.39,1300
UHERO,20260113,9.3,9.39,9.3,9.39,800
2S,20260113,2.46,2.46,2.42,2.46,4300
3BBIF,20260113,6.45,6.45,6.4,6.4,3469400
88TH,20260113,4.16,4.18,3.9,3.96,11525100
A,20260113,4.86,4.9,4.48,4.86,20300
A5,20260113,1.84,1.84,1.81,1.83,3300
AAI,20260113,4.12,4.14,4.02,4.04,3529200
AAV,20260113,1.13,1.15,1.12,1.12,32395900
ABM,20260113,0.61,0.64,0.58,0.64,7100
ACC,20260113,0.42,0.43,0.38,0.4,7881100
ACE,20260113,1.29,1.31,1.29,1.31,1504300
ACG,20260113,0.56,0.57,0.56,0.57,3100
ADB,20260113,0.57,0.58,0.55,0.57,266700
ADD,20260113,3.14,3.18,3.14,3.18,1800
ADVANC,20260113,328,332,326,332,5558000
ADVICE,20260113,5.6,5.75,5.6,5.65,939200
AE,20260113,0.08,0.09,0.08,0.09,3104200
AEONTS,20260113,96.75,97.5,96,96.25,400400
AF,20260113,0.28,0.28,0.27,0.27,41700
AGE,20260113,1.23,1.24,1.23,1.23,417900
AH,20260113,12.7,12.8,12.6,12.7,62900
AHC,20260113,13.1,13.1,13,13.1,2900
AI,20260113,3,3.02,2.98,3,40300
AIE,20260113,1.01,1.03,0.99,1,1009800
AIMCG,20260113,1.71,1.71,1.7,1.7,24900
AIMIRT,20260113,10.8,10.9,10.6,10.6,152100
AIRA,20260113,1.15,1.16,1.07,1.12,30300
AIT,20260113,4.98,5,4.88,4.92,962300
AJ,20260113,1.88,1.95,1.63,1.69,5210000
AJA,20260113,0.17,0.18,0.17,0.17,1422400
AKP,20260113,0.59,0.59,0.57,0.58,1413500
AKR,20260113,0.86,0.87,0.85,0.85,1490000
AKS,20260113,0.02,0.02,0.01,0.01,249100
ALLA,20260113,1.18,1.18,1.16,1.17,51600
ALLY,20260113,4.48,4.48,4.44,4.46,235000
ALPHAX,20260113,0.5,0.55,0.48,0.51,30952100
ALT,20260113,1.04,1.06,1.03,1.06,162800
ALUCON,20260113,198,198,198,198,300
AMA,20260113,4.1,4.1,4.08,4.1,53500
AMANAH,20260113,0.74,0.76,0.72,0.72,1088300
AMARC,20260113,2.36,2.38,2.26,2.26,869400
AMARIN,20260113,2.16,2.34,2.16,2.34,1200
AMATA,20260113,15.2,15.4,15.1,15.1,6764200
AMATAR,20260113,6.7,6.7,6.6,6.7,55600
AMATAV,20260113,1.76,1.79,1.76,1.79,89100
AMC,20260113,1.94,1.98,1.93,1.93,10200
AMR,20260113,0.39,0.4,0.39,0.39,169600
ANAN,20260113,0.41,0.41,0.39,0.39,1924000
ANI,20260113,2.7,2.74,2.62,2.7,56400
AOT,20260113,51.25,51.5,50.5,50.75,13863900
AP,20260113,8.65,8.65,8.4,8.4,11710500
APCO,20260113,2.82,2.82,2.78,2.8,9700
APCS,20260113,1.37,1.37,1.37,1.37,500
APO,20260113,1.89,1.92,1.83,1.86,2561800
APP,20260113,2.56,2.58,2.42,2.52,387100
APURE,20260113,2.1,2.16,2.1,2.16,88300
AQUA,20260113,0.16,0.16,0.15,0.15,944300
ARIN,20260113,0.56,0.57,0.53,0.54,1723200
ARIP,20260113,0.43,0.43,0.41,0.43,211400
ARROW,20260113,5.1,5.1,5,5.05,900
AS,20260113,3.04,3.06,2.6,2.72,7948800
ASAP,20260113,1.2,1.2,1.2,1.2,384200
ASEFA,20260113,3.5,3.5,3.44,3.5,20100
ASIAN,20260113,7.25,7.3,7.15,7.25,331300
ASIMAR,20260113,1.53,1.53,1.45,1.51,78700
ASK,20260113,7.25,7.25,7.1,7.15,108000
ASN,20260113,0.81,0.81,0.8,0.8,2000
ASP,20260113,2.02,2.02,1.99,2,224500
ASW,20260113,6,6,5.9,6,109400
ATLAS,20260113,1.7,1.72,1.65,1.65,2977700
ATP30,20260113,0.85,0.85,0.83,0.85,625000
AU,20260113,4.92,4.92,4.8,4.82,400700
AUCT,20260113,5.2,5.25,5.1,5.2,121500
AURA,20260113,13.8,14,13.8,13.9,292300
AWC,20260113,2,2.04,1.95,1.98,52917400
AXTRART,20260113,12.7,12.7,12.5,12.6,1101700
AYUD,20260113,35,35.25,35,35.25,137800
B,20260113,0.04,0.05,0.04,0.04,658100
B-WORK,20260113,5.15,5.15,5,5.05,217100
B52,20260113,0.4,0.44,0.4,0.41,592100
BA,20260113,15.4,15.5,14.9,15.1,6429900
BAFS,20260113,8.65,8.7,8.5,8.55,83000
BAM,20260113,8,8.15,7.95,7.95,7620300
BANPU,20260113,5,5.25,4.98,5.2,147089000
BAREIT,20260113,10.4,10.4,10.2,10.3,2056900
BAY,20260113,26,26,25.25,25.5,363100
BBGI,20260113,2.7,2.72,2.66,2.66,475200
BBIK,20260113,13.9,14,13.4,13.5,706500
BBL,20260113,172,172,169.5,170.5,4575700
BC,20260113,0.79,0.85,0.78,0.81,183100
BCH,20260113,9.75,9.75,9.2,9.4,17307700
BCP,20260113,28.75,28.75,28.25,28.5,4023100
BCPG,20260113,6.75,6.8,6.55,6.55,3965600
BDMS,20260113,18.2,18.3,17.4,17.6,175695400
BE8,20260113,4.7,4.8,4.56,4.62,207500
BEAUTY,20260113,0.47,0.5,0.43,0.44,19503400
BEC,20260113,1.84,1.85,1.81,1.82,503700
BEM,20260113,5.2,5.2,5.1,5.1,11206200
BEYOND,20260113,8.8,8.8,8.7,8.8,412900
BGC,20260113,3.96,3.96,3.9,3.92,457900
BGRIM,20260113,14.1,14.2,13.2,13.4,12239600
BGT,20260113,0.38,0.38,0.38,0.38,26000
BH,20260113,139.5,141,136,136.5,6867500
BIG,20260113,0.28,0.3,0.28,0.29,1539800
BIOTEC,20260113,0.17,0.18,0.17,0.18,940200
BIS,20260113,1.93,1.94,1.93,1.93,3500
BIZ,20260113,4,4.02,4,4,20200
BJC,20260113,13.6,13.7,13.1,13.3,3628500
BJCHI,20260113,0.55,0.6,0.54,0.6,147500
BKA,20260113,0.73,0.74,0.71,0.71,857200
BKD,20260113,0.98,1.01,0.98,1,6600
BKGI,20260113,1.25,1.25,1.23,1.23,96900
BKIH,20260113,300,300,299,300,2300
BLA,20260113,20.9,21.2,20.3,20.4,3150100
BLAND,20260113,0.43,0.44,0.42,0.42,3493600
BLC,20260113,4.02,4.1,3.94,3.98,623900
BLESS,20260113,0.21,0.22,0.21,0.21,12600
BM,20260113,1.14,1.17,1.1,1.12,382900
BOFFICE,20260113,5.1,5.1,5,5.05,119500
BOL,20260113,5.4,5.4,5.3,5.3,34500
BPP,20260113,10.5,11,10.4,10.8,1055200
BPS,20260113,0.43,0.44,0.42,0.42,72500
BR,20260113,1.64,1.65,1.64,1.65,36800
BRI,20260113,1.51,1.51,1.48,1.5,17400
BROCK,20260113,1.21,1.25,1.2,1.2,25100
BRR,20260113,3.6,3.62,3.58,3.6,93700
BRRGIF,20260113,3.76,3.76,3.76,3.76,80900
BSBM,20260113,0.65,0.66,0.64,0.64,243700
BSM,20260113,0.38,0.38,0.37,0.37,6000
BTC,20260113,0.26,0.27,0.26,0.26,3005900
BTG,20260113,18.4,18.5,18.3,18.4,2689100
BTS,20260113,2.04,2.08,2,2,51488600
