<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2X01BSET50-O,20260417,6.92,6.92,3.06,3.06,72
BMSCITH-O,20260417,12.25,12.25,12.19,12.19,21
BSET100-O,20260417,10.83,10.83,10.83,10.83,46
CHINA-O,20260417,7.2,7.21,7.2,7.21,12
GLD-O,20260417,6.1,6.11,6.09,6.11,347
TDEX-O,20260417,9.57,9.59,9.49,9.59,251
1DIV,20260417,12.14,12.14,12.02,12.02,40600
1I01BSET50,20260417,3.92,3.95,3.92,3.94,600
2I01BSET50,20260417,3.02,3.08,3.02,3.06,285400
2X01BSET50,20260417,7.05,7.06,6.91,6.97,214400
BMSCG,20260417,7.92,7.92,7.88,7.9,1554000
BMSCITH,20260417,12.26,12.26,12.13,12.19,190900
BSET100,20260417,10.81,10.81,10.7,10.71,61600
CHINA,20260417,7.2,7.2,7.18,7.18,98300
GLD,20260417,6.07,6.1,6.07,6.1,697600
TDEX,20260417,9.6,9.6,9.48,9.5,284700
UBOT,20260417,13.19,13.19,13.19,13.19,100
UHERO,20260417,8.19,8.19,7.99,7.99,200
2S,20260417,2.6,2.7,2.58,2.62,181800
3BBIF,20260417,6.65,6.7,6.6,6.7,3937600
88TH,20260417,4.84,4.88,4.76,4.78,1199600
A5,20260417,1.85,1.85,1.82,1.83,4300
AAI,20260417,3.44,3.46,3.4,3.42,2301000
AAV,20260417,1.11,1.12,1.09,1.11,57578500
ABM,20260417,0.52,0.52,0.51,0.52,13400
ACC,20260417,0.39,0.39,0.37,0.38,2977700
ACE,20260417,1.27,1.28,1.27,1.28,345100
ACG,20260417,0.71,0.72,0.7,0.7,65200
ADB,20260417,0.59,0.59,0.58,0.58,80300
ADD,20260417,3.18,3.26,3.18,3.22,34100
ADVANC,20260417,367,368,351,353,14586300
ADVICE,20260417,5.4,5.4,5.35,5.4,661300
AE,20260417,0.07,0.08,0.07,0.08,4772200
AEONTS,20260417,93.25,93.25,90.75,91.25,550400
AF,20260417,0.34,0.36,0.34,0.36,1700
AFC,20260417,2.84,3.04,2.84,3.04,4900
AGE,20260417,1.15,1.2,1.14,1.15,1591500
AH,20260417,13.2,13.2,12.9,13,39400
AHC,20260417,13.6,13.6,13.6,13.6,100
AI,20260417,2.9,2.92,2.9,2.9,93900
AIE,20260417,1.14,1.16,1.14,1.16,579900
AIMCG,20260417,1.3,1.34,1.29,1.34,153400
AIMIRT,20260417,11.1,11.3,11,11.3,460600
AIRA,20260417,1.09,1.1,1.09,1.1,8200
AIT,20260417,4.86,4.88,4.84,4.88,494500
AJ,20260417,3.32,3.44,2.84,2.86,29377400
AJA,20260417,0.17,0.17,0.16,0.17,67700
AKP,20260417,0.72,0.73,0.71,0.71,718300
AKR,20260417,0.94,0.94,0.93,0.94,1708000
