<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL01,20260713,30.75,31,30.5,31,14163
AAPL03,20260713,3.5,3.52,3.48,3.5,9436
AAPL19,20260713,7,7,6.95,6.95,412
AAPL80,20260713,10.5,10.6,10.4,10.6,403879
ABBV19,20260713,8.4,8.5,8.15,8.5,178013
ABBV80,20260713,8.35,8.35,8.2,8.25,52096
ABNB06,20260713,4.92,4.98,4.92,4.94,14921
ADBE03,20260713,1.67,1.68,1.66,1.68,122215
ADBE06,20260713,1.87,1.89,1.86,1.88,432862
ADVANT19,20260713,6.05,6.05,5.9,5.95,144840
ADVANT23,20260713,4.14,4.14,3.98,4.04,338971
ADVANT80,20260713,6,6,5.9,5.95,1642
AFRM03,20260713,3.5,3.54,3.42,3.46,45909
AIA06,20260713,3.08,3.12,3.04,3.12,5692
AIA19,20260713,3.08,3.1,3.06,3.1,141200
AIA23,20260713,2.36,2.4,2.34,2.36,232225
ALAB01,20260713,6.1,6.1,5.7,5.8,332850
AMAT01,20260713,5.35,5.6,5.3,5.4,884448
AMAT19,20260713,4.78,5.05,4.76,4.88,231
AMAT23,20260713,7.7,8.15,7.65,7.8,83208
AMD03,20260713,9.1,9.3,9,9.05,23335
AMD23,20260713,7.6,7.75,7.5,7.55,663672
AMD80,20260713,3.62,3.72,3.58,3.62,14499684
AMGN06,20260713,3.04,3.04,3,3.02,35357
AMZN01,20260713,24.3,24.5,24,24,32709
AMZN03,20260713,4.14,4.16,4.12,4.12,1050
AMZN06,20260713,2.08,2.08,2.04,2.04,52169
AMZN19,20260713,2.06,2.06,2.04,2.04,997
AMZN23,20260713,2.76,2.78,2.7,2.72,174122
AMZN80,20260713,2.06,2.1,2.02,2.06,2812612
ANET23,20260713,3.38,3.5,3.36,3.5,1119243
ANET80,20260713,6.1,6.3,6.1,6.3,249786
ANTA13,20260713,1.93,1.93,1.88,1.88,2002
ANTA23,20260713,1.95,1.95,1.93,1.95,33444
APLD03,20260713,3.6,3.62,3.36,3.4,564136
APPL03,20260713,2.94,2.96,2.8,2.84,458394
ASEMI23,20260713,7.95,7.95,7.7,7.9,283581
ASEMI24,20260713,3.96,3.96,3.84,3.88,767852
ASICS23,20260713,2.9,2.96,2.88,2.96,141378
ASML01,20260713,49.75,50.25,48.75,49.25,126767
ASTS01,20260713,3.28,3.3,3.16,3.2,960573
ASTS03,20260713,2.48,2.48,2.38,2.4,1708950
AVGO23,20260713,3.04,3.04,2.94,2.98,508354
AVGO80,20260713,2.64,2.68,2.58,2.62,2386248
AXP06,20260713,2.92,2.96,2.92,2.94,4763
BABA01,20260713,10.7,10.9,10.7,10.9,261330
BABA06,20260713,4.78,4.78,4.74,4.74,2181
BABA13,20260713,1.92,1.94,1.9,1.9,32946
BABA19,20260713,1.91,1.92,1.88,1.88,914329
BABA23,20260713,3.18,3.2,3.14,3.18,585372
BABA80,20260713,4.74,4.78,4.7,4.72,9579089
BAC03,20260713,3.96,4.02,3.96,4.02,34529
BDX06,20260713,1.66,1.7,1.66,1.69,70948
BIDU01,20260713,11.2,11.3,11.1,11.3,135043
BIDU06,20260713,4.9,4.9,4.88,4.9,3315
BIDU23,20260713,2.34,2.34,2.32,2.32,118714
BIDU80,20260713,4.9,4.9,4.84,4.88,2414392
BILIBILI01,20260713,2.8,2.8,2.74,2.78,27070
BIREN23,20260713,7.6,7.65,7.3,7.45,267996
BKNG03,20260713,2.44,2.5,2.44,2.48,1331
BKNG80,20260713,2.96,3.02,2.96,3,142710
BLK06,20260713,3.4,3.5,3.4,3.44,67168
BOEING80,20260713,7.4,7.4,7.3,7.4,2300
BONDAS19,20260713,6.55,6.55,6.5,6.55,2460
BONDUS01,20260713,9.7,9.7,9.65,9.7,28418
BRKB23,20260713,5.55,5.55,5.5,5.55,642
BRKB80,20260713,1.66,1.66,1.64,1.66,4710581
BYDCOM01,20260713,0.81,0.82,0.81,0.81,25328
BYDCOM80,20260713,0.36,0.36,0.35,0.36,1607419
CAMBRI80,20260713,7.2,7.2,6.75,6.8,215597
CAT19,20260713,6.25,6.35,6.2,6.3,4123
CATL01,20260713,5.75,5.9,5.7,5.9,3297119
CATL23,20260713,10.1,10.4,10,10.3,366726
CATL80,20260713,25.5,26,25,26,253737
CCJ23,20260713,2,2.04,1.97,2,258504
CDNS23,20260713,6.5,6.55,6.4,6.45,11206
CEG23,20260713,2.1,2.12,2.06,2.08,319427
CHHONGQ19,20260713,9.15,9.2,9.1,9.2,104845
CHMOBILE19,20260713,3.38,3.4,3.38,3.4,104855
CHMOBILE23,20260713,2.62,2.64,2.6,2.64,146213
CHNXT5023,20260713,8.7,8.7,8.4,8.55,165268
CMBANK23,20260713,2.18,2.2,2.18,2.2,11813
CME03,20260713,2.66,2.68,2.64,2.68,3842
CN01,20260713,24.4,24.4,24,24.2,37908
CN23,20260713,6.15,6.2,6.05,6.05,6712
CNBIO24,20260713,1.46,1.46,1.45,1.46,213243
CNEV24,20260713,2.06,2.06,2,2.04,84929
CNRE80,20260713,1.95,1.96,1.93,1.94,391355
CNROBOAI23,20260713,2.56,2.62,2.5,2.62,457174
CNSEMI23,20260713,4.84,4.84,4.56,4.64,370544
CNSTAR5023,20260713,10.8,10.8,10.3,10.5,19602
CNTECH01,20260713,25.75,25.75,25.25,25.75,64101
COHR23,20260713,5.4,5.5,5.15,5.2,125877
COHR80,20260713,11,11,10.3,10.5,2846
COIN01,20260713,3.46,3.48,3.24,3.26,992572
COIN23,20260713,2.8,2.8,2.62,2.64,177388
