<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260209,8.6,11.9,8.6,11.58,35
2I01BSET50-O,20260209,3.7,3.7,3.59,3.59,100
2X01BSET50-O,20260209,6.24,6.37,6.2,6.37,58
BMSCITH-O,20260209,10.94,11.2,10.94,11.18,309
BSET100-O,20260209,10.11,10.16,10.09,10.12,86
CHINA-O,20260209,6.91,6.91,6.91,6.91,36
GLD-O,20260209,6.22,6.22,6.2,6.21,531
TDEX-O,20260209,8.96,9.04,8.94,9.01,611
UBOT-O,20260209,13.98,13.98,13.98,13.98,20
1DIV,20260209,11.4,11.57,11.4,11.57,15500
1I01BSET50,20260209,4.28,4.28,4.23,4.23,600
2I01BSET50,20260209,3.4,3.8,3.4,3.58,661300
2X01BSET50,20260209,6.31,6.42,6.3,6.39,175100
BMSCG,20260209,7.62,7.74,7.62,7.74,1700
BMSCITH,20260209,10.83,11.22,10.83,11.16,882400
BSET100,20260209,10.08,10.17,10.07,10.14,1446680
CHINA,20260209,6.91,6.97,6.89,6.94,36700
GLD,20260209,6.18,6.23,6.1,6.21,5602300
TDEX,20260209,8.7,9.04,8.68,9.02,6722800
UBOT,20260209,13.49,14.09,13.49,14.09,11700
UHERO,20260209,8.59,8.59,8.59,8.59,200
2S,20260209,2.5,2.54,2.5,2.52,94600
3BBIF,20260209,6.7,6.75,6.65,6.7,15518300
88TH,20260209,4.56,4.6,4.48,4.6,2557400
A,20260209,4.86,4.86,4.86,4.86,200
A5,20260209,1.84,1.84,1.81,1.84,3900
AAI,20260209,4.34,4.36,4.3,4.3,2708600
AAV,20260209,1.22,1.26,1.22,1.26,287963700
ABM,20260209,0.6,0.6,0.59,0.59,21100
ACC,20260209,0.39,0.4,0.38,0.39,1928900
ACE,20260209,1.3,1.3,1.29,1.3,1652400
ACG,20260209,0.6,0.61,0.6,0.61,46100
ADB,20260209,0.56,0.57,0.56,0.57,245900
ADD,20260209,3.96,4.06,3.96,4.06,38500
ADVANC,20260209,370,375,366,374,10444200
ADVICE,20260209,5.75,5.95,5.75,5.85,3103900
AE,20260209,0.09,0.09,0.08,0.09,429700
AEONTS,20260209,96.5,100.5,96.5,99,1778300
AF,20260209,0.34,0.35,0.34,0.35,237300
AFC,20260209,3.32,3.32,3.32,3.32,400
AGE,20260209,1.25,1.25,1.23,1.24,1022100
AH,20260209,13.1,13.4,13.1,13.3,114500
AHC,20260209,14.3,14.3,13.3,13.4,6900
AI,20260209,2.98,3.02,2.98,3,101100
AIE,20260209,1.05,1.05,1.03,1.04,931900
AIMCG,20260209,1.64,1.64,1.6,1.62,378400
AIMIRT,20260209,10.8,10.9,10.8,10.9,1248100
AIT,20260209,5,5.1,5,5,1110300
AJ,20260209,1.73,1.78,1.72,1.76,2667300
AJA,20260209,0.15,0.16,0.15,0.15,1805400
AKP,20260209,0.67,0.68,0.65,0.67,705300
AKR,20260209,0.84,0.84,0.83,0.83,791000
AKS,20260209,0.02,0.03,0.02,0.02,1928300
ALLA,20260209,1.17,1.18,1.16,1.18,227000
ALLY,20260209,4.46,4.46,4.4,4.44,273100
ALPHAX,20260209,0.49,0.5,0.47,0.47,12107500
ALT,20260209,1.09,1.12,1.09,1.1,362200
ALUCON,20260209,200,200,200,200,100
AMA,20260209,4.18,4.24,4.16,4.18,760900
AMANAH,20260209,0.75,0.75,0.73,0.74,567200
AMARC,20260209,2.66,2.68,2.64,2.64,1659500
AMARIN,20260209,2.56,2.6,2.5,2.6,8500
AMATA,20260209,16.1,16.8,16,16.7,50482000
AMATAR,20260209,6.7,6.7,6.65,6.65,43700
AMATAV,20260209,1.81,1.82,1.8,1.82,81200
AMC,20260209,2.04,2.1,1.96,2.08,14200
AMR,20260209,0.38,0.4,0.38,0.39,94800
ANAN,20260209,0.4,0.42,0.4,0.41,982600
ANI,20260209,2.78,2.88,2.72,2.78,601100
AOT,20260209,56.75,59,56.5,58.25,143953600
AP,20260209,9.05,9.35,9.05,9.25,28921600
APCO,20260209,2.82,2.84,2.8,2.84,4800
APCS,20260209,1.26,1.34,1.26,1.26,28400
APO,20260209,1.93,1.93,1.89,1.89,178600
APP,20260209,2.62,2.7,2.62,2.64,357900
APURE,20260209,2.2,2.2,2.12,2.12,123300
AQUA,20260209,0.15,0.16,0.14,0.15,4623000
ARIN,20260209,0.59,0.6,0.57,0.58,6614200
ARIP,20260209,0.42,0.45,0.42,0.44,1432200
ARROW,20260209,5,5.05,4.98,5,50000
AS,20260209,2.88,2.9,2.82,2.88,2094200
ASAP,20260209,1.21,1.21,1.09,1.17,60300
ASEFA,20260209,3.44,3.52,3.44,3.5,53400
ASIA,20260209,5.95,6,5.95,5.95,11400
ASIAN,20260209,7.55,7.6,7.45,7.5,647500
ASIMAR,20260209,1.52,1.53,1.5,1.53,275500
ASK,20260209,7.7,7.9,7.6,7.85,605500
ASN,20260209,0.73,0.78,0.73,0.77,221900
ASP,20260209,2.1,2.14,2.08,2.12,1469400
ASW,20260209,6.9,6.95,6.8,6.9,164400
ATLAS,20260209,1.71,1.73,1.69,1.7,9013600
ATP30,20260209,0.88,0.9,0.88,0.89,1118400
AU,20260209,5.05,5.15,5.05,5.15,1319800
AUCT,20260209,5.3,5.3,5.15,5.2,676800
AURA,20260209,12.5,12.6,12.3,12.4,3960100
AWC,20260209,2.38,2.42,2.34,2.4,132107900
AXTRART,20260209,12.9,13.1,12.9,13,694000
AYUD,20260209,37,37,36.5,37,9800
B,20260209,0.04,0.04,0.03,0.04,6605000
B-WORK,20260209,5.15,5.25,5.1,5.2,190400
B52,20260209,0.34,0.36,0.28,0.29,446800
BA,20260209,15.8,16.2,15.7,16.1,10950600
BAFS,20260209,8.8,8.9,8.75,8.9,545000
BAM,20260209,7.75,7.95,7.55,7.6,38726300
BANPU,20260209,5.4,5.5,5.35,5.45,47312100
BAREIT,20260209,10.7,10.7,10.6,10.6,470600
BAY,20260209,25.5,26,25.25,25.75,714100
BBGI,20260209,2.9,2.96,2.9,2.92,191800
BBIK,20260209,15.1,15.9,15.1,15.6,1198000
BBL,20260209,160,161.5,159,161,18528100
BC,20260209,0.78,0.79,0.7,0.77,43600
BCH,20260209,10.4,10.6,10.2,10.4,30651000
BCP,20260209,33.5,34,33,33.75,15903400
BCPG,20260209,7.65,7.8,7.45,7.75,18400400
BCT,20260209,51.5,51.5,51,51,1300
BDMS,20260209,21.3,21.4,20.9,21,112808200
BE8,20260209,4.72,5,4.72,4.94,1698400
BEAUTY,20260209,0.37,0.4,0.37,0.38,9318300
BEC,20260209,1.83,1.83,1.81,1.83,777100
BEM,20260209,5.4,5.45,5.3,5.4,154686700
BEYOND,20260209,8.4,8.4,8.3,8.3,41600
BGC,20260209,4.24,4.24,4.22,4.24,204300
BGRIM,20260209,13.4,13.7,13.3,13.5,20076300
BGT,20260209,0.37,0.38,0.35,0.38,432500
BH,20260209,178,182,175,177,12167300
BIG,20260209,0.29,0.3,0.29,0.3,212300
BIOTEC,20260209,0.17,0.18,0.17,0.18,773800
BIS,20260209,1.93,1.93,1.91,1.92,62100
BIZ,20260209,4.22,4.24,4.18,4.2,378200
BJC,20260209,15.6,15.9,15.3,15.5,30716500
BJCHI,20260209,0.58,0.6,0.55,0.58,334300
BKA,20260209,0.86,0.87,0.83,0.85,2938100
BKD,20260209,1.02,1.05,1.01,1.03,87300
BKGI,20260209,1.26,1.27,1.25,1.27,144400
BKIH,20260209,302,303,302,302,11600
BLA,20260209,20.9,21.2,20.8,20.9,1609300
BLAND,20260209,0.44,0.46,0.44,0.45,22165900
BLC,20260209,4.04,4.12,4.04,4.08,202200
BLESS,20260209,0.21,0.21,0.2,0.21,435100
BM,20260209,1.01,1.03,1,1.01,2243800
BOFFICE,20260209,5.2,5.2,5.1,5.2,157900
BOL,20260209,5.05,5.25,5.05,5.15,166800
BPP,20260209,11.2,11.4,11.2,11.3,104300
BPS,20260209,0.41,0.43,0.41,0.41,246300
BR,20260209,1.65,1.67,1.64,1.66,87300
BRI,20260209,1.38,1.45,1.38,1.4,89500
BROCK,20260209,1.16,1.2,1.16,1.2,4200
BRR,20260209,3.82,3.94,3.82,3.88,38100
BRRGIF,20260209,3.8,3.8,3.78,3.8,69400
BSBM,20260209,0.58,0.59,0.56,0.57,165600
BSM,20260209,0.39,0.39,0.34,0.39,13900
BTC,20260209,0.22,0.23,0.22,0.22,5076300
BTG,20260209,17.2,17.5,17.2,17.4,4961600
BTNC,20260209,15.5,15.6,15.5,15.6,600
BTS,20260209,2.26,2.38,2.22,2.36,104613300
BTSGIF,20260209,2.62,2.64,2.6,2.64,3209400
BTW,20260209,0.11,0.11,0.1,0.11,300300
BUI,20260209,12.1,12.1,11.7,12,40000
BVG,20260209,1.73,1.77,1.71,1.77,396500
BWG,20260209,0.25,0.27,0.25,0.25,41770200
BYD,20260209,0.48,0.49,0.47,0.48,11822900
CAZ,20260209,1.46,1.59,1.46,1.58,91400
CBG,20260209,43.75,45.5,43.5,44.75,11219700
CCET,20260209,4.88,5.05,4.82,4.98,48232400
CCP,20260209,0.26,0.26,0.24,0.25,3726200
CEN,20260209,0.79,0.8,0.76,0.78,493600
CENTEL,20260209,37,37.5,36.75,36.75,6032000
CEYE,20260209,1.6,1.74,1.6,1.74,96700
CFARM,20260209,0.76,0.77,0.75,0.76,354400
CFRESH,20260209,0.68,0.7,0.66,0.7,337900
CGD,20260209,0.11,0.12,0.11,0.12,6100
CGH,20260209,0.5,0.5,0.48,0.49,1751500
CH,20260209,1.7,1.76,1.7,1.76,59900
CHAO,20260209,4.4,4.48,4.4,4.48,67700
CHARAN,20260209,17.2,17.2,17.2,17.2,5000
CHASE,20260209,0.5,0.52,0.49,0.5,3282200
CHAYO,20260209,1.25,1.27,1.25,1.26,5462900
CHEWA,20260209,0.21,0.21,0.2,0.21,51300
CHG,20260209,1.65,1.65,1.6,1.62,28663100
CHIC,20260209,0.24,0.25,0.23,0.25,63400
CHO,20260209,0.06,0.06,0.05,0.06,2978300
CHOW,20260209,1.32,1.34,1.28,1.34,1826400
CI,20260209,0.35,0.35,0.33,0.35,51400
CIG,20260209,0.03,0.03,0.02,0.02,162000
CITY,20260209,1.5,1.5,1.47,1.5,2300
CIVIL,20260209,0.71,0.74,0.71,0.74,112500
CK,20260209,13.5,13.8,13.4,13.6,23498300
CKP,20260209,2.32,2.42,2.3,2.42,9479100
CM,20260209,1.65,1.67,1.59,1.62,82000
CMAN,20260209,2.46,2.48,2.46,2.48,58500
CMC,20260209,0.43,0.44,0.43,0.44,48300
CMO,20260209,0.39,0.42,0.36,0.4,189400
CMR,20260209,1.39,1.4,1.38,1.4,215300
CNT,20260209,1.06,1.07,1.02,1.04,34900
COCOCO,20260209,5.65,5.8,5.6,5.8,7092000
COLOR,20260209,1.03,1.03,1.03,1.03,12500
COM7,20260209,24.1,24.8,23.9,24.7,22501300
COMAN,20260209,0.4,0.4,0.38,0.39,17100
CPALL,20260209,48.25,48.75,47.25,47.5,97633200
CPANEL,20260209,1.89,1.95,1.89,1.92,19700
CPAXT,20260209,16,16.4,15.8,16.3,44797700
CPF,20260209,21.2,21.4,21.1,21.2,26566300
CPH,20260209,8.5,8.5,8.4,8.5,17700
CPI,20260209,3.46,3.46,3.42,3.42,43000
CPL,20260209,0.65,0.65,0.62,0.65,44400
CPN,20260209,63,63,61.5,62,13128100
CPNCG,20260209,6.4,6.45,6.4,6.45,482000
CPNREIT,20260209,11.3,11.4,11.2,11.3,3262200
CPR,20260209,2.76,2.8,2.76,2.8,15000
CPT,20260209,0.91,0.99,0.91,0.97,250500
CPTREIT,20260209,5.4,5.5,5.35,5.5,309900
CPW,20260209,2.12,2.12,1.87,2.04,1424200
CRANE,20260209,0.49,0.49,0.47,0.48,644300
CRC,20260209,20.9,21.9,20.6,21.5,38431800
CRD,20260209,0.29,0.29,0.29,0.29,77400
CREDIT,20260209,16.2,16.6,16.2,16.5,140900
CSC,20260209,45.25,45.25,45.25,45.25,1100
CSP,20260209,0.4,0.4,0.39,0.39,100500
CSR,20260209,63,65,63,65,200
CSS,20260209,0.78,0.79,0.77,0.79,422500
CTARAF,20260209,4.64,4.64,4.62,4.64,40900
CTW,20260209,2.94,2.94,2.92,2.94,300
CWT,20260209,0.92,0.98,0.92,0.93,3025300
D,20260209,2.5,2.52,2.5,2.52,44800
DCC,20260209,1.25,1.27,1.24,1.25,1377700
DCON,20260209,0.23,0.24,0.23,0.23,192300
DDD,20260209,5.45,5.55,5.4,5.5,36700
DELTA,20260209,216,222,214,220,22476600
DEMCO,20260209,2.54,2.6,2.5,2.5,214800
DEXON,20260209,1.07,1.07,1.07,1.07,46900
DHOUSE,20260209,0.39,0.4,0.39,0.4,15500
DIF,20260209,9.5,9.55,9.45,9.55,14237300
DIMET,20260209,0.05,0.06,0.05,0.05,5441400
DITTO,20260209,11.4,12.4,11.4,12.3,3821600
DMT,20260209,10.9,11,10.8,10.9,858900
DOD,20260209,1.74,1.85,1.71,1.82,24922700
DOHOME,20260209,4,4,3.84,3.9,34298500
DPAINT,20260209,0.65,0.67,0.64,0.66,746900
DREIT,20260209,4.92,4.94,4.92,4.92,13300
DRT,20260209,5.05,5.15,5.05,5.15,456100
DTCENT,20260209,0.87,0.88,0.86,0.88,642200
DUSIT,20260209,11.5,11.8,11.4,11.8,941600
DV8,20260209,4.18,4.26,4.16,4.18,196000
EA,20260209,2.84,2.88,2.78,2.86,65451300
EASON,20260209,1.06,1.07,1.05,1.05,734700
EAST,20260209,0.62,0.64,0.62,0.64,455100
EASTW,20260209,1.91,1.99,1.9,1.99,1102400
ECF,20260209,0.07,0.07,0.06,0.06,1553300
EFORL,20260209,0.13,0.14,0.12,0.14,6938600
EGATIF,20260209,6.15,6.2,6.15,6.2,239100
EGCO,20260209,120,120.5,119,120.5,1832800
EKH,20260209,4.96,4.98,4.94,4.98,613400
EMC,20260209,0.02,0.03,0.01,0.02,90899000
EMPIRE,20260209,0.62,0.67,0.61,0.64,38636200
EP,20260209,1.16,1.17,1.14,1.15,60700
EPG,20260209,3.36,3.36,3.24,3.24,4792500
ERW,20260209,2.86,2.9,2.78,2.82,56671700
ESTAR,20260209,0.21,0.21,0.2,0.21,1164600
ETC,20260209,0.54,0.56,0.54,0.54,2528700
ETE,20260209,0.58,0.59,0.55,0.59,138500
ETL,20260209,0.51,0.51,0.49,0.51,213900
EURO,20260209,4.5,4.5,4.46,4.5,6600
EVER,20260209,0.06,0.06,0.05,0.06,710400
F&D,20260209,56,56,56,56,100
FANCY,20260209,0.26,0.28,0.2,0.27,74100
FLOYD,20260209,1.22,1.22,1.18,1.21,240500
FM,20260209,3.76,3.78,3.72,3.76,610700
FMT,20260209,23.5,23.5,23.4,23.4,1200
FN,20260209,0.45,0.46,0.45,0.46,93100
FNS,20260209,0.69,0.72,0.69,0.71,115900
FORTH,20260209,6,7.2,6,7.1,8446300
FPI,20260209,1.81,1.81,1.77,1.81,77800
FPT,20260209,6.1,6.35,6.1,6.35,129700
FSMART,20260209,6.55,7.5,6.45,7.25,23028300
FSX,20260209,0.72,0.77,0.71,0.76,216200
FTE,20260209,1.96,1.98,1.95,1.98,536800
FTI,20260209,1.92,1.92,1.9,1.92,7000
FTREIT,20260209,11.7,12.1,11.7,12.1,2635900
FUTURERT,20260209,9.2,9.2,9.05,9.15,507000
FVC,20260209,0.44,0.46,0.44,0.46,346200
GABLE,20260209,3.5,3.52,3.46,3.52,414800
GAHREIT,20260209,4.22,4.22,4.18,4.18,13700
GBX,20260209,0.5,0.52,0.49,0.51,1404700
GC,20260209,4.02,4.04,4.02,4.04,154100
GCAP,20260209,0.28,0.28,0.27,0.28,1150300
GEL,20260209,0.04,0.04,0.03,0.04,207000
GENCO,20260209,0.26,0.26,0.25,0.26,94200
GFC,20260209,2.78,2.78,2.76,2.78,40200
