<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260430,12.43,12.43,12.41,12.41,44
2I01BSET50-O,20260430,3.04,3.04,3.03,3.03,83
BSET100-O,20260430,10.83,10.83,10.83,10.83,1
CHINA-O,20260430,7.41,7.42,7.41,7.42,28
GLD-O,20260430,5.95,5.98,5.93,5.97,498
TDEX-O,20260430,9.52,9.6,9.52,9.54,382
1DIV,20260430,12.41,12.43,12.34,12.34,34800
1I01BSET50,20260430,3.9,3.9,3.9,3.9,12700
2I01BSET50,20260430,3.01,3.04,3.01,3.01,206700
2X01BSET50,20260430,6.99,7.02,6.98,7.02,146300
BMSCG,20260430,8.22,8.22,8.22,8.22,100
BMSCITH,20260430,12.21,12.27,12.17,12.27,118100
BSET100,20260430,10.84,10.9,10.82,10.9,265900
CHINA,20260430,7.4,7.43,7.38,7.4,44700
GLD,20260430,5.92,5.98,5.92,5.98,1771300
TDEX,20260430,9.54,9.54,9.5,9.54,121600
UBOT,20260430,13.79,13.79,13.79,13.79,200
2S,20260430,2.72,2.74,2.7,2.7,157300
3BBIF,20260430,6.85,6.9,6.85,6.9,2497700
88TH,20260430,4.54,4.56,4.48,4.5,505200
A5,20260430,1.84,1.84,1.8,1.84,601000
AAI,20260430,3.72,3.74,3.66,3.7,13765400
AAV,20260430,1.07,1.07,1.05,1.06,69075400
ABM,20260430,0.5,0.5,0.5,0.5,23000
ACC,20260430,0.44,0.46,0.43,0.45,4402400
ACE,20260430,1.27,1.28,1.27,1.28,1339000
ACG,20260430,0.65,0.65,0.64,0.65,8800
ADB,20260430,0.57,0.58,0.57,0.58,5200
ADD,20260430,3.1,3.14,3.1,3.1,32400
ADVANC,20260430,346,347,337,340,11185000
ADVICE,20260430,5.85,5.85,5.7,5.75,1321700
AE,20260430,0.07,0.08,0.07,0.07,603800
AEONTS,20260430,94.25,95,93.5,94.75,471300
AF,20260430,0.37,0.37,0.36,0.36,9100
AFC,20260430,3.1,3.26,3.06,3.24,3800
AGE,20260430,1.22,1.27,1.22,1.24,2519000
AH,20260430,13.2,13.4,13.1,13.3,134300
AHC,20260430,14,14,13.6,13.8,400
AI,20260430,2.9,2.92,2.9,2.92,90500
AIE,20260430,1.15,1.19,1.15,1.16,4500300
AIMCG,20260430,1.37,1.38,1.37,1.37,7700
AIMIRT,20260430,11.4,11.6,11.3,11.4,372300
AIRA,20260430,1.06,1.06,1.06,1.06,400
AIT,20260430,4.7,4.74,4.7,4.72,173500
AJ,20260430,2.84,3,2.82,2.86,14912000
AJA,20260430,0.15,0.16,0.15,0.15,737800
AKP,20260430,0.71,0.77,0.71,0.76,5376200
AKR,20260430,0.94,0.94,0.93,0.94,1202900
ALLA,20260430,1.25,1.26,1.24,1.24,546300
ALLY,20260430,4.62,4.64,4.58,4.62,454400
ALPHAX,20260430,0.36,0.37,0.35,0.37,787300
ALT,20260430,1.21,1.26,1.21,1.25,2142200
ALUCON,20260430,246,260,246,257,14200
AMA,20260430,3.88,3.9,3.8,3.88,247900
AMANAH,20260430,0.63,0.64,0.63,0.64,306500
AMARC,20260430,4.06,4.18,4.02,4.14,2461000
AMARIN,20260430,3,3,3,3,6000
AMATA,20260430,20.9,21,20.5,20.6,17940700
AMATAR,20260430,6.8,6.85,6.75,6.85,47100
AMATAV,20260430,1.95,1.95,1.94,1.94,31700
AMC,20260430,2.34,2.38,2.34,2.38,11000
AMR,20260430,0.31,0.33,0.31,0.32,214900
ANAN,20260430,0.36,0.36,0.35,0.35,384300
ANI,20260430,2.54,2.62,2.52,2.58,44200
AOT,20260430,50.5,51.25,50.5,51.25,18816900
AP,20260430,8.55,8.65,8.5,8.6,10717600
APCO,20260430,2.6,2.64,2.58,2.64,16800
APCS,20260430,1.46,1.46,1.4,1.4,24000
APO,20260430,2.16,2.28,2.16,2.2,1988700
APP,20260430,2.8,2.84,2.8,2.8,100600
APURE,20260430,2.1,2.12,2.08,2.12,101000
AQUA,20260430,0.12,0.12,0.11,0.11,25100
ARIN,20260430,0.51,0.51,0.5,0.5,681900
ARIP,20260430,0.44,0.45,0.44,0.45,139500
ARROW,20260430,5.35,5.35,5.3,5.3,54200
AS,20260430,2.68,2.72,2.68,2.7,360900
ASAP,20260430,1.2,1.25,1.19,1.24,34800
ASEFA,20260430,4.26,4.26,4.18,4.18,216900
ASIA,20260430,5.3,5.3,5.3,5.3,5200
ASIAN,20260430,7.15,7.15,7.05,7.15,468800
ASIMAR,20260430,1.45,1.46,1.43,1.43,34700
ASK,20260430,9.3,9.3,9.05,9.05,1009200
ASN,20260430,0.69,0.7,0.66,0.66,5000
ASP,20260430,2.06,2.06,2.04,2.06,2219700
ASW,20260430,7,7.05,6.9,7,310600
ATLAS,20260430,1.91,1.93,1.88,1.89,6007200
ATP30,20260430,0.81,0.81,0.8,0.8,369400
AU,20260430,4.7,4.7,4.68,4.7,256600
AUCT,20260430,4.94,4.94,4.92,4.92,454700
AURA,20260430,14.4,14.4,14.1,14.2,911800
AWC,20260430,2.06,2.1,2.06,2.1,28030900
AXTRART,20260430,13.1,13.1,12.9,12.9,1005100
AYUD,20260430,38.5,38.75,38.25,38.5,24800
B,20260430,0.04,0.04,0.03,0.04,2980400
B-WORK,20260430,6,6,5.9,6,358600
B52,20260430,0.24,0.24,0.22,0.22,37900
BA,20260430,13.3,13.6,13.3,13.5,3316200
BAFS,20260430,8.4,8.5,8.4,8.5,124200
BAM,20260430,7.4,7.45,7.35,7.4,27226100
BANPU,20260430,5.7,5.95,5.7,5.9,67959300
BAREIT,20260430,10.8,10.8,10.7,10.7,225600
BAY,20260430,28,28.75,28,28.5,2043000
