<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260107,11.49,11.49,11.49,11.49,124
2I01BSET50-O,20260107,4.55,4.57,4.55,4.57,94
BMSCITH-O,20260107,9.94,9.94,9.93,9.93,112
BSET100-O,20260107,9.17,9.17,9.17,9.17,50
CHINA-O,20260107,6.99,6.99,6.95,6.95,2
GLD-O,20260107,5.55,5.56,5.54,5.55,778
TDEX-O,20260107,8.37,8.38,8.35,8.38,359
UBOT-O,20260107,14.19,14.19,14.19,14.19,2
1DIV,20260107,11.49,11.49,11.39,11.45,14400
2I01BSET50,20260107,4.56,4.57,4.54,4.54,24600
2X01BSET50,20260107,5.16,5.19,5.15,5.19,23700
BMSCITH,20260107,9.95,9.95,9.9,9.93,96200
BSET100,20260107,9.16,9.18,9.14,9.14,6500
CHINA,20260107,6.96,6.98,6.95,6.95,34500
GLD,20260107,5.55,5.55,5.53,5.54,974600
TDEX,20260107,8.36,8.39,8.35,8.39,106000
UBOT,20260107,14.09,14.09,14.09,14.09,1800
UHERO,20260107,9.49,9.49,9.49,9.49,2200
2S,20260107,2.42,2.44,2.42,2.42,55800
3BBIF,20260107,6.5,6.6,6.45,6.5,9518500
88TH,20260107,4.5,4.54,4.44,4.5,2247300
A,20260107,4.86,4.86,4.86,4.86,100
A5,20260107,1.84,1.85,1.84,1.85,4200
AAI,20260107,4.2,4.22,4.16,4.2,629400
AAV,20260107,1.16,1.2,1.14,1.17,104196600
ABM,20260107,0.62,0.64,0.62,0.64,74100
ACC,20260107,0.45,0.46,0.45,0.45,1391400
ACE,20260107,1.3,1.3,1.29,1.3,608500
ACG,20260107,0.55,0.57,0.55,0.57,43100
ADB,20260107,0.59,0.6,0.57,0.57,12800
ADD,20260107,3.28,3.28,3.26,3.28,2700
ADVANC,20260107,320,322,317,320,4612300
ADVICE,20260107,5.8,5.8,5.7,5.8,844300
AE,20260107,0.1,0.1,0.08,0.09,3851900
AEONTS,20260107,102,103,101.5,102.5,226500
AF,20260107,0.31,0.32,0.29,0.32,94900
AFC,20260107,3.5,3.6,3.5,3.6,5200
AGE,20260107,1.24,1.25,1.23,1.24,495400
AH,20260107,12.9,13,12.8,12.9,324800
AHC,20260107,13,13.2,13,13.2,3500
AI,20260107,3,3.02,2.98,3.02,113500
AIE,20260107,1.02,1.03,1.02,1.02,396200
AIMCG,20260107,1.71,1.72,1.71,1.72,58100
AIMIRT,20260107,10.9,10.9,10.8,10.9,46000
AIRA,20260107,1.4,1.4,1.4,1.4,1500
AIT,20260107,4.98,5,4.94,5,861100
AJ,20260107,2,2.06,1.97,1.97,3250500
AJA,20260107,0.19,0.19,0.17,0.17,4240300
AKP,20260107,0.6,0.61,0.59,0.6,104300
AKR,20260107,0.86,0.87,0.86,0.87,611800
AKS,20260107,0.02,0.03,0.02,0.02,676200
ALLA,20260107,1.16,1.18,1.16,1.17,115800
ALLY,20260107,4.44,4.46,4.42,4.46,345900
ALPHAX,20260107,0.49,0.5,0.47,0.48,18210800
ALT,20260107,1.05,1.06,1.04,1.06,543600
ALUCON,20260107,195.5,196,195.5,196,700
AMA,20260107,4.1,4.12,4.1,4.1,84400
AMANAH,20260107,0.77,0.77,0.76,0.77,83300
AMARC,20260107,2.5,2.52,2.46,2.5,603400
AMARIN,20260107,2.42,2.62,2.42,2.46,13400
