<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260106,11.53,11.53,11.51,11.51,69
2I01BSET50-O,20260106,1.81,1.81,1.81,1.81,3
BMSCITH-O,20260106,9.99,9.99,9.99,9.99,11
BSET100-O,20260106,9.19,9.19,6.5,6.5,14
CHINA-O,20260106,6.95,6.95,6.95,6.95,1
GLD-O,20260106,5.58,5.68,5.58,5.58,488
TDEX-O,20260106,8.41,8.44,8.36,8.36,733
UBOT-O,20260106,13,13,13,13,3
UHERO-O,20260106,9.39,9.39,9.39,9.39,2
1DIV,20260106,11.53,11.53,11.48,11.49,41300
1I01BSET50,20260106,4.78,4.79,4.78,4.79,400
2I01BSET50,20260106,4.54,4.58,4.52,4.57,2167400
2X01BSET50,20260106,5.2,5.21,5.14,5.16,82700
BMSCG,20260106,7.32,7.32,7.32,7.32,100
BMSCITH,20260106,10,10,9.9,9.9,11500
BSET100,20260106,9.22,9.22,9.12,9.12,9100
CHINA,20260106,6.92,6.97,6.92,6.96,83100
GLD,20260106,5.61,5.61,5.54,5.55,3292200
TDEX,20260106,8.4,8.4,8.35,8.36,193200
UBOT,20260106,13.99,13.99,13.99,13.99,1400
UHERO,20260106,9.49,9.49,9.49,9.49,200
2S,20260106,2.36,2.44,2.34,2.42,79400
3BBIF,20260106,6.4,6.5,6.35,6.5,12012200
88TH,20260106,4.48,4.56,4.46,4.48,4118800
A5,20260106,1.84,1.84,1.79,1.84,5700
AAI,20260106,4.16,4.2,4.16,4.16,1553100
AAV,20260106,1.16,1.17,1.13,1.14,36847100
ABM,20260106,0.65,0.65,0.63,0.65,18700
ACC,20260106,0.45,0.47,0.44,0.44,7893400
ACE,20260106,1.3,1.31,1.29,1.3,544500
ACG,20260106,0.62,0.62,0.55,0.55,403400
ADB,20260106,0.6,0.6,0.56,0.59,183700
ADD,20260106,3.28,3.28,3.2,3.28,32400
ADVANC,20260106,322,326,318,321,6542500
ADVICE,20260106,5.8,5.95,5.75,5.8,1604000
AE,20260106,0.09,0.1,0.09,0.09,781900
