<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260326,12.1,12.12,12.06,12.12,73
2X01BSET50-O,20260326,6.68,6.78,6.68,6.78,14
BMSCITH-O,20260326,11.84,11.94,11.84,11.85,64
CHINA-O,20260326,6.98,6.98,6.96,6.96,35
GLD-O,20260326,5.84,5.91,5.76,5.79,1649
TDEX-O,20260326,9.3,9.37,9.3,9.35,204
1DIV,20260326,12.06,12.17,12.05,12.11,18800
1I01BSET50,20260326,4.02,4.02,4,4.02,1900
2I01BSET50,20260326,3.19,3.23,3.16,3.19,1086000
2X01BSET50,20260326,6.75,6.82,6.69,6.77,576800
BMSCG,20260326,7.64,7.65,7.64,7.65,9400
BMSCITH,20260326,11.84,11.94,11.82,11.82,206600
BSET100,20260326,10.52,10.6,10.52,10.59,451565
CHINA,20260326,6.95,6.98,6.95,6.96,190200
GLD,20260326,5.8,5.85,5.74,5.76,3407800
TDEX,20260326,9.38,9.38,9.3,9.34,324700
UBOT,20260326,12.69,12.69,12.69,12.69,500
UHERO,20260326,7.99,7.99,7.99,7.99,500
2S,20260326,2.54,2.6,2.54,2.58,119700
3BBIF,20260326,6.6,6.6,6.55,6.55,2367600
88TH,20260326,5.1,5.1,5,5,1015700
A5,20260326,1.85,1.86,1.8,1.85,25600
AAI,20260326,3.46,3.5,3.44,3.5,1566100
AAV,20260326,1.09,1.1,1.08,1.08,44378900
ABM,20260326,0.56,0.56,0.55,0.56,52800
ACC,20260326,0.38,0.39,0.38,0.38,2726500
ACE,20260326,1.28,1.29,1.28,1.29,1614300
ACG,20260326,0.65,0.65,0.62,0.62,170400
ADB,20260326,0.58,0.58,0.56,0.57,93500
ADD,20260326,3.46,3.46,3.44,3.46,14400
ADVANC,20260326,370,370,364,368,6641200
ADVICE,20260326,5.6,5.6,5.4,5.4,1091700
AE,20260326,0.08,0.09,0.07,0.08,4758800
AEONTS,20260326,90.25,90.25,87.75,88.25,608800
