<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260213,11.84,11.95,11.81,11.81,165
2I01BSET50-O,20260213,3.4,3.4,3.39,3.39,21
2X01BSET50-O,20260213,6.65,6.68,6.65,6.67,33
BMSCITH-O,20260213,11.46,11.46,11.45,11.45,69
BSET100-O,20260213,10.45,10.45,10.4,10.4,291
CHINA-O,20260213,8.9,8.9,8.9,8.9,30
GLD-O,20260213,6.14,6.14,6.12,6.13,660
TDEX-O,20260213,9.28,9.29,9.22,9.25,756
1DIV,20260213,11.74,11.84,11.74,11.78,171600
1I01BSET50,20260213,4.12,4.16,4.12,4.16,18500
2I01BSET50,20260213,3.39,3.43,3.37,3.41,3855300
2X01BSET50,20260213,6.73,6.77,6.64,6.69,142600
BMSCG,20260213,7.97,8.04,7.97,8.04,11100
BMSCITH,20260213,11.52,11.53,11.39,11.39,74000
BSET100,20260213,10.42,10.46,10.36,10.4,47300
CHINA,20260213,6.92,6.92,6.84,6.84,21000
GLD,20260213,6.12,6.13,6.1,6.13,3667300
TDEX,20260213,9.28,9.29,9.21,9.23,1415900
UBOT,20260213,14.19,14.19,14.19,14.19,2500
2S,20260213,2.5,2.52,2.5,2.52,16300
3BBIF,20260213,6.5,6.55,6.45,6.5,17725900
88TH,20260213,4.66,4.76,4.62,4.64,1404400
A5,20260213,1.84,1.84,1.8,1.83,70100
AAI,20260213,4.52,4.6,4.52,4.56,3321000
AAV,20260213,1.28,1.3,1.27,1.28,99962800
ABM,20260213,0.63,0.63,0.62,0.62,1100
ACC,20260213,0.47,0.49,0.46,0.48,11952100
ACE,20260213,1.3,1.31,1.29,1.3,972400
ACG,20260213,0.63,0.63,0.61,0.62,7100
ADB,20260213,0.59,0.59,0.57,0.57,189800
ADD,20260213,4.1,4.1,3.88,4.06,47500
ADVANC,20260213,392,396,388,389,5259000
ADVICE,20260213,6,6.05,5.85,5.95,5192800
AE,20260213,0.08,0.09,0.08,0.09,1241500
AEONTS,20260213,100,100,97.75,99,1507300
AF,20260213,0.33,0.35,0.32,0.35,20200
AFC,20260213,3.16,3.22,3.1,3.18,4800
AGE,20260213,1.33,1.4,1.32,1.37,2990000
AH,20260213,13.9,14.2,13.9,14.1,219100
AHC,20260213,13.1,13.4,13.1,13.2,1300
AI,20260213,3.06,3.06,3.04,3.06,75200
AIE,20260213,1.07,1.08,1.06,1.08,847700
AIMCG,20260213,1.63,1.63,1.61,1.61,124800
AIMIRT,20260213,11,11,10.9,10.9,523700
AIRA,20260213,1,1,0.99,0.99,3100
AIT,20260213,5.15,5.15,5.05,5.1,865300
AJ,20260213,1.77,1.85,1.74,1.77,4662800
AJA,20260213,0.16,0.17,0.16,0.17,1846700
AKP,20260213,0.69,0.7,0.68,0.69,1063900
AKR,20260213,0.87,0.87,0.86,0.87,1756400
AKS,20260213,0.03,0.03,0.02,0.02,1002300
ALLA,20260213,1.19,1.22,1.18,1.21,476100
ALLY,20260213,4.48,4.52,4.46,4.52,880300
ALPHAX,20260213,0.49,0.51,0.49,0.5,7561300
ALT,20260213,1.12,1.19,1.12,1.19,2294600
ALUCON,20260213,200,201,200,201,1200
AMA,20260213,4.18,4.2,4.18,4.2,228000
AMANAH,20260213,0.79,0.8,0.77,0.79,969100
AMARC,20260213,2.84,2.84,2.78,2.8,1410700
AMARIN,20260213,2.42,2.6,2.42,2.6,19100
AMATA,20260213,18.3,18.4,18,18.3,24347100
AMATAR,20260213,6.7,6.7,6.7,6.7,27000
AMATAV,20260213,1.85,1.96,1.84,1.88,561300
AMC,20260213,2.06,2.08,2.04,2.06,23900
AMR,20260213,0.41,0.43,0.41,0.41,819800
ANAN,20260213,0.46,0.47,0.45,0.46,3868800
ANI,20260213,2.88,2.96,2.88,2.94,389500
AOT,20260213,56.75,57.75,56.25,57.5,52878200
AP,20260213,9.25,9.3,9.1,9.2,11238500
APCO,20260213,2.86,2.88,2.82,2.82,48500
APCS,20260213,1.28,1.28,1.27,1.27,8100
APO,20260213,1.93,1.95,1.92,1.93,519400
APP,20260213,2.72,2.76,2.7,2.76,1021900
APURE,20260213,2.14,2.14,2,2.06,972700
AQUA,20260213,0.16,0.16,0.15,0.16,135900
ARIN,20260213,0.65,0.68,0.63,0.65,9817800
ARIP,20260213,0.44,0.46,0.44,0.45,298900
ARROW,20260213,5.15,5.15,5.05,5.1,21800
AS,20260213,3.04,3.06,2.92,2.96,3136600
ASAP,20260213,1.3,1.3,1.18,1.19,22700
ASEFA,20260213,3.5,3.52,3.5,3.52,154800
ASIAN,20260213,7.55,7.65,7.55,7.6,521100
ASIMAR,20260213,1.57,1.65,1.57,1.59,302000
ASK,20260213,8.35,8.85,8.3,8.85,1513400
ASN,20260213,0.77,0.77,0.76,0.76,6300
ASP,20260213,2.24,2.24,2.12,2.14,1716600
ASW,20260213,7,7.1,6.95,6.95,70800
ATLAS,20260213,1.82,1.86,1.79,1.85,11504000
ATP30,20260213,0.9,0.91,0.9,0.9,630400
AU,20260213,5.35,5.4,5.2,5.3,796300
AUCT,20260213,5.25,5.3,5.25,5.25,1194400
AURA,20260213,13.7,13.7,13.4,13.4,743200
AWC,20260213,2.52,2.56,2.46,2.5,89528600
AXTRART,20260213,13,13,12.9,13,319300
AYUD,20260213,37.5,38.75,37.5,38.5,101200
B,20260213,0.04,0.05,0.03,0.04,6742000
B-WORK,20260213,5.3,5.3,5.25,5.3,59500
B52,20260213,0.31,0.32,0.31,0.31,51200
BA,20260213,17.1,17.5,17.1,17.2,8224900
BAFS,20260213,9.3,9.4,9.1,9.2,447700
BAM,20260213,7.8,7.85,7.65,7.65,36938700
BANPU,20260213,5.8,5.85,5.65,5.75,57505100
BAREIT,20260213,10.8,10.8,10.7,10.7,712700
BAY,20260213,25.5,25.75,25.5,25.75,392300
BBGI,20260213,3.1,3.14,3.08,3.1,716700
BBIK,20260213,18,18.2,17.5,17.9,1655100
BBL,20260213,164,166,163,163.5,17955200
BC,20260213,0.71,0.73,0.7,0.7,60700
BCH,20260213,10.7,10.9,10.5,10.7,30215100
BCP,20260213,36,36.5,35.25,36,18592500
BCPG,20260213,8.4,8.7,7.95,7.95,41574600
BCT,20260213,51,51,51,51,700
BDMS,20260213,21.1,21.7,21,21.3,128713500
BE8,20260213,5.6,6,5.5,5.65,2332000
BEAUTY,20260213,0.4,0.4,0.39,0.4,3962500
BEC,20260213,1.95,1.95,1.89,1.9,1645700
BEM,20260213,5.4,5.55,5.4,5.5,46961700
BEYOND,20260213,8.2,8.35,8.2,8.35,5100
BGC,20260213,4.3,4.32,4.28,4.32,188000
BGRIM,20260213,14.4,15.4,14.4,15.2,45879400
BGT,20260213,0.38,0.4,0.37,0.37,57600
BH,20260213,190,190,187,187.5,2872600
BIG,20260213,0.3,0.3,0.29,0.3,644800
BIOTEC,20260213,0.18,0.18,0.17,0.18,267500
BIS,20260213,1.95,1.95,1.91,1.94,180600
BIZ,20260213,4.28,4.34,4.2,4.34,269200
BJC,20260213,16.1,16.2,15.7,15.9,11304500
BJCHI,20260213,0.58,0.58,0.57,0.58,399900
BKA,20260213,1,1.05,0.98,1,6754300
BKD,20260213,1.07,1.08,1.07,1.08,9600
BKGI,20260213,1.32,1.33,1.25,1.29,1373600
BKIH,20260213,305,306,305,305,2300
BLA,20260213,21.4,21.8,21.4,21.6,1650900
BLAND,20260213,0.46,0.47,0.45,0.46,5698300
BLC,20260213,4.18,4.18,4.12,4.18,140700
BLESS,20260213,0.23,0.24,0.23,0.24,230300
BM,20260213,1.06,1.06,1.04,1.05,1174400
BOFFICE,20260213,5.3,5.4,5.3,5.35,346900
BOL,20260213,5.55,5.7,5.55,5.65,228200
BPP,20260213,11.9,12.2,11.9,12.1,229400
BPS,20260213,0.42,0.43,0.41,0.41,364700
BR,20260213,1.68,1.69,1.68,1.68,110500
BRI,20260213,1.48,1.52,1.48,1.5,219300
BROCK,20260213,1.43,1.43,1.27,1.3,1400
BRR,20260213,3.9,3.92,3.88,3.9,41500
BRRGIF,20260213,3.8,3.82,3.8,3.82,237400
BSBM,20260213,0.57,0.58,0.57,0.57,166200
BSM,20260213,0.36,0.49,0.3,0.49,204600
BTC,20260213,0.24,0.25,0.23,0.24,5690500
BTG,20260213,17.9,18,17.7,17.8,6070700
BTNC,20260213,20.2,20.5,19.7,19.8,10900
BTS,20260213,2.5,2.82,2.48,2.74,340788600
BTSGIF,20260213,2.66,2.66,2.64,2.66,3065800
BTW,20260213,0.1,0.12,0.1,0.11,854000
BUI,20260213,12.1,12.2,12.1,12.2,26600
BVG,20260213,1.8,1.83,1.79,1.83,112400
BWG,20260213,0.28,0.3,0.28,0.29,43896200
BYD,20260213,0.59,0.61,0.58,0.61,19105700
CAZ,20260213,1.54,1.54,1.49,1.51,116900
CBG,20260213,47,48.25,46.75,47.25,5646700
CCET,20260213,5.05,5.1,4.96,5.05,18434000
CCP,20260213,0.26,0.27,0.26,0.26,2159900
CEN,20260213,0.77,0.77,0.74,0.75,516600
CENTEL,20260213,38,38.75,38,38.25,2497400
CEYE,20260213,1.68,1.68,1.66,1.67,3300
CFARM,20260213,0.8,0.81,0.78,0.79,871400
CFRESH,20260213,0.72,0.74,0.71,0.72,1045200
CGD,20260213,0.11,0.12,0.11,0.11,5900
CGH,20260213,0.5,0.51,0.48,0.49,4751300
CH,20260213,1.8,1.8,1.79,1.79,12000
CHAO,20260213,4.58,4.62,4.56,4.62,76300
CHASE,20260213,0.55,0.55,0.54,0.55,1353300
CHAYO,20260213,1.44,1.45,1.37,1.41,9343200
CHEWA,20260213,0.21,0.22,0.19,0.2,3898600
CHG,20260213,1.65,1.68,1.62,1.62,29441600
CHIC,20260213,0.25,0.25,0.25,0.25,104900
CHO,20260213,0.06,0.06,0.05,0.06,223300
CHOTI,20260213,62.75,63,62.75,63,200
CHOW,20260213,1.32,1.34,1.28,1.3,415100
CI,20260213,0.37,0.37,0.35,0.35,99500
CIG,20260213,0.03,0.03,0.02,0.03,334800
CIVIL,20260213,0.73,0.75,0.72,0.73,107100
CK,20260213,14.7,15.3,14.6,15,10768300
CKP,20260213,2.5,2.56,2.48,2.52,6392800
CM,20260213,1.65,1.65,1.63,1.64,13200
CMAN,20260213,2.46,2.52,2.46,2.48,305200
CMC,20260213,0.48,0.48,0.47,0.48,16400
CMO,20260213,0.39,0.4,0.38,0.4,77800
CMR,20260213,1.4,1.42,1.4,1.41,104800
CNT,20260213,1.09,1.1,1.08,1.09,28100
COCOCO,20260213,5.9,5.95,5.8,5.85,3458900
COLOR,20260213,1.02,1.02,1.01,1.02,54600
COM7,20260213,24.7,24.9,24.4,24.5,10709600
COMAN,20260213,0.41,0.42,0.4,0.4,8500
CPALL,20260213,49.5,49.5,48.75,49.25,30541800
CPANEL,20260213,1.95,1.96,1.93,1.95,34400
CPAXT,20260213,16.8,16.9,16.4,16.5,22591100
CPF,20260213,21.3,21.6,21.2,21.3,38174300
CPH,20260213,8.9,9.1,8.85,9.1,213600
CPI,20260213,3.46,3.5,3.46,3.5,379300
CPL,20260213,0.69,0.7,0.64,0.68,390100
CPN,20260213,63.75,64,62.75,63,7838200
CPNCG,20260213,6.45,6.45,6.4,6.45,2330400
CPNREIT,20260213,11.3,11.5,11.3,11.4,3082000
CPR,20260213,2.82,2.82,2.78,2.82,54300
CPT,20260213,0.98,1,0.98,1,117700
CPTREIT,20260213,5.55,5.65,5.55,5.65,438900
CPW,20260213,2.12,2.24,2.12,2.16,1074300
CRANE,20260213,0.48,0.49,0.47,0.49,668900
CRC,20260213,22.2,22.2,21.7,21.9,14246500
CRD,20260213,0.29,0.3,0.28,0.29,54200
CREDIT,20260213,17,17.1,16.8,17.1,165700
CSC,20260213,45.75,45.75,45.75,45.75,100
CSP,20260213,0.39,0.41,0.39,0.41,49500
CSR,20260213,63,63,63,63,100
CSS,20260213,0.78,0.8,0.78,0.78,423600
CTARAF,20260213,4.64,4.68,4.64,4.68,309300
CTW,20260213,2.94,2.96,2.9,2.96,132900
CWT,20260213,1.01,1.02,0.97,0.98,3323100
D,20260213,2.54,2.62,2.54,2.58,289200
DCC,20260213,1.24,1.26,1.24,1.25,1909700
DCON,20260213,0.24,0.24,0.23,0.24,798800
DDD,20260213,5.7,5.75,5.6,5.75,36500
DELTA,20260213,224,224,216,216,10327400
DEMCO,20260213,2.52,2.54,2.48,2.48,223000
DEXON,20260213,1.04,1.05,1.04,1.05,96000
DHOUSE,20260213,0.38,0.4,0.37,0.4,23700
DIF,20260213,9.4,9.45,9.35,9.45,19002100
DIMET,20260213,0.06,0.06,0.04,0.05,1129300
DITTO,20260213,13.2,13.4,13,13.4,2425800
DMT,20260213,11.1,11.2,11.1,11.1,491500
DOD,20260213,1.86,1.89,1.83,1.83,2133600
DOHOME,20260213,3.98,4.06,3.92,3.96,19575900
DPAINT,20260213,0.7,0.73,0.69,0.69,1523100
DREIT,20260213,4.92,4.96,4.9,4.96,43500
DRT,20260213,5.25,5.35,5.25,5.35,376700
DTCENT,20260213,0.88,0.89,0.88,0.89,607900
DUSIT,20260213,12,12.4,11.8,12.4,903800
DV8,20260213,4.5,4.56,4.4,4.48,445700
EA,20260213,3.28,3.32,3.18,3.22,88803900
EASON,20260213,1.06,1.07,1.05,1.07,818200
EAST,20260213,0.65,0.68,0.65,0.67,416700
EASTW,20260213,2.14,2.16,2.08,2.1,770600
ECF,20260213,0.07,0.07,0.06,0.06,879700
EFORL,20260213,0.14,0.15,0.13,0.14,1369300
EGATIF,20260213,6.2,6.2,6.15,6.2,38700
EGCO,20260213,123,125.5,122,123,1862200
EKH,20260213,5.05,5.1,5,5.05,1828100
EMC,20260213,0.02,0.03,0.02,0.02,43664800
EMPIRE,20260213,0.66,0.79,0.65,0.74,91405500
EP,20260213,1.17,1.18,1.16,1.16,83700
EPG,20260213,3.52,3.68,3.52,3.68,14774800
ERW,20260213,3.1,3.14,3.04,3.14,29188800
ESTAR,20260213,0.2,0.21,0.2,0.21,203000
ETC,20260213,0.58,0.6,0.57,0.59,7674200
ETE,20260213,0.62,0.64,0.61,0.62,67400
ETL,20260213,0.52,0.57,0.51,0.54,266400
EURO,20260213,4.52,4.52,4.52,4.52,500
EVER,20260213,0.07,0.07,0.05,0.06,5232700
FANCY,20260213,0.29,0.29,0.27,0.29,44300
FLOYD,20260213,1.25,1.27,1.22,1.25,737100
FM,20260213,3.9,3.92,3.86,3.9,659800
FMT,20260213,23.6,23.7,23.6,23.7,1600
FN,20260213,0.44,0.46,0.44,0.45,79800
FNS,20260213,0.7,0.72,0.69,0.7,280100
FORTH,20260213,8.15,8.15,7.7,7.8,2674200
FPI,20260213,1.8,1.81,1.8,1.81,10800
FPT,20260213,6.4,6.5,6.35,6.5,42500
FSMART,20260213,7.65,7.8,7.4,7.45,5730700
FSX,20260213,0.73,0.78,0.73,0.76,78500
FTE,20260213,1.99,2,1.98,1.98,293200
FTI,20260213,1.89,1.89,1.87,1.87,2000
