<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260403,12.22,12.22,12.21,12.21,80
1I01BSET50-O,20260403,3.96,3.96,3.96,3.96,3
2X01BSET50-O,20260403,6.94,6.99,6.94,6.99,13
BMSCG-O,20260403,7.78,7.78,7.78,7.78,2
BMSCITH-O,20260403,11.97,11.97,11.97,11.97,11
BSET100-O,20260403,10.85,10.85,10.71,10.73,56
GLD-O,20260403,6.03,6.05,6.03,6.03,231
TDEX-O,20260403,9.53,9.55,9.46,9.46,543
UBOT-O,20260403,10.18,10.18,10.18,10.18,1
1DIV,20260403,12.33,12.33,12.2,12.2,31900
1I01BSET50,20260403,3.96,3.97,3.96,3.97,29000
2I01BSET50,20260403,3.06,3.13,3.06,3.13,656700
2X01BSET50,20260403,7.02,7.02,6.86,6.86,159600
ABFTH,20260403,967,967,967,967,100
BMSCG,20260403,7.87,7.87,7.77,7.77,4400
BMSCITH,20260403,12.02,12.02,11.95,11.95,78900
BSET100,20260403,10.79,10.8,10.69,10.69,8500
CHINA,20260403,6.96,6.96,6.87,6.88,12900
GLD,20260403,6,6.04,5.98,6.04,989300
TDEX,20260403,9.55,9.55,9.45,9.45,231400
2S,20260403,2.8,2.8,2.74,2.74,102000
3BBIF,20260403,6.6,6.65,6.55,6.6,2482600
88TH,20260403,4.98,4.98,4.82,4.84,1427900
A5,20260403,1.83,1.85,1.83,1.85,3000
AAI,20260403,3.48,3.48,3.42,3.44,6239200
AAV,20260403,1.13,1.14,1.09,1.1,97005300
ABM,20260403,0.55,0.55,0.55,0.55,13100
ACC,20260403,0.37,0.38,0.36,0.37,3296500
ACE,20260403,1.29,1.29,1.28,1.28,498500
ACG,20260403,0.66,0.67,0.66,0.66,6300
ADB,20260403,0.58,0.59,0.58,0.59,31500
ADD,20260403,3.44,3.46,3.42,3.44,32700
ADVANC,20260403,365,368,363,365,3359900
ADVICE,20260403,5.45,5.5,5.4,5.4,12099800
AE,20260403,0.08,0.09,0.08,0.08,1488100
AEONTS,20260403,90.75,91,89.75,90,235800
AF,20260403,0.35,0.36,0.34,0.35,58000
AFC,20260403,3.06,3.06,2.98,2.98,1600
AGE,20260403,1.28,1.29,1.22,1.24,1321500
AH,20260403,13.1,13.1,12.9,12.9,102900
AHC,20260403,13.6,13.9,13.3,13.9,6600
AI,20260403,2.94,2.94,2.92,2.92,53100
AIE,20260403,1.17,1.18,1.14,1.16,2008200
AIMCG,20260403,1.3,1.3,1.29,1.29,38900
AIMIRT,20260403,11,11.1,11,11,143400
AIRA,20260403,1.12,1.14,1.12,1.14,6500
AIT,20260403,4.84,4.84,4.82,4.82,222000
AJ,20260403,3.22,3.24,2.98,3.02,9563200
AJA,20260403,0.17,0.17,0.16,0.17,5032300
AKP,20260403,0.69,0.69,0.67,0.68,366000
AKR,20260403,0.92,0.93,0.92,0.93,1224000
ALLA,20260403,1.25,1.25,1.24,1.25,204600
ALLY,20260403,4.3,4.32,4.28,4.3,218400
ALPHAX,20260403,0.45,0.46,0.44,0.46,6183600
ALT,20260403,1.19,1.23,1.11,1.11,3395000
ALUCON,20260403,227,228,227,228,1200
AMA,20260403,3.9,3.94,3.9,3.92,103500
AMANAH,20260403,0.65,0.66,0.64,0.64,368400
AMARC,20260403,3.44,3.48,3.4,3.4,515000
AMARIN,20260403,2.82,2.94,2.8,2.94,17600
AMATA,20260403,19.4,19.6,19.1,19.1,17244900
AMATAR,20260403,6.65,6.7,6.65,6.7,4000
AMATAV,20260403,2.04,2.04,1.9,1.9,591500
AMC,20260403,2.52,2.52,2.4,2.44,27900
AMR,20260403,0.32,0.36,0.31,0.33,1298300
ANAN,20260403,0.38,0.39,0.37,0.37,1157500
ANI,20260403,2.66,2.68,2.6,2.66,17900
AOT,20260403,53.5,54,52.75,53,19956000
AP,20260403,8.6,8.6,8.45,8.45,4121600
APCO,20260403,2.76,2.78,2.72,2.76,317000
APO,20260403,2.4,2.4,2.26,2.3,2527100
APP,20260403,2.76,2.78,2.72,2.74,179700
APURE,20260403,2.24,2.24,2.16,2.18,67800
AQUA,20260403,0.13,0.13,0.12,0.12,898600
ARIN,20260403,0.52,0.52,0.5,0.5,1150000
ARIP,20260403,0.44,0.44,0.43,0.43,176900
ARROW,20260403,5.3,5.35,5.2,5.2,12800
AS,20260403,2.76,2.82,2.7,2.7,3364600
ASAP,20260403,1.14,1.14,1.13,1.14,36000
ASEFA,20260403,4.1,4.1,4.06,4.08,114700
ASIA,20260403,5.85,6,5.85,6,21700
ASIAN,20260403,7.05,7.1,7.05,7.05,294500
ASIMAR,20260403,1.49,1.5,1.46,1.49,44400
ASK,20260403,8.45,8.45,8.35,8.35,91900
ASP,20260403,2.06,2.08,2.06,2.08,763000
ASW,20260403,7.2,7.3,7.15,7.3,88000
ATLAS,20260403,1.9,1.95,1.84,1.84,15209400
ATP30,20260403,0.86,0.86,0.85,0.86,1782200
AU,20260403,4.86,4.86,4.78,4.82,198300
AUCT,20260403,5,5.1,5,5.1,502500
AURA,20260403,14.2,14.3,13.9,14,1274600
AWC,20260403,2.2,2.2,2.14,2.16,26988700
AXTRART,20260403,12.8,12.9,12.7,12.7,921100
AYUD,20260403,37,37.5,36.75,37.25,13000
B,20260403,0.03,0.04,0.03,0.04,1036000
B-WORK,20260403,5.5,5.6,5.5,5.6,66400
B52,20260403,0.25,0.25,0.24,0.25,120400
BA,20260403,13.8,13.9,13.5,13.6,3597400
BAFS,20260403,8.5,8.5,8.4,8.4,88100
BAM,20260403,7.3,7.3,7.15,7.15,11748300
BANPU,20260403,6.05,6.05,5.9,5.9,31070600
