<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260123,11.64,11.64,11.57,11.57,252
2I01BSET50-O,20260123,4.2,4.2,4.2,4.2,100
2X01BSET50-O,20260123,5.57,5.57,5.5,5.53,147
BMSCITH-O,20260123,10.38,10.38,10.37,10.37,12
BSET100-O,20260123,9.5,9.5,9.5,9.5,11
CHINA-O,20260123,6.9,6.9,6.9,6.9,1
GLD-O,20260123,6.05,6.15,6.05,6.08,1686
TDEX-O,20260123,8.7,8.74,8.68,8.68,366
1DIV,20260123,11.9,11.9,11.53,11.55,25100
2I01BSET50,20260123,4.2,4.22,4.15,4.19,2542700
2X01BSET50,20260123,5.53,5.6,5.51,5.54,196900
BMSCG,20260123,7.45,7.45,7.45,7.45,300
BMSCITH,20260123,10.3,10.39,10.28,10.32,545000
BSET100,20260123,9.5,9.5,9.44,9.47,5300
CHINA,20260123,6.9,6.93,6.9,6.91,17700
GLD,20260123,6.08,6.14,6.08,6.09,5930100
TDEX,20260123,8.65,8.72,8.65,8.66,546900
UBOT,20260123,14.09,14.09,14.09,14.09,1700
UHERO,20260123,9.49,9.49,9.39,9.39,3200
2S,20260123,2.48,2.52,2.48,2.48,271600
3BBIF,20260123,6.45,6.45,6.35,6.4,10230300
88TH,20260123,4.16,4.18,4.1,4.12,7394700
A5,20260123,1.84,1.84,1.8,1.84,6700
AAI,20260123,4.24,4.28,4.18,4.18,1983900
AAV,20260123,1.19,1.2,1.16,1.17,58039100
ABM,20260123,0.61,0.61,0.61,0.61,8000
ACC,20260123,0.4,0.4,0.39,0.39,1692400
ACE,20260123,1.29,1.31,1.29,1.29,1419200
ACG,20260123,0.6,0.6,0.59,0.59,1200
ADB,20260123,0.59,0.59,0.59,0.59,49100
ADD,20260123,3.6,3.72,3.52,3.52,14700
ADVANC,20260123,343,352,343,351,8556900
ADVICE,20260123,5.65,5.7,5.55,5.6,701500
AE,20260123,0.09,0.1,0.09,0.09,1603000
AEONTS,20260123,97,98,97,97.75,477200
AF,20260123,0.3,0.31,0.3,0.31,31700
AGE,20260123,1.29,1.29,1.28,1.29,697600
AH,20260123,12.8,12.9,12.7,12.9,132200
AHC,20260123,13.9,13.9,13.6,13.6,3200
AI,20260123,3.02,3.02,2.98,3,280700
AIE,20260123,1.03,1.03,1.01,1.02,287900
AIMCG,20260123,1.68,1.68,1.66,1.67,72500
AIMIRT,20260123,10.7,10.8,10.4,10.6,1286900
AIRA,20260123,1.05,1.06,1.05,1.06,1700
AIT,20260123,5,5.05,5,5,610800
AJ,20260123,1.85,1.88,1.77,1.83,1374100
AJA,20260123,0.17,0.17,0.16,0.16,994600
AKP,20260123,0.61,0.62,0.61,0.62,234200
AKR,20260123,0.84,0.84,0.82,0.83,1667800
AKS,20260123,0.02,0.03,0.02,0.02,1843600
ALLA,20260123,1.17,1.17,1.15,1.17,185700
ALLY,20260123,4.34,4.36,4.34,4.34,483700
ALPHAX,20260123,0.49,0.51,0.45,0.48,22257400
ALT,20260123,1.15,1.19,1.15,1.17,476100
AMA,20260123,4.12,4.14,4.1,4.12,56700
AMANAH,20260123,0.74,0.75,0.73,0.75,183000
AMARC,20260123,2.64,2.7,2.52,2.54,6578100
AMARIN,20260123,2.1,2.24,2.08,2.1,48500
AMATA,20260123,15.7,15.9,15.6,15.6,6022500
AMATAR,20260123,6.7,6.7,6.65,6.65,24600
AMATAV,20260123,1.81,1.81,1.79,1.8,17200
AMC,20260123,1.99,2,1.99,2,300
AMR,20260123,0.4,0.41,0.39,0.39,150700
ANAN,20260123,0.43,0.44,0.42,0.42,753100
ANI,20260123,2.78,2.78,2.7,2.72,141500
AOT,20260123,52,52.75,51.5,51.75,20085400
AP,20260123,8.9,8.95,8.75,8.75,5281300
APCO,20260123,2.8,2.86,2.76,2.84,70300
APCS,20260123,1.31,1.31,1.31,1.31,10000
APO,20260123,1.87,1.93,1.87,1.89,1240400
APP,20260123,2.52,2.52,2.48,2.52,266200
APURE,20260123,2.14,2.16,2.14,2.16,45400
AQUA,20260123,0.15,0.16,0.15,0.15,485100
ARIN,20260123,0.57,0.59,0.56,0.57,1363200
ARIP,20260123,0.44,0.45,0.43,0.44,487700
ARROW,20260123,5.05,5.05,5,5.05,30100
AS,20260123,2.84,2.88,2.8,2.8,1432200
ASAP,20260123,1.18,1.23,1.08,1.18,244700
ASEFA,20260123,3.46,3.48,3.44,3.46,19400
ASIAN,20260123,7.45,7.5,7.35,7.35,370800
ASIMAR,20260123,1.52,1.52,1.5,1.51,22200
ASK,20260123,7.4,7.7,7.4,7.7,485800
ASN,20260123,0.78,0.78,0.78,0.78,100
ASP,20260123,2.08,2.14,2.06,2.12,1033200
ASW,20260123,6,6,5.95,6,18700
ATLAS,20260123,1.69,1.7,1.66,1.68,1748300
ATP30,20260123,0.88,0.89,0.88,0.89,374800
AU,20260123,4.98,5.15,4.98,5,521300
AUCT,20260123,5.2,5.25,5.1,5.1,386400
AURA,20260123,13.5,13.5,12.9,13,3780900
AWC,20260123,2.14,2.22,2.12,2.18,121183200
AXTRART,20260123,12.6,12.7,12.3,12.3,1843300
AYUD,20260123,36.5,36.5,36,36,9700
B,20260123,0.04,0.04,0.04,0.04,789500
B-WORK,20260123,5.15,5.15,5.1,5.15,72400
B52,20260123,0.4,0.4,0.31,0.39,120800
BA,20260123,15.6,15.6,15.2,15.3,4828200
BAFS,20260123,8.7,8.75,8.7,8.7,90600
BAM,20260123,7.95,8.05,7.75,7.75,12692300
BANPU,20260123,5.6,5.65,5.5,5.55,58879900
BAREIT,20260123,10.4,10.5,10.4,10.5,723900
BAY,20260123,25.25,25.5,25.25,25.5,112500
BBGI,20260123,3,3.02,3,3,216300
BBIK,20260123,14.4,14.7,14.4,14.6,302200
BBL,20260123,160,160.5,157,157.5,20890600
BC,20260123,0.78,0.83,0.78,0.8,45300
BCH,20260123,10.3,10.5,10.2,10.2,18998400
BCP,20260123,29.75,30,29.25,29.5,1976800
BCPG,20260123,7.2,7.25,6.9,6.95,4899200
BDMS,20260123,19.9,20.2,19.8,20,66853800
BE8,20260123,4.84,4.86,4.72,4.72,262800
BEAUTY,20260123,0.43,0.44,0.42,0.43,10257500
BEC,20260123,1.85,1.86,1.83,1.86,170500
BEM,20260123,5.25,5.3,5.2,5.2,15860100
BEYOND,20260123,8.7,8.7,8.35,8.4,100000
BGC,20260123,3.96,4.02,3.94,4,707200
BGRIM,20260123,13.4,13.7,13.3,13.3,4524700
BGT,20260123,0.38,0.4,0.37,0.39,190800
BH,20260123,165.5,169,164.5,166.5,8433100
BIG,20260123,0.29,0.3,0.29,0.29,773900
BIOTEC,20260123,0.17,0.18,0.17,0.18,286800
BIS,20260123,1.95,1.95,1.93,1.95,6300
BIZ,20260123,4.06,4.1,4.02,4.04,31600
BJC,20260123,14.4,14.4,14.1,14.2,4520600
BJCHI,20260123,0.56,0.58,0.56,0.57,334100
BKA,20260123,0.73,0.76,0.71,0.72,2169000
BKD,20260123,1.04,1.04,1.02,1.03,4000
BKGI,20260123,1.25,1.28,1.25,1.26,247200
BKIH,20260123,301,301,300,300,700
BLA,20260123,20.5,20.7,20.4,20.4,1080900
BLAND,20260123,0.45,0.45,0.44,0.44,1596500
BLC,20260123,4.08,4.12,4.04,4.06,333700
BLESS,20260123,0.22,0.22,0.21,0.22,155400
BM,20260123,1.14,1.14,1.11,1.12,623400
BOFFICE,20260123,5,5.05,5,5,365600
BOL,20260123,5.35,5.35,5.25,5.3,16400
BPP,20260123,11.5,11.7,11.3,11.4,189100
BPS,20260123,0.42,0.44,0.41,0.41,34800
BR,20260123,1.64,1.64,1.61,1.63,318700
BRI,20260123,1.42,1.44,1.41,1.41,96200
BROCK,20260123,1.19,1.2,1.18,1.2,40000
BRR,20260123,3.68,3.72,3.68,3.72,92400
BRRGIF,20260123,3.8,3.8,3.78,3.8,776300
BSBM,20260123,0.65,0.65,0.63,0.63,132800
BSM,20260123,0.38,0.38,0.36,0.37,5200
BTC,20260123,0.25,0.26,0.25,0.25,3373200
BTG,20260123,18.6,18.6,18,18.1,4133300
BTNC,20260123,12.9,14.4,12.9,14,3500
BTS,20260123,2.36,2.38,2.26,2.28,44057800
BTSGIF,20260123,2.58,2.6,2.58,2.58,1235400
BTW,20260123,0.1,0.12,0.1,0.1,262100
BUI,20260123,12.5,12.6,12.3,12.4,9300
BVG,20260123,1.73,1.76,1.7,1.74,234800
BWG,20260123,0.28,0.28,0.26,0.27,27692700
BYD,20260123,0.53,0.53,0.52,0.53,1834300
CAZ,20260123,1.69,1.71,1.6,1.66,34000
CBG,20260123,44,44,43,43,1954600
CCET,20260123,5.2,5.3,5,5.05,44852600
CCP,20260123,0.24,0.24,0.23,0.23,798800
CEN,20260123,0.88,0.9,0.86,0.87,16500
CENTEL,20260123,34.75,35,34.25,34.25,1786500
CEYE,20260123,1.78,1.78,1.76,1.78,25500
CFARM,20260123,0.75,0.76,0.74,0.74,1106900
CFRESH,20260123,0.69,0.7,0.69,0.69,271200
CGD,20260123,0.12,0.12,0.11,0.12,310200
