<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260306,11.85,11.85,11.83,11.84,132
2I01BSET50-O,20260306,3.53,3.53,3.4,3.4,3
2X01BSET50-O,20260306,6.44,6.44,6.44,6.44,50
BMSCITH-O,20260306,11.58,11.58,11.54,11.54,11
BSET100-O,20260306,10.3,10.3,10.28,10.28,199
GLD-O,20260306,6.41,6.41,6.4,6.4,524
TDEX-O,20260306,9.1,9.15,9.08,9.1,518
1DIV,20260306,11.92,11.92,11.8,11.83,15500
1I01BSET50,20260306,4.17,4.17,4.15,4.16,22200
2I01BSET50,20260306,3.43,3.45,3.4,3.42,583000
2X01BSET50,20260306,6.44,6.5,6.4,6.41,564600
BMSCG,20260306,7.6,7.6,7.6,7.6,100
BMSCITH,20260306,11.55,11.6,11.5,11.5,494100
BSET100,20260306,10.3,10.33,10.28,10.29,471563
CHINA,20260306,6.86,6.94,6.86,6.94,127600
GLD,20260306,6.4,6.41,6.39,6.4,1129200
TDEX,20260306,9.15,9.15,9.07,9.09,2320200
UHERO,20260306,8.39,8.4,8.39,8.4,1900
2S,20260306,2.62,2.62,2.58,2.62,8900
3BBIF,20260306,6.45,6.5,6.45,6.5,4509800
88TH,20260306,4.84,5.15,4.82,5.05,4092000
A5,20260306,1.84,1.84,1.84,1.84,1400
AAI,20260306,3.5,3.5,3.34,3.44,11729400
AAV,20260306,1.08,1.09,1.05,1.08,115495500
ABM,20260306,0.55,0.64,0.55,0.63,15100
ACC,20260306,0.44,0.44,0.41,0.42,4520900
ACE,20260306,1.28,1.29,1.28,1.28,618200
ACG,20260306,0.6,0.61,0.59,0.61,17800
ADB,20260306,0.55,0.56,0.55,0.56,6900
ADD,20260306,3.92,3.94,3.9,3.94,7800
ADVANC,20260306,359,365,357,361,6543000
ADVICE,20260306,5.5,5.6,5.45,5.55,979000
AE,20260306,0.08,0.09,0.07,0.07,20823100
AEONTS,20260306,89.5,90.75,89,90.25,355100
AF,20260306,0.34,0.35,0.34,0.34,70700
AFC,20260306,3.06,3.12,3.04,3.12,1900
AGE,20260306,1.06,1.11,1.04,1.08,3794500
AH,20260306,14.3,14.3,14,14,186500
AHC,20260306,13.2,13.2,13.1,13.1,3100
AI,20260306,2.98,2.98,2.9,2.94,74600
AIE,20260306,1.01,1.04,1,1.01,834700
AIMCG,20260306,1.33,1.35,1.31,1.31,51400
AIMIRT,20260306,10.8,11.2,10.8,11.2,565100
AIT,20260306,4.88,4.9,4.84,4.88,380400
AJ,20260306,1.58,1.68,1.57,1.63,1268400
AJA,20260306,0.15,0.16,0.15,0.15,553500
AKP,20260306,0.66,0.69,0.66,0.68,609700
AKR,20260306,0.89,0.89,0.88,0.88,522900
ALLA,20260306,1.2,1.23,1.2,1.22,287600
ALLY,20260306,4.3,4.3,4.26,4.28,267200
ALPHAX,20260306,0.45,0.46,0.44,0.46,4243900
ALT,20260306,0.95,1,0.95,0.96,154700
ALUCON,20260306,217,217,212,212,500
AMA,20260306,4.14,4.2,4.12,4.18,975900
AMANAH,20260306,0.69,0.72,0.69,0.71,1363300
AMARC,20260306,3.4,3.44,3.34,3.42,3653500
AMARIN,20260306,2.72,2.72,2.72,2.72,2500
AMATA,20260306,18.2,18.4,18.1,18.1,7785900
AMATAR,20260306,6.55,6.6,6.5,6.6,31500
AMATAV,20260306,2,2.16,2,2.1,246700
AMC,20260306,2.02,2.06,2.02,2.06,17600
AMR,20260306,0.36,0.36,0.34,0.36,388500
ANAN,20260306,0.39,0.39,0.38,0.38,1461400
ANI,20260306,2.62,2.68,2.6,2.68,274300
AOT,20260306,50,51,49.5,50.5,39000500
AP,20260306,8.6,8.65,8.4,8.5,10595600
APCO,20260306,2.78,2.78,2.74,2.78,2200
APCS,20260306,1.19,1.19,1.18,1.19,53400
APO,20260306,1.99,1.99,1.95,1.95,742200
APP,20260306,2.64,2.64,2.56,2.58,1105500
