<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2I01BSET50-O,20260115,4.56,4.56,4.55,4.55,28
BMSCG-O,20260115,7.06,7.06,7.06,7.06,1
BMSCITH-O,20260115,9.85,9.85,9.85,9.85,1
BSET100-O,20260115,9.08,9.08,9.05,9.05,64
CHINA-O,20260115,5,5,5,5,2
GLD-O,20260115,5.75,5.8,5.71,5.74,844
TDEX-O,20260115,8.23,8.34,8.23,8.34,561
UBOT-O,20260115,13.41,13.41,13.41,13.41,1
1DIV,20260115,11.45,11.49,11.45,11.48,3700
1I01BSET50,20260115,4.8,4.8,4.78,4.78,200
2I01BSET50,20260115,4.68,4.69,4.54,4.54,590200
2X01BSET50,20260115,5,5.15,4.98,5.15,535300
BMSCG,20260115,7.06,7.06,7.06,7.06,2000
BMSCITH,20260115,9.68,9.84,9.68,9.8,32100
BSET100,20260115,8.99,9.1,8.99,9.1,516100
CHINA,20260115,7,7.03,6.95,7,44300
GLD,20260115,5.77,5.77,5.7,5.72,4932200
TDEX,20260115,8.24,8.35,8.23,8.34,774600
UHERO,20260115,9.98,9.98,9.98,9.98,100
2S,20260115,2.46,2.46,2.44,2.46,1700
3BBIF,20260115,6.45,6.45,6.35,6.35,5134100
88TH,20260115,4.04,4.18,3.94,4.18,2170900
A,20260115,4.8,4.8,4.8,4.8,100
A5,20260115,1.83,1.84,1.76,1.84,12400
AAI,20260115,4.02,4.12,4,4.1,1387500
AAV,20260115,1.14,1.23,1.14,1.23,193769900
ABM,20260115,0.57,0.6,0.57,0.6,29200
ACC,20260115,0.4,0.41,0.39,0.4,1819300
ACE,20260115,1.29,1.3,1.29,1.3,598500
ACG,20260115,0.57,0.58,0.57,0.58,14800
ADB,20260115,0.57,0.58,0.56,0.58,24800
ADD,20260115,3.18,3.3,3.16,3.3,43000
ADVANC,20260115,335,343,335,339,6190800
ADVICE,20260115,5.7,5.75,5.65,5.75,911200
AE,20260115,0.08,0.09,0.08,0.08,4069800
AEONTS,20260115,97,98.5,96.75,98.5,706400
AF,20260115,0.27,0.28,0.27,0.28,15800
AFC,20260115,3.56,3.56,3.3,3.54,39600
AGE,20260115,1.23,1.27,1.23,1.27,519300
AH,20260115,12.5,12.7,12.4,12.6,84700
AHC,20260115,13.4,13.4,13.2,13.2,200
AI,20260115,3,3.02,3,3,48600
AIE,20260115,1,1.01,0.99,1,500500
AIMCG,20260115,1.67,1.7,1.67,1.69,217600
AIMIRT,20260115,10.6,10.7,10.5,10.7,235600
AIRA,20260115,1.13,1.13,1.13,1.13,300
AIT,20260115,4.94,4.94,4.88,4.92,432300
AJ,20260115,1.72,1.85,1.67,1.78,3274800
AJA,20260115,0.16,0.17,0.15,0.16,5419200
AKP,20260115,0.58,0.61,0.58,0.6,1770500
AKR,20260115,0.85,0.86,0.85,0.86,1995400
AKS,20260115,0.02,0.02,0.01,0.02,2313000
ALLA,20260115,1.16,1.17,1.16,1.17,48400
ALLY,20260115,4.42,4.44,4.42,4.44,162300
ALPHAX,20260115,0.51,0.52,0.5,0.51,8612600
ALT,20260115,1.05,1.07,1.04,1.06,196400
ALUCON,20260115,199,199.5,197,199.5,1600
AMA,20260115,4.1,4.12,4.08,4.1,100800
AMANAH,20260115,0.74,0.76,0.72,0.76,1142600
AMARC,20260115,2.18,2.32,2.12,2.3,1617200
AMARIN,20260115,2.06,2.26,2.06,2.26,12400
AMATA,20260115,14.9,15.2,14.7,15.1,20248400
AMATAR,20260115,6.8,6.85,6.6,6.75,45200
AMATAV,20260115,1.79,1.8,1.78,1.8,34900
AMC,20260115,1.99,2,1.92,1.92,10000
AMR,20260115,0.4,0.4,0.39,0.4,126500
ANAN,20260115,0.39,0.48,0.39,0.48,4473000
ANI,20260115,2.64,2.76,2.62,2.74,136800
AOT,20260115,51,51.5,50.5,51.25,20192000
AP,20260115,8.55,8.65,8.45,8.5,11123800
APCO,20260115,2.82,2.86,2.58,2.82,123300
APCS,20260115,1.36,1.37,1.36,1.37,1100
APO,20260115,1.97,2.02,1.91,1.94,4597600
APP,20260115,2.48,2.52,2.42,2.5,217100
APURE,20260115,2.16,2.16,2.14,2.16,2800
AQUA,20260115,0.15,0.16,0.15,0.16,406500
ARIN,20260115,0.55,0.57,0.55,0.55,1053300
ARIP,20260115,0.41,0.43,0.41,0.43,31900
ARROW,20260115,5.05,5.1,5,5,4100
AS,20260115,2.54,2.72,2.5,2.7,7196200
ASAP,20260115,1.2,1.2,1.19,1.19,11000
ASEFA,20260115,3.5,3.5,3.46,3.46,5800
ASIA,20260115,5.2,5.2,5.2,5.2,1000
ASIAN,20260115,7.3,7.3,7.2,7.3,226000
ASIMAR,20260115,1.51,1.52,1.51,1.51,25200
ASK,20260115,7.3,7.3,7.2,7.25,62700
ASN,20260115,0.8,0.81,0.8,0.81,11400
ASP,20260115,2,2.02,2,2.02,325200
ASW,20260115,5.95,5.95,5.9,5.95,18200
ATLAS,20260115,1.61,1.65,1.61,1.64,4574700
ATP30,20260115,0.84,0.84,0.83,0.84,302700
AU,20260115,4.86,5,4.86,4.98,818100
AUCT,20260115,5.25,5.25,5.2,5.25,103800
AURA,20260115,13.7,13.7,13.4,13.5,576800
