<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2I01BSET50-O,20260120,4.32,4.32,4.24,4.26,248
2X01BSET50-O,20260120,5.45,5.53,5.4,5.4,151
BMSCITH-O,20260120,10.07,10.18,10.07,10.18,43
BSET100-O,20260120,9.45,9.45,9.45,9.45,52
CHINA-O,20260120,6.95,6.95,6.93,6.93,3
GLD-O,20260120,5.78,5.82,5.77,5.82,575
TDEX-O,20260120,8.52,8.64,8.52,8.61,462
1DIV,20260120,11.66,11.71,11.66,11.68,33800
1I01BSET50,20260120,4.61,4.61,4.61,4.61,4000
2I01BSET50,20260120,4.36,4.36,4.22,4.27,1618100
2X01BSET50,20260120,5.35,5.53,5.35,5.47,345300
BMSCG,20260120,7.43,7.48,7.43,7.48,6500
BMSCITH,20260120,10,10.18,10,10.14,291400
BSET100,20260120,9.29,9.46,9.29,9.36,138100
CHINA,20260120,6.94,6.95,6.92,6.94,14300
GLD,20260120,5.77,5.82,5.76,5.82,2521600
TDEX,20260120,8.53,8.64,8.53,8.6,3072700
UBOT,20260120,14.39,14.39,14.39,14.39,1200
2S,20260120,2.46,2.48,2.46,2.46,41900
3BBIF,20260120,6.4,6.45,6.4,6.45,4445500
88TH,20260120,4.22,4.26,4.2,4.2,897300
A5,20260120,1.83,1.84,1.77,1.83,13200
AAI,20260120,4.18,4.24,4.18,4.2,2070600
AAV,20260120,1.22,1.25,1.2,1.21,109045500
ABM,20260120,0.63,0.63,0.6,0.62,11400
ACC,20260120,0.41,0.41,0.39,0.39,1731100
ACE,20260120,1.3,1.3,1.29,1.29,1005100
ACG,20260120,0.59,0.61,0.59,0.6,6000
ADB,20260120,0.58,0.59,0.58,0.59,121300
ADD,20260120,3.34,3.88,3.34,3.74,102300
ADVANC,20260120,340,346,339,342,4771200
ADVICE,20260120,5.75,5.8,5.65,5.7,2468000
AE,20260120,0.09,0.1,0.09,0.1,1101300
AEONTS,20260120,98,98.5,97,98,809800
AF,20260120,0.29,0.3,0.28,0.3,79000
AFC,20260120,3.42,3.52,3.42,3.5,9100
AGE,20260120,1.3,1.3,1.28,1.3,284600
AH,20260120,12.8,13.2,12.8,12.9,603100
AHC,20260120,13.4,13.6,13.4,13.4,2700
AI,20260120,3,3.04,3,3.04,129300
AIE,20260120,1.01,1.07,1.01,1.03,1646100
AIMCG,20260120,1.69,1.7,1.68,1.68,109500
AIMIRT,20260120,10.7,10.9,10.6,10.8,556900
AIRA,20260120,1.11,1.11,1.11,1.11,100
AIT,20260120,4.96,5.1,4.96,5,1243700
AJ,20260120,1.92,1.96,1.87,1.9,2124000
AJA,20260120,0.16,0.17,0.15,0.17,3538500
AKP,20260120,0.62,0.63,0.61,0.61,1882000
AKR,20260120,0.84,0.85,0.84,0.84,2089300
AKS,20260120,0.02,0.02,0.01,0.02,6535400
ALLA,20260120,1.18,1.18,1.17,1.18,59700
ALLY,20260120,4.32,4.36,4.3,4.34,486200
ALPHAX,20260120,0.5,0.52,0.5,0.52,9944500
ALT,20260120,1.05,1.13,1.05,1.12,3382400
ALUCON,20260120,200,201,200,201,200
AMA,20260120,4.1,4.14,4.1,4.12,256100
AMANAH,20260120,0.75,0.77,0.73,0.76,869500
AMARC,20260120,2.7,2.7,2.62,2.64,2361000
AMARIN,20260120,2.1,2.26,2.1,2.14,41200
AMATA,20260120,15.7,16,15.6,15.7,13257000
AMATAR,20260120,6.75,6.8,6.7,6.75,66800
AMATAV,20260120,1.79,1.8,1.78,1.79,69600
AMC,20260120,1.98,1.98,1.98,1.98,100
AMR,20260120,0.39,0.4,0.38,0.4,312100
ANAN,20260120,0.41,0.44,0.41,0.43,1815800
