<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260126,11.7,11.7,11.7,11.7,1
2I01BSET50-O,20260126,4.25,4.25,4.24,4.25,103
BMSCG-O,20260126,5.3,5.3,5.3,5.3,68
BSET100-O,20260126,9.4,9.4,9.39,9.39,50
CHINA-O,20260126,6.9,6.9,6.9,6.9,4
GLD-O,20260126,6.22,6.33,6.22,6.3,1286
TDEX-O,20260126,8.65,8.67,8.62,8.65,444
1DIV,20260126,11.55,11.61,11.55,11.6,27600
1I01BSET50,20260126,4.62,4.62,4.62,4.62,17000
2I01BSET50,20260126,4.21,4.25,4.21,4.22,186400
2X01BSET50,20260126,5.54,5.54,5.47,5.49,102200
BMSCG,20260126,7.35,7.35,7.35,7.35,100
BMSCITH,20260126,10.36,10.36,10.24,10.27,322000
BSET100,20260126,9.44,9.47,9.39,9.4,13900
CHINA,20260126,6.88,6.96,6.88,6.92,3700
GLD,20260126,6.25,6.3,6.25,6.3,4970900
TDEX,20260126,8.63,8.67,8.6,8.62,358500
UBOT,20260126,14.09,14.19,14.09,14.19,300
UHERO,20260126,9.33,9.39,9.33,9.39,400
2S,20260126,2.5,2.5,2.5,2.5,71700
3BBIF,20260126,6.35,6.4,6.35,6.35,3929300
88TH,20260126,4.14,4.44,4.08,4.42,6137600
A,20260126,4.82,4.82,4.8,4.8,300
A5,20260126,1.85,1.85,1.84,1.84,2000
AAI,20260126,4.18,4.22,4.12,4.22,1150800
AAV,20260126,1.15,1.16,1.09,1.12,259813300
ABM,20260126,0.61,0.61,0.6,0.6,19600
ACC,20260126,0.39,0.4,0.39,0.4,1101800
ACE,20260126,1.29,1.3,1.29,1.29,1615100
ACG,20260126,0.6,0.6,0.59,0.59,3500
ADB,20260126,0.59,0.59,0.58,0.58,30100
ADD,20260126,3.72,3.72,3.54,3.68,2300
ADVANC,20260126,347,349,344,347,3928400
ADVICE,20260126,5.6,5.65,5.5,5.6,1313900
AE,20260126,0.09,0.1,0.08,0.09,950200
AEONTS,20260126,97.5,98,97,98,359800
AF,20260126,0.29,0.31,0.29,0.31,60700
AFC,20260126,3.46,3.46,3.36,3.38,4100
AGE,20260126,1.28,1.29,1.27,1.27,357800
AH,20260126,12.9,12.9,12.8,12.9,166600
AI,20260126,3,3.02,2.96,2.98,381800
AIE,20260126,1.04,1.04,1.02,1.02,213400
AIMCG,20260126,1.69,1.69,1.63,1.67,294300
AIMIRT,20260126,10.6,10.8,10.6,10.8,229600
AIRA,20260126,1.06,1.06,0.97,0.99,11200
AIT,20260126,5,5.05,4.96,4.98,584100
AJ,20260126,1.83,1.84,1.78,1.82,657000
AJA,20260126,0.16,0.16,0.15,0.16,5151200
AKP,20260126,0.61,0.62,0.61,0.62,128400
AKR,20260126,0.83,0.84,0.82,0.83,5921600
AKS,20260126,0.02,0.02,0.01,0.02,1987900
ALLA,20260126,1.16,1.18,1.16,1.17,41600
ALLY,20260126,4.34,4.36,4.34,4.34,183400
ALPHAX,20260126,0.48,0.5,0.48,0.49,6991700
ALT,20260126,1.14,1.15,1.11,1.14,907300
AMA,20260126,4.12,4.12,4.08,4.08,313100
AMANAH,20260126,0.73,0.75,0.72,0.73,118200
AMARC,20260126,2.56,2.66,2.5,2.62,3626200
AMARIN,20260126,2.1,2.1,2.06,2.1,27900
AMATA,20260126,15.7,15.7,15,15.1,16131000
AMATAR,20260126,6.6,6.65,6.6,6.65,12000
AMATAV,20260126,1.8,1.8,1.79,1.79,38800
AMC,20260126,2,2.02,2,2.02,40200
AMR,20260126,0.39,0.4,0.39,0.4,60100
ANAN,20260126,0.43,0.43,0.41,0.42,968500
ANI,20260126,2.72,2.74,2.68,2.74,11600
AOT,20260126,51.75,51.75,50.25,51.25,22864200
AP,20260126,8.75,8.9,8.6,8.65,6539300
APCO,20260126,2.82,2.84,2.78,2.82,7200
APCS,20260126,1.33,1.33,1.31,1.33,1100
APO,20260126,1.9,1.9,1.86,1.86,574900
APP,20260126,2.5,2.52,2.48,2.52,281500
APURE,20260126,2.16,2.18,2.16,2.18,78200
AQUA,20260126,0.15,0.16,0.15,0.15,140400
ARIN,20260126,0.58,0.58,0.55,0.56,1225000
ARIP,20260126,0.43,0.46,0.41,0.42,2457500
ARROW,20260126,5.05,5.05,5.05,5.05,2000
AS,20260126,2.8,2.84,2.72,2.8,1621500
ASAP,20260126,1.1,1.19,1.1,1.18,8400
ASEFA,20260126,3.46,3.48,3.44,3.44,72600
ASIA,20260126,5.8,6.2,5.8,6.1,25500
ASIAN,20260126,7.4,7.45,7.3,7.3,322100
ASIMAR,20260126,1.5,1.53,1.49,1.49,243900
ASK,20260126,7.7,7.75,7.6,7.65,464600
ASN,20260126,0.79,0.79,0.79,0.79,200
ASP,20260126,2.08,2.12,2.06,2.06,345000
ASW,20260126,6,6,5.95,6,33900
ATLAS,20260126,1.68,1.68,1.65,1.65,958800
ATP30,20260126,0.89,0.89,0.88,0.89,221400
AU,20260126,5,5.05,4.98,4.98,223000
AUCT,20260126,5.1,5.25,5.05,5.2,172000
AURA,20260126,13.1,13.1,12.8,12.9,826000
AWC,20260126,2.18,2.2,2.16,2.18,49575900
AXTRART,20260126,12.4,12.5,12.3,12.3,765000
AYUD,20260126,36,36.25,36,36.25,8100
B,20260126,0.04,0.04,0.03,0.04,3220100
B-WORK,20260126,5.1,5.1,5.05,5.05,153800
B52,20260126,0.38,0.38,0.34,0.37,173500
BA,20260126,15.2,15.4,14.8,15,6296400
BAFS,20260126,8.75,8.8,8.7,8.7,97500
BAM,20260126,7.75,7.85,7.65,7.75,10249200
BANPU,20260126,5.55,5.65,5.5,5.55,90127400
BAREIT,20260126,10.5,10.6,10.4,10.6,843300
BAY,20260126,25.5,25.5,25,25.5,382200
BBGI,20260126,3.02,3.02,2.98,3,1062400
BBIK,20260126,14.5,14.7,14.5,14.5,87600
BBL,20260126,157.5,159.5,157,158,16062900
BC,20260126,0.8,0.8,0.78,0.78,6800
BCH,20260126,10.2,10.3,10.1,10.2,8402600
BCP,20260126,29.5,30,29.25,30,3215900
BCPG,20260126,6.95,7,6.8,6.85,3676100
BDMS,20260126,19.9,20.2,19.5,20.2,75148200
BE8,20260126,4.72,4.8,4.72,4.78,86100
BEAUTY,20260126,0.43,0.44,0.41,0.42,6431900
BEC,20260126,1.84,1.86,1.83,1.84,314000
BEM,20260126,5.2,5.25,5.15,5.2,15960300
BEYOND,20260126,8.7,8.7,8.25,8.45,13700
BGC,20260126,4.02,4.02,3.96,4,175200
BGRIM,20260126,13.1,13.1,12.5,12.6,17921800
BGT,20260126,0.38,0.39,0.38,0.39,65200
BH,20260126,166,167.5,162.5,167.5,4837500
BIG,20260126,0.29,0.3,0.28,0.29,999700
BIOTEC,20260126,0.18,0.18,0.16,0.18,1678700
BIS,20260126,1.94,1.95,1.88,1.95,25900
BIZ,20260126,4.04,4.06,4.04,4.04,59700
BJC,20260126,14.1,14.4,13.8,14,6075900
BJCHI,20260126,0.57,0.57,0.56,0.56,288000
BKA,20260126,0.73,0.73,0.7,0.72,908900
BKD,20260126,1.04,1.04,1.02,1.03,21900
BKGI,20260126,1.28,1.31,1.26,1.29,309400
BKIH,20260126,300,301,300,300,6200
BLA,20260126,20.6,20.6,20.2,20.4,1201300
BLAND,20260126,0.44,0.45,0.43,0.44,4683800
BLC,20260126,4.06,4.08,4,4.04,429300
BLESS,20260126,0.21,0.22,0.2,0.21,877700
BM,20260126,1.11,1.12,1.09,1.1,707200
BOFFICE,20260126,5.05,5.1,5.05,5.05,214100
BOL,20260126,5.3,5.3,5.25,5.3,15100
BPP,20260126,11.6,11.6,11.4,11.6,134900
BPS,20260126,0.44,0.44,0.41,0.41,3800
BR,20260126,1.63,1.63,1.62,1.63,108000
BRI,20260126,1.4,1.45,1.4,1.4,32400
BROCK,20260126,1.19,1.24,1.19,1.24,200
BRR,20260126,3.7,3.78,3.7,3.78,184700
BRRGIF,20260126,3.78,3.8,3.78,3.78,620400
BSBM,20260126,0.65,0.67,0.63,0.63,1035300
BSM,20260126,0.35,0.36,0.34,0.34,107400
BTC,20260126,0.25,0.25,0.24,0.25,1882700
BTG,20260126,18,18,17.6,17.8,2333400
BTNC,20260126,13.7,14.8,13.7,14.8,3800
BTS,20260126,2.26,2.28,2.2,2.22,37722100
BTSGIF,20260126,2.58,2.6,2.58,2.58,1164700
BTW,20260126,0.1,0.12,0.1,0.11,574600
BUI,20260126,12.4,12.4,12.3,12.4,15500
BVG,20260126,1.72,1.74,1.7,1.74,103000
BWG,20260126,0.27,0.27,0.25,0.26,24307000
BYD,20260126,0.53,0.53,0.51,0.51,3015900
CAZ,20260126,1.66,1.66,1.64,1.65,10100
CBG,20260126,43,43.5,42.5,43,1438500
CCET,20260126,5,5.05,4.8,4.84,50487600
CCP,20260126,0.24,0.24,0.23,0.23,1123900
CEN,20260126,0.88,0.9,0.87,0.87,7000
CENTEL,20260126,34,34.25,33.5,34,2463900
