<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL01,20260515,28.25,28.75,28.25,28.5,97999
AAPL03,20260515,3.24,3.26,3.22,3.22,403442
AAPL19,20260515,6.45,6.5,6.45,6.45,115456
AAPL80,20260515,9.65,9.75,9.6,9.65,923332
ABBV19,20260515,6.75,6.9,6.75,6.85,168048
ABNB06,20260515,4.34,4.34,4.3,4.34,132
ADBE03,20260515,1.71,1.73,1.68,1.73,537392
ADBE06,20260515,1.92,1.95,1.88,1.94,988535
ADVANT19,20260515,5.65,5.65,5.4,5.45,231312
ADVANT23,20260515,3.78,3.78,3.6,3.6,1572116
AFRM03,20260515,2.6,2.76,2.6,2.72,48522
AIA06,20260515,3.62,3.66,3.62,3.64,1584
AIA19,20260515,3.64,3.64,3.64,3.64,100
AIA23,20260515,2.78,2.82,2.78,2.8,43532
AMD03,20260515,7.1,7.35,7.05,7.15,368738
AMD23,20260515,5.95,6.1,5.9,5.95,40512
AMD80,20260515,2.84,2.94,2.8,2.8,28113505
AMGN06,20260515,2.72,2.74,2.72,2.74,3067
AMZN01,20260515,25.5,25.75,25.25,25.5,20636
AMZN03,20260515,4.38,4.38,4.32,4.32,576
AMZN06,20260515,2.18,2.18,2.14,2.16,48903
AMZN23,20260515,2.92,2.92,2.86,2.86,269266
AMZN80,20260515,2.2,2.2,2.14,2.14,3947987
ANET23,20260515,2.56,2.68,2.56,2.66,868675
ANTA13,20260515,1.96,1.96,1.9,1.96,1971
ANTA23,20260515,1.99,2,1.98,2,40095
APLD03,20260515,4.94,5.15,4.78,4.94,1792384
APPL03,20260515,2.48,2.64,2.46,2.62,1473690
ASEMI24,20260515,3.5,3.52,3.34,3.38,1207995
ASICS23,20260515,2.72,2.76,2.72,2.76,5202
ASML01,20260515,42.25,43.25,41.25,41.25,335377
ASTS03,20260515,2.44,2.72,2.44,2.6,11155321
AVGO23,20260515,3.06,3.26,3.06,3.18,588550
AVGO80,20260515,2.68,2.86,2.68,2.78,14885824
AXP06,20260515,2.52,2.58,2.5,2.58,3574
BABA01,20260515,12.7,12.9,12.5,12.7,110748
BABA06,20260515,5.65,5.65,5.5,5.5,26097
BABA13,20260515,2.36,2.38,2.26,2.3,15841
BABA23,20260515,3.74,3.74,3.66,3.7,145541
BABA80,20260515,5.6,5.65,5.45,5.45,7989691
BAC03,20260515,3.26,3.28,3.22,3.26,12164
BDX06,20260515,1.56,1.59,1.56,1.56,41070
BIDU01,20260515,12.8,13,12.7,12.7,53685
BIDU06,20260515,5.65,5.75,5.65,5.75,11166
BIDU23,20260515,2.72,2.74,2.64,2.64,230067
BIDU80,20260515,5.65,5.7,5.5,5.5,19227480
BILIBILI01,20260515,3.12,3.18,3,3.06,4544609
BIREN23,20260515,8.3,8.55,7.85,7.85,670156
BKNG03,20260515,2.1,2.14,2.1,2.12,3254
BKNG80,20260515,2.54,2.58,2.52,2.56,168802
BLK06,20260515,3.58,3.6,3.56,3.58,41092
BONDAS19,20260515,6.45,6.45,6.45,6.45,8939
BRKB80,20260515,1.58,1.58,1.56,1.58,1226755
BYDCOM01,20260515,0.91,0.93,0.91,0.93,406685
BYDCOM80,20260515,0.4,0.41,0.4,0.4,12535146
CAMBRI80,20260515,5.95,6,5.7,5.75,1427518
CATL01,20260515,6.4,6.5,6.35,6.45,2910530
CATL23,20260515,11.3,11.4,11.2,11.3,303489
CATL80,20260515,28.5,28.5,28,28.25,63994
CCJ23,20260515,2.34,2.34,2.24,2.28,356657
CEG23,20260515,2.24,2.26,2.22,2.24,900494
CHHONGQ19,20260515,13.4,13.5,13.1,13.2,90211
CHMOBILE19,20260515,3.58,3.62,3.58,3.6,253556
CHMOBILE23,20260515,2.8,2.8,2.76,2.76,930
CHNXT5023,20260515,8.8,8.95,8.7,8.7,47515
CMBANK23,20260515,2.18,2.2,2.18,2.18,2706
CME03,20260515,3.2,3.24,3.2,3.24,18484
CN01,20260515,24.4,24.6,23.9,24.2,28711
CN23,20260515,6.25,6.25,6.05,6.15,2351
CNBIO24,20260515,1.42,1.43,1.4,1.41,95309
CNEV24,20260515,2.54,2.56,2.48,2.48,78715
CNROBOAI23,20260515,2.78,2.84,2.74,2.74,316798
CNSEMI23,20260515,3.56,3.66,3.46,3.46,286344
CNSTAR5023,20260515,8.9,8.9,8.45,8.7,181697
CNTECH01,20260515,26.5,26.75,26,26,112949
COSTCO19,20260515,33.5,34.25,33.25,33.75,72621
CRM01,20260515,3.02,3.06,2.96,3.04,577478
CRM06,20260515,2.16,2.2,2.14,2.18,66876
CRM80,20260515,5.4,5.45,5.35,5.45,49173
CRSP03,20260515,3.4,3.4,3.28,3.36,57807
CRWD06,20260515,3.64,3.78,3.62,3.76,415513
CRWD80,20260515,18.2,18.9,18.1,18.8,658578
CRWV03,20260515,3.6,3.82,3.58,3.62,4679504
CSCO06,20260515,4.78,4.82,4.56,4.58,645908
CYPC80,20260515,12.8,13.1,12.8,13.1,2332
DASH03,20260515,2.42,2.64,2.42,2.64,143842
DBS19,20260515,15.3,15.4,15.3,15.4,218799
DDOG19,20260515,6.7,6.75,6.2,6.2,635291
DELL19,20260515,8.15,8.35,7.8,7.85,2717855
DISNEY19,20260515,17,17.2,17,17.2,8498
DUOL06,20260515,2.12,2.26,2.12,2.2,136623
E1VFVN3001,20260515,44.75,44.75,44.5,44.5,127879
EOSE03,20260515,1.28,1.38,1.2,1.28,26020974
ESTEE80,20260515,0.89,0.9,0.87,0.88,383722
EXPE06,20260515,2.8,2.86,2.8,2.82,2808
FANUC23,20260515,3.12,3.2,2.94,3.14,249628
FCX23,20260515,2.74,2.74,2.56,2.58,454730
FERRARI80,20260515,1.09,1.09,1.06,1.08,42594
FPTVN11,20260515,1.8,1.82,1.8,1.82,144248
FPTVN19,20260515,9.05,9.1,9.05,9.05,94356
FUEVFVND01,20260515,45.25,45.5,44.5,44.5,490789
GAC03,20260515,2.24,2.24,2.22,2.24,3116
GANFENG23,20260515,3.1,3.14,3.02,3.02,255114
GASVN11,20260515,4.26,4.5,4.26,4.5,232857
GDS23,20260515,2.62,2.62,2.5,2.52,338728
GEELY06,20260515,3.6,3.64,3.6,3.62,1405
GEELY80,20260515,8.85,9.25,8.85,9.15,138525
GEV23,20260515,3.14,3.22,3.1,3.14,1215912
GIGA23,20260515,7.55,7.8,7.05,7.45,1304761
GOLD03,20260515,3.48,3.48,3.4,3.42,924868
GOLD19,20260515,13.9,13.9,13.6,13.7,429811
GOLDUS03,20260515,3.5,3.5,3.42,3.42,667211
GOLDUS19,20260515,46.75,46.75,45.25,45.25,345885
GOOG23,20260515,3.24,3.24,3.18,3.2,1217812
GOOG80,20260515,6.45,6.5,6.3,6.35,10464809
GOOGL01,20260515,38.5,38.5,37.5,38,154649
GOOGL03,20260515,6.5,6.55,6.4,6.45,37355
GRAB80,20260515,11.8,11.8,11.3,11.6,132087
GSUS06,20260515,4.44,4.5,4.44,4.5,52660
HAIERS19,20260515,8.85,8.9,8.7,8.85,62260
HANSOH19,20260515,5.85,5.85,5.85,5.85,57
HERMES80,20260515,6.1,6.1,6,6,66492
HIMS03,20260515,3.9,4.02,3.8,3.9,409074
HK01,20260515,21.9,22,21.7,21.7,22593
HK13,20260515,5.5,5.65,5.5,5.65,5334
HKCE01,20260515,24.7,25,24.7,24.7,25057
HKEX23,20260515,2.24,2.26,2.2,2.2,52044
HKTECH13,20260515,4.14,4.16,4.08,4.08,334178
HONDA19,20260515,2.88,2.92,2.88,2.9,204022
HOOD03,20260515,2.46,2.64,2.46,2.58,70220
HOOD06,20260515,2.46,2.66,2.44,2.56,251941
HOOD80,20260515,2.48,2.62,2.44,2.54,138749
HORIZON23,20260515,1.64,1.65,1.62,1.63,83474
HPG19,20260515,3.34,3.34,3.3,3.34,93125
HSHD23,20260515,6.9,7,6.85,7,117471
HUAHONG23,20260515,7.3,7.55,6.8,6.85,1824060
IBM06,20260515,2.82,2.88,2.8,2.86,63076
ICBC06,20260515,2.9,2.92,2.88,2.92,18512
ICBC19,20260515,2.86,2.9,2.86,2.88,5134
IFLYTEK80,20260515,2.32,2.32,2.26,2.26,18009
INDIA01,20260515,12.9,13,12.8,12.8,116227
INDIAESG19,20260515,3.96,4,3.96,3.98,23859
INTEL03,20260515,7.45,7.65,7,7.15,10521018
IONQ03,20260515,3.54,3.76,3.54,3.54,7006864
ISRG01,20260515,3.12,3.12,3.08,3.1,157296
ISRG06,20260515,2.8,2.82,2.78,2.8,108769
ISRG19,20260515,3.46,3.48,3.46,3.48,3304
ITOCHU19,20260515,7.05,7.05,7,7,7216
JAP03,20260515,3.66,3.66,3.6,3.64,28040
JAPAN10001,20260515,28.25,28.5,28,28.25,5411
JAPAN13,20260515,5.45,5.5,5.4,5.5,11782
JD80,20260515,5.3,5.35,5.2,5.2,643035
JDHEAL19,20260515,3.82,3.84,3.74,3.76,121555
JEPI19,20260515,6.1,6.15,6.05,6.15,1689604
JGRO19,20260515,10.6,10.8,10.6,10.8,55212
JNJ03,20260515,3.74,3.8,3.72,3.78,179875
JPMUS06,20260515,3.26,3.28,3.24,3.24,28240
JPMUS19,20260515,19.6,19.6,19.5,19.5,152
JTEK19,20260515,11.2,11.4,11.2,11.2,107749
KEYENCE23,20260515,2.84,2.84,2.76,2.8,565964
KINGSOFT23,20260515,1.62,1.62,1.6,1.61,67984
KIOXIA23,20260515,5.8,5.9,5.45,5.9,1806854
KO80,20260515,2.6,2.64,2.6,2.62,176307
KUAISH01,20260515,2.58,2.6,2.54,2.6,64308
KUAISH06,20260515,2.08,2.08,2.04,2.04,10288
KUAISH23,20260515,1.48,1.49,1.45,1.47,3290816
KUAISH80,20260515,2.08,2.1,2.02,2.06,7454332
LENOVO13,20260515,2.74,2.78,2.7,2.72,130008
LLY80,20260515,1.64,1.64,1.61,1.62,3981796
LOREAL80,20260515,1.36,1.37,1.35,1.35,69541
LPGOLD13,20260515,2.5,2.5,2.46,2.46,28301
LRCX23,20260515,3.68,3.76,3.66,3.7,2831040
LULU06,20260515,1.98,1.99,1.96,1.97,90600
LVMH01,20260515,10.9,11,10.8,10.9,40437
MA80,20260515,1.59,1.61,1.58,1.61,585647
MEITUAN19,20260515,1.16,1.16,1.15,1.15,8181
MEITUAN23,20260515,2.2,2.2,2.16,2.16,1100
MEITUAN80,20260515,3.5,3.5,3.42,3.44,331060
MELI06,20260515,2.04,2.1,2,2.06,1533856
META01,20260515,5.9,5.95,5.85,5.9,305224
META06,20260515,2.5,2.54,2.48,2.48,1805616
META23,20260515,2.4,2.42,2.36,2.38,161283
META80,20260515,2.5,2.52,2.48,2.48,8724717
MICRON01,20260515,16,16.4,15,15.2,6807825
MICRON03,20260515,8.6,8.7,8,8.15,82973
MICRON19,20260515,17.2,17.6,16,16.3,707862
MICRON23,20260515,5.15,5.25,4.8,4.9,4325895
MICRON80,20260515,25.75,26.25,23.9,24.5,980237
MITSU19,20260515,8.4,8.45,8.3,8.4,1548908
MNSO80,20260515,11.6,11.7,11.6,11.7,5067
MNST06,20260515,3.96,3.98,3.94,3.96,273272
MRVL06,20260515,5.95,6.2,5.6,5.6,779348
MRVL23,20260515,4.98,5.15,4.68,4.7,1646614
MRVL80,20260515,5.95,6.2,5.65,5.65,4245216
MS06,20260515,4.2,4.28,4.2,4.22,18696
MSFT01,20260515,3.88,3.92,3.84,3.92,1967219
MSFT03,20260515,2.62,2.68,2.62,2.68,5667
MSFT06,20260515,3.28,3.34,3.26,3.34,568267
MSFT19,20260515,4.36,4.46,4.34,4.46,44934
MSFT23,20260515,2.44,2.48,2.42,2.48,178641
MSFT80,20260515,6.6,6.7,6.5,6.65,3258540
MSN11,20260515,3.9,3.9,3.84,3.88,63203
MSN19,20260515,3.26,3.26,3.22,3.24,5100
MUFG19,20260515,5.95,6.05,5.95,5.95,44846
MUFG23,20260515,2.42,2.5,2.42,2.5,32
MWG11,20260515,4.24,4.28,4.22,4.22,502
MWG19,20260515,10.6,10.6,10.4,10.4,30548
NAURA23,20260515,3.22,3.36,3.08,3.12,344047
NAURA80,20260515,28.75,29.75,27.75,27.75,306935
