<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260216,11.85,11.85,11.78,11.78,98
2I01BSET50-O,20260216,3.4,3.4,3.4,3.4,1
2X01BSET50-O,20260216,6.77,6.77,6.72,6.72,21
BSET100-O,20260216,10.49,10.49,10.46,10.46,19
CHINA-O,20260216,6.84,6.84,6.84,6.84,6
GLD-O,20260216,6.15,6.17,6.14,6.16,488
TDEX-O,20260216,9.3,9.3,9.25,9.26,315
1DIV,20260216,11.85,11.85,11.78,11.81,11200
1I01BSET50,20260216,4.12,4.12,4.12,4.12,100
2I01BSET50,20260216,3.37,3.4,3.34,3.38,603400
2X01BSET50,20260216,6.75,6.81,6.69,6.72,243300
ABFTH,20260216,1395,1395,1395,1395,100
BMSCG,20260216,8.1,8.15,8.01,8.01,59000
BMSCITH,20260216,11.5,11.52,11.44,11.45,217800
BSET100,20260216,10.44,10.49,10.41,10.42,300500
CHINA,20260216,6.85,6.85,6.84,6.85,31700
GLD,20260216,6.14,6.16,6.14,6.16,1569400
TDEX,20260216,9.24,9.31,9.23,9.25,485100
UHERO,20260216,8.55,8.55,6.1,7.77,2300
2S,20260216,2.5,2.52,2.46,2.5,118400
3BBIF,20260216,6.5,6.55,6.5,6.55,5388000
88TH,20260216,4.66,5,4.66,4.88,5202300
A,20260216,4.84,4.84,4.84,4.84,200
A5,20260216,1.83,1.83,1.81,1.83,19200
AAI,20260216,4.58,4.64,4.54,4.54,3139500
AAV,20260216,1.29,1.31,1.28,1.29,100893200
ABM,20260216,0.62,0.62,0.62,0.62,2100
ACC,20260216,0.47,0.48,0.43,0.45,6159900
ACE,20260216,1.3,1.3,1.29,1.3,1292500
ACG,20260216,0.62,0.62,0.61,0.61,42400
ADB,20260216,0.57,0.59,0.57,0.58,20300
ADD,20260216,4.06,4.08,4,4.06,38400
ADVANC,20260216,392,393,388,390,2299400
ADVICE,20260216,6,6.05,5.9,5.9,2334500
AE,20260216,0.08,0.09,0.08,0.08,1744500
AEONTS,20260216,99.75,100,98.75,99,809300
AF,20260216,0.33,0.34,0.33,0.34,1100
AFC,20260216,3.18,3.18,3.18,3.18,1400
AGE,20260216,1.38,1.39,1.37,1.37,705300
AH,20260216,14.1,14.3,14.1,14.2,55400
AHC,20260216,13.7,13.7,13.1,13.6,8300
AI,20260216,3.08,3.12,3.06,3.12,190300
AIE,20260216,1.09,1.1,1.08,1.08,675600
AIMCG,20260216,1.63,1.63,1.6,1.61,199800
AIMIRT,20260216,11,11.1,10.9,11.1,700900
AIRA,20260216,0.99,1.01,0.98,0.99,151200
AIT,20260216,5.1,5.15,5.05,5.15,1001000
AJ,20260216,1.79,1.79,1.73,1.75,1567100
AJA,20260216,0.17,0.17,0.16,0.17,2194700
AKP,20260216,0.7,0.71,0.7,0.71,1849000
AKR,20260216,0.87,0.89,0.87,0.89,1689400
AKS,20260216,0.02,0.03,0.02,0.02,264000
ALLA,20260216,1.22,1.22,1.19,1.21,209100
ALLY,20260216,4.5,4.52,4.5,4.52,590800
ALPHAX,20260216,0.5,0.54,0.49,0.52,30320400
ALT,20260216,1.19,1.2,1.16,1.19,766500
ALUCON,20260216,201,201,201,201,100
AMA,20260216,4.2,4.2,4.18,4.18,102900
AMANAH,20260216,0.77,0.8,0.77,0.79,242900
AMARC,20260216,2.86,2.86,2.74,2.78,2245800
AMARIN,20260216,2.56,2.6,2.34,2.6,8500
AMATA,20260216,18.4,18.8,18.1,18.2,17867500
AMATAR,20260216,6.7,6.75,6.65,6.7,144600
AMATAV,20260216,1.88,1.89,1.87,1.88,84700
AMC,20260216,2.08,2.08,2.06,2.06,13900
AMR,20260216,0.4,0.41,0.4,0.41,402500
ANAN,20260216,0.46,0.46,0.44,0.45,2562700
ANI,20260216,3,3,2.94,2.98,24700
AOT,20260216,58,58.25,56.25,56.25,52599200
AP,20260216,9.25,9.4,9.25,9.25,7746300
APCO,20260216,2.8,2.86,2.8,2.82,15100
APCS,20260216,1.27,1.27,1.27,1.27,2100
APO,20260216,1.94,2,1.94,1.99,968000
APP,20260216,2.76,2.8,2.76,2.78,231800
APURE,20260216,2.04,2.08,2,2.04,188700
AQUA,20260216,0.16,0.16,0.14,0.15,7462200
ARIN,20260216,0.66,0.69,0.64,0.65,5530100
ARIP,20260216,0.44,0.47,0.44,0.45,1000800
ARROW,20260216,5.1,5.2,5.1,5.2,47300
AS,20260216,2.96,3.12,2.96,3.08,4073200
ASAP,20260216,1.21,1.21,1.17,1.2,7600
ASEFA,20260216,3.52,3.54,3.5,3.5,135700
ASIAN,20260216,7.6,7.95,7.6,7.85,2119200
ASIMAR,20260216,1.62,1.62,1.55,1.56,152200
ASK,20260216,9.05,9.4,9.05,9.35,2608400
ASN,20260216,0.77,0.78,0.77,0.78,14700
ASP,20260216,2.16,2.22,2.16,2.2,549900
ASW,20260216,7,7,6.9,6.95,134200
ATLAS,20260216,1.86,1.9,1.82,1.88,9421200
ATP30,20260216,0.9,0.93,0.9,0.92,448800
AU,20260216,5.4,5.5,5.25,5.35,1664400
AUCT,20260216,5.2,5.45,5.2,5.45,688100
AURA,20260216,13.4,13.6,13.4,13.5,1724300
AWC,20260216,2.54,2.58,2.48,2.54,46087800
AXTRART,20260216,13,13,12.9,12.9,671100
AYUD,20260216,38.5,38.75,38.25,38.75,6300
B,20260216,0.04,0.05,0.04,0.04,2864900
B-WORK,20260216,5.3,5.3,5.25,5.25,113800
B52,20260216,0.3,0.33,0.3,0.33,37400
BA,20260216,17.2,17.7,17.1,17.5,6952700
BAFS,20260216,9.35,9.5,9.3,9.45,202000
BAM,20260216,7.65,7.75,7.6,7.65,11974800
BANPU,20260216,5.75,5.8,5.65,5.8,38149000
BAREIT,20260216,10.9,11.1,10.8,10.9,1174400
BAY,20260216,25.75,25.75,25.5,25.5,56100
BBGI,20260216,3.14,3.2,3.12,3.2,1263900
BBIK,20260216,18.9,18.9,18.2,18.3,2128800
BBL,20260216,163.5,165,163,164,12875628
BC,20260216,0.75,0.77,0.75,0.77,122200
