<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260108,11.49,11.49,11.3,11.49,110
2I01BSET50-O,20260108,4.61,4.64,4.61,4.64,51
2X01BSET50-O,20260108,5.1,5.1,5.06,5.06,110
BMSCITH-O,20260108,9.84,9.84,9.84,9.84,12
CHINA-O,20260108,6.91,6.91,6.91,6.91,1
GLD-O,20260108,5.54,5.68,5.51,5.51,528
TDEX-O,20260108,8.36,8.36,8.29,8.29,565
UBOT-O,20260108,14.11,14.11,12,12,19
1DIV,20260108,11.49,11.49,11.41,11.49,16700
1I01BSET50,20260108,4.82,4.84,4.82,4.84,900
2I01BSET50,20260108,4.64,4.67,4.6,4.66,550700
2X01BSET50,20260108,5.06,5.1,5.03,5.03,345300
BMSCITH,20260108,9.84,9.85,9.74,9.75,64400
BSET100,20260108,9.1,9.13,9.05,9.05,11400
CHINA,20260108,6.95,6.95,6.88,6.93,93900
GLD,20260108,5.54,5.54,5.51,5.52,2084200
TDEX,20260108,8.37,8.37,8.27,8.3,2050200
UBOT,20260108,14.09,14.09,14.09,14.09,100
UHERO,20260108,9.39,9.39,9.39,9.39,200
2S,20260108,2.44,2.44,2.42,2.44,6400
3BBIF,20260108,6.5,6.55,6.45,6.5,3510400
88TH,20260108,4.46,4.54,4.42,4.44,1450100
A,20260108,4.86,4.86,4.86,4.86,100
A5,20260108,1.85,1.85,1.83,1.84,3300
AAI,20260108,4.22,4.22,4.14,4.14,957800
AAV,20260108,1.19,1.19,1.16,1.16,48984600
ABM,20260108,0.63,0.65,0.62,0.65,16300
ACC,20260108,0.46,0.46,0.44,0.44,1450800
ACE,20260108,1.3,1.3,1.29,1.29,877800
ACG,20260108,0.56,0.58,0.56,0.58,10100
ADB,20260108,0.57,0.58,0.56,0.58,151700
ADD,20260108,3.2,3.2,3.18,3.2,11000
ADVANC,20260108,317,322,316,322,3192700
ADVICE,20260108,5.8,5.8,5.7,5.75,380400
AE,20260108,0.09,0.1,0.08,0.1,882600
AEONTS,20260108,98.75,100.5,98,99.25,1024800
AF,20260108,0.31,0.32,0.3,0.31,19000
AFC,20260108,3.5,3.54,3.5,3.5,600
AGE,20260108,1.23,1.24,1.23,1.24,599500
AH,20260108,12.9,13.1,12.8,12.8,106000
AHC,20260108,13.3,13.3,13.3,13.3,300
AI,20260108,3.02,3.02,3,3,162200
AIE,20260108,1.02,1.03,1,1,697700
AIMCG,20260108,1.72,1.72,1.69,1.7,98000
AIMIRT,20260108,10.9,10.9,10.8,10.8,198800
AIRA,20260108,1.4,1.4,1.4,1.4,300
AIT,20260108,5,5.05,4.96,4.96,646400
AJ,20260108,1.98,2.06,1.96,1.96,2039200
AJA,20260108,0.17,0.18,0.17,0.18,2614900
AKP,20260108,0.6,0.6,0.59,0.59,136500
AKR,20260108,0.87,0.87,0.86,0.87,2519400
AKS,20260108,0.02,0.02,0.01,0.02,1041800
ALLA,20260108,1.18,1.18,1.16,1.16,103300
ALLY,20260108,4.46,4.48,4.44,4.46,159700
ALPHAX,20260108,0.48,0.51,0.47,0.49,15943400
ALT,20260108,1.06,1.06,1.04,1.06,305700
ALUCON,20260108,196,196,196,196,7200
AMA,20260108,4.1,4.14,4.1,4.1,137300
AMANAH,20260108,0.76,0.77,0.76,0.76,97100
AMARC,20260108,2.52,2.56,2.48,2.48,692200
AMARIN,20260108,2.2,2.3,1.73,2.26,16500
