<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL01,20260612,28.5,28.75,28,28.75,14890
AAPL03,20260612,3.22,3.26,3.2,3.26,25437
AAPL19,20260612,6.45,6.55,6.4,6.45,444
AAPL80,20260612,9.7,9.8,9.55,9.75,927123
ABBV19,20260612,7.4,7.5,7.4,7.4,15876
ABNB06,20260612,4.26,4.3,4.22,4.3,4576
ADBE03,20260612,1.71,1.71,1.5,1.52,824057
ADBE06,20260612,1.91,1.92,1.69,1.71,3321740
ADVANT19,20260612,5.55,5.65,5.55,5.65,66811
ADVANT23,20260612,3.78,3.82,3.74,3.76,1492312
AFRM03,20260612,2.58,2.74,2.54,2.72,87056
AIA06,20260612,3.14,3.16,3.12,3.14,11429
AIA19,20260612,3.12,3.12,3.1,3.1,16550
AIA23,20260612,2.4,2.42,2.38,2.38,131993
AMD03,20260612,7.6,8.1,7.5,8.1,175334
AMD23,20260612,6.3,6.75,6.3,6.75,936130
AMD80,20260612,3.08,3.24,3,3.24,22634902
AMGN06,20260612,2.8,2.92,2.8,2.88,56699
AMZN01,20260612,23.4,23.5,22.9,23.4,49224
AMZN03,20260612,3.96,3.96,3.9,3.96,985
AMZN06,20260612,1.99,2,1.94,1.98,166588
AMZN23,20260612,2.64,2.66,2.6,2.66,127907
AMZN80,20260612,1.97,1.99,1.95,1.99,6363469
ANET23,20260612,2.82,2.88,2.78,2.88,634814
ANTA13,20260612,1.91,1.94,1.91,1.91,5101
ANTA23,20260612,1.99,2,1.99,2,9570
APLD03,20260612,4.38,4.62,4.2,4.56,552734
APPL03,20260612,2.76,2.76,2.62,2.66,589740
ASEMI24,20260612,3.9,3.96,3.82,3.88,771757
ASICS23,20260612,2.74,2.76,2.68,2.68,10755
ASML01,20260612,49.25,55,48.75,51.25,1027111
ASTS03,20260612,3.02,3.42,2.9,3.4,13136515
AVGO23,20260612,2.82,2.9,2.76,2.9,1370399
AVGO80,20260612,2.52,2.58,2.46,2.56,4664942
AXP06,20260612,2.62,2.62,2.56,2.6,20425
BABA01,20260612,10.4,10.7,10.4,10.5,45806
BABA06,20260612,4.6,4.62,4.56,4.62,23321
BABA13,20260612,1.91,1.93,1.9,1.93,82191
BABA23,20260612,3.06,3.14,3.04,3.12,250509
BABA80,20260612,4.6,4.66,4.58,4.64,5495217
BAC03,20260612,3.6,3.64,3.58,3.62,42555
BDX06,20260612,1.65,1.67,1.61,1.65,218903
BIDU01,20260612,10.9,11.3,10.9,11.2,13630
BIDU06,20260612,4.8,4.82,4.8,4.82,14681
BIDU23,20260612,2.28,2.34,2.28,2.34,230330
BIDU80,20260612,4.82,4.86,4.8,4.86,4047723
BILIBILI01,20260612,2.86,2.92,2.82,2.84,2358222
BIREN23,20260612,8.8,8.85,8.4,8.5,424489
BKNG03,20260612,2.22,2.22,2.2,2.22,2921
BKNG80,20260612,2.66,2.72,2.64,2.7,33703
BLK06,20260612,3.38,3.38,3.32,3.34,36632
BONDAS19,20260612,6.45,6.45,6.4,6.45,11592
BRKB80,20260612,1.6,1.6,1.58,1.59,870875
BYDCOM01,20260612,0.82,0.83,0.82,0.83,96162
BYDCOM80,20260612,0.36,0.37,0.36,0.37,7580485
CAMBRI80,20260612,5.9,6.05,5.85,5.9,236725
CATL01,20260612,6.4,6.5,6.35,6.35,2702475
CATL23,20260612,11.3,11.4,11.2,11.4,96897
CATL80,20260612,28,28.75,28,28.75,169025
CCJ23,20260612,2,2.06,1.95,2.04,101089
CEG23,20260612,2.02,2.06,2.02,2.04,301454
CHHONGQ19,20260612,11.4,11.5,11.3,11.3,58498
CHMOBILE19,20260612,3.46,3.46,3.38,3.42,502568
CHMOBILE23,20260612,2.68,2.7,2.64,2.7,7386
CHNXT5023,20260612,8.85,8.9,8.6,8.6,24389
CMBANK23,20260612,2.28,2.32,2.28,2.28,24364
CME03,20260612,2.88,2.94,2.86,2.86,139703
CN01,20260612,24.1,24.4,24,24,14861
CN23,20260612,6.15,6.2,6.05,6.1,17442
CNBIO24,20260612,1.24,1.27,1.24,1.26,6272
CNEV24,20260612,2.24,2.3,2.24,2.3,14000
CNROBOAI23,20260612,2.56,2.62,2.52,2.54,48583
CNSEMI23,20260612,3.78,3.8,3.68,3.76,11821
CNSTAR5023,20260612,8.65,8.7,8.3,8.3,1580
CNTECH01,20260612,25,25.25,25,25.25,54964
COSTCO19,20260612,32.5,32.5,32,32.5,30524
CRM01,20260612,3.12,3.12,3,3,191293
CRM06,20260612,2.26,2.26,2.18,2.2,25235
CRM80,20260612,5.65,5.65,5.45,5.45,78679
CRSP03,20260612,3.34,3.34,3.26,3.3,926923
CRWD06,20260612,4.3,4.56,4.3,4.52,222385
CRWD80,20260612,21.3,22.9,21.3,22.6,599763
CRWV03,20260612,3.16,3.38,3.02,3.28,1566570
CSCO06,20260612,4.92,5.05,4.84,5,479432
CYPC80,20260612,13.6,13.7,13.6,13.7,17853
DASH03,20260612,2.5,2.52,2.44,2.52,4124
DBS19,20260612,16.1,16.2,16.1,16.2,2852
DDOG19,20260612,7.6,7.95,7.55,7.8,638560
DELL19,20260612,12.4,13,12.2,12.8,944067
DISNEY19,20260612,16.2,16.6,16.2,16.6,1499
DUOL06,20260612,2.52,2.54,2.44,2.54,126138
E1VFVN3001,20260612,43.25,43.25,42.75,43,67894
EOSE03,20260612,1.04,1.07,0.98,1.05,8416138
ESTEE80,20260612,0.94,0.97,0.94,0.96,168410
EXPE06,20260612,2.88,2.88,2.88,2.88,14001
FANUC23,20260612,2.66,2.68,2.6,2.62,58948
FCX23,20260612,2.6,2.74,2.58,2.72,604521
FERRARI80,20260612,1.17,1.21,1.17,1.2,780134
FPTVN11,20260612,1.85,1.86,1.83,1.84,113728
FPTVN19,20260612,9.3,9.35,9.3,9.35,71472
FUEVFVND01,20260612,44.5,44.5,44,44,44502
GAC03,20260612,2.02,2.08,2.02,2.02,8013
GANFENG23,20260612,2.6,2.66,2.56,2.64,131860
GASVN11,20260612,4.12,4.32,4.12,4.24,23900
GDS23,20260612,1.97,1.98,1.94,1.95,363008
GEELY06,20260612,3.2,3.24,3.18,3.24,3398
GEELY80,20260612,8.1,8.1,8,8.05,44670
GEV23,20260612,2.66,2.74,2.64,2.74,612173
GIGA23,20260612,10,10,9.2,9.4,117343
GOLD03,20260612,3.16,3.2,3.14,3.14,700784
GOLD19,20260612,12.6,12.7,12.5,12.7,670292
GOLDUS03,20260612,3.1,3.18,3.08,3.18,243831
GOLDUS19,20260612,41.25,42.25,41,42.25,442893
GOOG23,20260612,2.94,2.96,2.84,2.96,684145
GOOG80,20260612,5.85,5.95,5.65,5.9,19750459
GOOGL01,20260612,34.75,35,33.75,34.75,353634
