<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260311,11.87,11.94,11.87,11.88,70
2X01BSET50-O,20260311,6.5,6.5,6.47,6.47,100
BMSCG-O,20260311,7.5,7.5,7.5,7.5,50
BMSCITH-O,20260311,11.99,11.99,11.53,11.53,27
BSET100-O,20260311,10.23,10.5,10.23,10.39,202
CHINA-O,20260311,7.01,7.01,6.99,7,8
GLD-O,20260311,6.46,6.47,6.45,6.45,327
TDEX-O,20260311,9.07,9.18,9.07,9.14,522
UBOT-O,20260311,13.51,13.51,13.51,13.51,1
1DIV,20260311,11.9,11.98,11.84,11.88,65000
1I01BSET50,20260311,4.11,4.15,4.1,4.15,4000
2I01BSET50,20260311,3.4,3.45,3.32,3.45,776500
2X01BSET50,20260311,6.48,6.59,6.39,6.39,493200
ABFTH,20260311,1375,1375,1375,1375,50
BMSCG,20260311,7.87,7.87,7.81,7.81,1100
BMSCITH,20260311,11.53,11.67,11.5,11.5,173600
BSET100,20260311,10.4,10.44,10.35,10.35,35300
CHINA,20260311,7.02,7.03,7,7.03,222500
GLD,20260311,6.47,6.47,6.44,6.44,1357100
TDEX,20260311,9.07,9.19,9.07,9.14,761800
UBOT,20260311,13.69,13.69,13.69,13.69,300
UHERO,20260311,10,10,6.1,8.39,800
2S,20260311,2.68,2.68,2.64,2.66,166100
3BBIF,20260311,6.6,6.65,6.55,6.6,5899300
88TH,20260311,5.3,5.45,5.1,5.1,4016800
A5,20260311,1.85,1.86,1.81,1.84,4500
AAI,20260311,3.56,3.58,3.48,3.5,5132900
AAV,20260311,1.13,1.13,1.1,1.1,102847900
ABM,20260311,0.6,0.63,0.56,0.56,6000
ACC,20260311,0.39,0.41,0.39,0.39,1319600
ACE,20260311,1.27,1.29,1.27,1.28,5401100
ACG,20260311,0.6,0.63,0.6,0.61,65700
ADB,20260311,0.56,0.58,0.56,0.56,108600
ADD,20260311,4.02,4.06,3.98,3.98,40300
ADVANC,20260311,367,368,360,360,5978000
ADVICE,20260311,5.65,5.65,5.5,5.5,1801000
AE,20260311,0.08,0.08,0.07,0.07,2889300
AEONTS,20260311,92,93.5,91.75,91.75,499200
AF,20260311,0.35,0.4,0.35,0.37,7900
AFC,20260311,3.08,3.1,3.06,3.06,5200
AGE,20260311,1.12,1.13,1.09,1.1,2169900
AH,20260311,13.9,14,13.7,14,523600
AI,20260311,2.98,2.98,2.96,2.96,88300
AIE,20260311,1.06,1.07,1.04,1.07,1119500
AIMCG,20260311,1.3,1.3,1.28,1.29,536000
AIMIRT,20260311,11,11.1,10.9,11.1,597400
AIRA,20260311,1.14,1.14,1.13,1.14,105800
AIT,20260311,4.86,4.9,4.82,4.84,1091500
AJ,20260311,1.77,1.9,1.77,1.82,4107100
AJA,20260311,0.17,0.17,0.16,0.17,1055100
AKP,20260311,0.7,0.72,0.7,0.71,474100
AKR,20260311,0.89,0.89,0.88,0.88,1455500
ALLA,20260311,1.21,1.23,1.21,1.21,210000
ALLY,20260311,4.34,4.36,4.3,4.34,175600
ALPHAX,20260311,0.46,0.51,0.44,0.51,39735300
ALT,20260311,0.96,1.02,0.96,1,451200
ALUCON,20260311,217,217,217,217,200
AMA,20260311,3.96,4,3.96,3.96,176700
AMANAH,20260311,0.7,0.72,0.7,0.71,290100
AMARC,20260311,3.52,3.7,3.5,3.52,4120300
AMARIN,20260311,2.7,2.84,2.7,2.84,6200
AMATA,20260311,18.2,19.1,18.2,18.5,23021300
AMATAR,20260311,6.6,6.7,6.6,6.6,119400
AMATAV,20260311,2.04,2.06,2.02,2.04,239900
AMC,20260311,2.02,2.1,2.02,2.1,20800
AMR,20260311,0.35,0.36,0.35,0.35,119700
ANAN,20260311,0.38,0.38,0.37,0.37,802200
ANI,20260311,2.74,2.74,2.62,2.68,40100
AOT,20260311,50,52.5,50,51,58157300
AP,20260311,8.8,8.95,8.7,8.8,10077700
APCO,20260311,2.76,2.78,2.74,2.78,24600
APCS,20260311,1.21,1.21,1.21,1.21,100
APO,20260311,1.94,1.96,1.92,1.92,1055600
APP,20260311,2.58,2.7,2.58,2.62,336400
APURE,20260311,2.2,2.2,2.14,2.18,51100
AQUA,20260311,0.13,0.14,0.13,0.14,23634300
ARIN,20260311,0.52,0.55,0.52,0.52,1632300
ARIP,20260311,0.43,0.44,0.43,0.43,128500
ARROW,20260311,5.2,5.2,5.2,5.2,15100
AS,20260311,2.74,2.78,2.7,2.7,1422500
ASAP,20260311,1.14,1.15,1.13,1.15,13000
ASEFA,20260311,3.94,3.94,3.88,3.9,86700
ASIAN,20260311,7.1,7.2,7.05,7.15,450300
ASIMAR,20260311,1.59,1.66,1.59,1.61,1249400
ASK,20260311,8.55,8.8,8.55,8.7,166600
ASN,20260311,0.74,0.74,0.7,0.71,16200
ASP,20260311,2.06,2.08,2.04,2.06,1893500
ASW,20260311,7.55,7.65,7.45,7.65,309300
ATLAS,20260311,1.75,1.83,1.75,1.77,7623600
ATP30,20260311,0.87,0.88,0.8,0.85,635300
