<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260304,12.24,12.24,11.57,11.65,463
2I01BSET50-O,20260304,3.46,3.63,3.4,3.57,190
2X01BSET50-O,20260304,6.2,6.2,6.16,6.2,157
BMSCG-O,20260304,7.34,7.34,7.34,7.34,50
BMSCITH-O,20260304,11.21,11.36,11.21,11.36,27
BSET100-O,20260304,10.88,10.88,9.93,10.1,234
CHINA-O,20260304,6.88,6.88,6.83,6.83,61
GLD-O,20260304,6.45,6.46,6.42,6.42,1663
TDEX-O,20260304,9.17,9.17,8.7,9,1912
UBOT-O,20260304,14.89,14.89,13.9,13.9,19
1DIV,20260304,12.15,12.15,11.52,11.8,104900
1I01BSET50,20260304,4.2,4.32,4.18,4.19,16800
2I01BSET50,20260304,3.51,3.69,3.48,3.54,3959900
2X01BSET50,20260304,6.34,6.34,5.95,6.27,1470700
ABFTH,20260304,1385,1385,1385,1385,250
BMSCG,20260304,7.53,7.53,7.33,7.46,47100
BMSCITH,20260304,11.4,11.48,11.03,11.35,402800
BSET100,20260304,10.19,10.22,9.88,10.19,290200
CHINA,20260304,6.94,6.94,6.82,6.83,1224900
GLD,20260304,6.45,6.49,6.4,6.43,7272400
TDEX,20260304,9.2,9.2,8.72,9.01,9014800
UBOT,20260304,14.09,14.09,14,14,200
2S,20260304,2.6,2.6,2.46,2.56,36000
3BBIF,20260304,6.5,6.5,6.35,6.4,39653100
88TH,20260304,4.94,5.05,4.78,4.94,4159400
A5,20260304,1.85,1.85,1.8,1.84,38600
AAI,20260304,3.7,3.78,3.4,3.5,16037200
AAV,20260304,1.06,1.07,1,1.05,357347300
ABM,20260304,0.61,0.63,0.5,0.54,149300
ACC,20260304,0.39,0.42,0.38,0.42,9222100
ACE,20260304,1.29,1.29,1.27,1.27,5459700
ACG,20260304,0.6,0.6,0.57,0.6,201600
ADB,20260304,0.55,0.56,0.53,0.55,305700
ADD,20260304,3.7,3.96,3.44,3.64,188200
ADVANC,20260304,344,362,344,360,17788000
ADVICE,20260304,5.5,5.55,5.1,5.4,6656200
AEONTS,20260304,91.75,92,87,89.75,2498700
AF,20260304,0.33,0.35,0.32,0.34,239600
AGE,20260304,1.08,1.08,0.98,1.01,9503300
AH,20260304,14,14.2,13.1,14.2,270600
AHC,20260304,12.9,13.6,12.9,13.1,4800
AI,20260304,2.94,2.96,2.9,2.94,307900
AIE,20260304,0.9,0.99,0.9,0.97,2185200
AIMCG,20260304,1.36,1.36,1.29,1.3,441900
AIMIRT,20260304,11.1,11.1,10.8,11.1,1598200
AIRA,20260304,1.12,1.12,1.1,1.11,37200
AIT,20260304,4.86,4.88,4.72,4.84,3607800
AJ,20260304,1.6,1.63,1.51,1.58,1806600
AJA,20260304,0.16,0.16,0.15,0.16,4511600
AKP,20260304,0.7,0.7,0.63,0.66,2617300
AKR,20260304,0.89,0.89,0.86,0.87,5797200
ALLA,20260304,1.21,1.21,1.13,1.18,4982200
