<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260226,12.46,12.46,12.44,12.44,151
2I01BSET50-O,20260226,3.04,3.05,2.99,2.99,190
2X01BSET50-O,20260226,7.45,7.54,7.45,7.54,95
BMSCITH-O,20260226,12.31,12.35,12.31,12.35,128
BSET100-O,20260226,11.04,11.07,11.04,11.07,130
CHINA-O,20260226,6.95,6.98,6.95,6.98,27
GLD-O,20260226,6.31,6.48,6.3,6.32,796
TDEX-O,20260226,9.78,9.82,9.01,9.79,562
1DIV,20260226,12.39,12.44,12.39,12.4,7700
2I01BSET50,20260226,3.02,3.05,2.98,2.98,2057300
2X01BSET50,20260226,7.51,7.57,7.45,7.57,188900
BMSCG,20260226,8.25,8.3,8.25,8.3,13300
BMSCITH,20260226,12.28,12.36,12.24,12.35,611900
BSET100,20260226,11.04,11.09,11.01,11.08,1536900
CHINA,20260226,6.96,6.98,6.94,6.94,34500
GLD,20260226,6.32,6.34,6.31,6.32,1129100
TDEX,20260226,9.71,9.81,9.71,9.79,1713200
UBOT,20260226,18.9,18.9,18.9,18.9,200
UHERO,20260226,10,10,9.75,9.75,400
2S,20260226,2.66,2.74,2.66,2.68,94000
3BBIF,20260226,6.65,6.7,6.6,6.7,9072200
88TH,20260226,5.1,5.45,5,5.4,10003400
A,20260226,4.84,4.84,4.84,4.84,200
A5,20260226,1.82,1.84,1.82,1.84,42300
AAI,20260226,4.22,4.22,4.14,4.18,7179700
AAV,20260226,1.35,1.38,1.33,1.35,133742700
ABM,20260226,0.63,0.65,0.62,0.65,8100
ACC,20260226,0.43,0.43,0.41,0.41,1673100
ACE,20260226,1.3,1.3,1.29,1.29,873800
ACG,20260226,0.62,0.67,0.61,0.64,529200
ADB,20260226,0.59,0.6,0.59,0.6,84400
ADD,20260226,4.06,4.32,3.98,4.12,209900
ADVANC,20260226,404,404,396,404,10983200
ADVICE,20260226,5.9,5.95,5.85,5.85,964700
AE,20260226,0.09,0.1,0.08,0.09,1832500
AEONTS,20260226,98.5,100,98.5,99.25,2266100
AF,20260226,0.4,0.4,0.36,0.38,42900
AFC,20260226,3.04,3.12,3.02,3.08,7400
AGE,20260226,1.42,1.42,1.38,1.4,1492500
AH,20260226,15.3,15.3,14.9,15,189700
AHC,20260226,13.6,13.6,13.5,13.6,3200
AI,20260226,3.06,3.1,3.02,3.08,245300
AIE,20260226,1.1,1.12,1.08,1.09,1823500
AIMCG,20260226,1.44,1.44,1.42,1.43,314400
AIMIRT,20260226,11.3,11.3,11.2,11.3,334400
AIRA,20260226,1.11,1.13,1.11,1.12,100800
AIT,20260226,4.96,5.05,4.94,4.98,1242300
AJ,20260226,1.93,1.93,1.83,1.86,3867400
AJA,20260226,0.17,0.18,0.17,0.17,2135100
AKP,20260226,0.74,0.76,0.74,0.74,4195500
AKR,20260226,0.92,0.92,0.9,0.91,2032200
AKS,20260226,0.02,0.03,0.02,0.02,217600
ALLA,20260226,1.24,1.25,1.23,1.24,64600
ALLY,20260226,4.44,4.44,4.4,4.42,351000
ALPHAX,20260226,0.48,0.49,0.47,0.47,2123100
ALT,20260226,1.12,1.15,1.11,1.13,646100
ALUCON,20260226,220,222,220,222,1800
AMA,20260226,4.2,4.24,4.16,4.22,513000
AMANAH,20260226,0.79,0.8,0.78,0.78,747600
AMARC,20260226,3.5,3.62,3.4,3.54,6936400
AMARIN,20260226,2.56,2.74,2.52,2.74,6400
AMATA,20260226,19.5,19.7,19.3,19.5,19274100
AMATAR,20260226,6.6,6.75,6.6,6.75,56500
AMATAV,20260226,2.38,2.44,2.34,2.38,704500
AMC,20260226,2.12,2.12,2.1,2.1,600
AMR,20260226,0.43,0.44,0.43,0.43,235100
ANAN,20260226,0.42,0.43,0.42,0.42,1030200
ANI,20260226,2.88,2.88,2.82,2.88,38000
AOT,20260226,53,54.5,52.75,54.5,43456200
AP,20260226,9.5,9.55,9.4,9.4,17219800
APCO,20260226,2.8,2.82,2.74,2.78,43200
APCS,20260226,1.35,1.35,1.26,1.26,132700
APO,20260226,2.1,2.1,2.06,2.08,589100
APP,20260226,2.7,2.76,2.7,2.72,294000
APURE,20260226,2.44,2.5,2.4,2.42,172100
AQUA,20260226,0.16,0.16,0.15,0.15,1232800
ARIN,20260226,0.62,0.64,0.62,0.62,2594300
ARIP,20260226,0.46,0.46,0.44,0.44,778500
ARROW,20260226,5.35,5.4,5.3,5.4,34800
AS,20260226,3.34,3.34,3.26,3.28,1569900
ASAP,20260226,1.27,1.35,1.2,1.28,12400
ASEFA,20260226,4.12,4.14,4.1,4.1,116900
ASIA,20260226,6.2,6.2,6.1,6.1,5100
ASIAN,20260226,7.75,7.8,7.65,7.75,872100
ASIMAR,20260226,1.67,1.7,1.67,1.69,230400
ASK,20260226,9.9,10.1,9.9,10.1,1621500
ASN,20260226,0.76,0.77,0.76,0.76,4300
ASP,20260226,2.36,2.38,2.34,2.34,677300
ASW,20260226,7.25,7.8,7.25,7.6,573700
ATLAS,20260226,1.97,1.98,1.92,1.92,9557300
ATP30,20260226,0.94,0.95,0.94,0.95,301500
AU,20260226,5.25,5.3,5.2,5.3,1082600
AUCT,20260226,5.4,5.4,5.35,5.4,249800
AURA,20260226,15.5,16.1,14.8,15.3,4696200
AWC,20260226,2.54,2.56,2.52,2.52,30087000
AXTRART,20260226,13.3,13.4,13.3,13.4,541500
AYUD,20260226,39.5,40,39.25,40,15500
B,20260226,0.04,0.05,0.04,0.04,36342500
B-WORK,20260226,5.45,5.55,5.4,5.55,253900
B52,20260226,0.29,0.3,0.29,0.3,25200
BA,20260226,18.4,18.7,18.2,18.5,4467300
