<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260316,11.92,11.92,11.9,11.9,144
BMSCITH-O,20260316,11.54,11.54,11.54,11.54,1
BSET100-O,20260316,10.3,10.32,10.27,10.27,26
CHINA-O,20260316,7.01,7.01,7.01,7.01,20
GLD-O,20260316,6.41,6.41,6.37,6.37,1368
TDEX-O,20260316,9.14,9.17,9.05,9.17,380
1DIV,20260316,12,12,11.82,11.82,27800
1I01BSET50,20260316,4.15,4.15,4.15,4.15,200
2I01BSET50,20260316,3.37,3.42,3.36,3.41,234300
2X01BSET50,20260316,6.5,6.52,6.4,6.4,73900
BMSCG,20260316,7.6,7.64,7.6,7.64,800
BMSCITH,20260316,11.53,11.63,11.5,11.53,253900
BSET100,20260316,10.3,10.37,10.27,10.3,52500
CHINA,20260316,7.01,7.12,7.01,7.11,130800
GLD,20260316,6.42,6.42,6.36,6.36,3588200
TDEX,20260316,9.11,9.17,9.07,9.14,786900
UBOT,20260316,13.5,13.5,13.49,13.49,1100
2S,20260316,2.52,2.52,2.5,2.52,22300
3BBIF,20260316,6.55,6.6,6.55,6.55,3312400
88TH,20260316,5.2,5.25,5.05,5.2,2090400
A5,20260316,1.84,1.84,1.84,1.84,300
AAI,20260316,3.36,3.4,3.36,3.38,2915100
AAV,20260316,1.12,1.12,1.08,1.09,93126500
ABM,20260316,0.57,0.6,0.55,0.57,56700
ACC,20260316,0.39,0.4,0.39,0.39,1601100
ACE,20260316,1.28,1.29,1.28,1.29,1437900
ACG,20260316,0.62,0.64,0.62,0.63,244000
ADB,20260316,0.59,0.62,0.58,0.59,1482100
ADD,20260316,3.96,4,3.94,4,24700
ADVANC,20260316,365,373,363,370,7357800
ADVICE,20260316,5.55,5.65,5.5,5.55,752300
AE,20260316,0.07,0.08,0.07,0.07,927600
AEONTS,20260316,90,90.5,89,89.75,199300
AF,20260316,0.36,0.37,0.35,0.35,15700
AFC,20260316,3.08,3.18,3.08,3.16,11800
AGE,20260316,1.38,1.43,1.35,1.35,6102000
AH,20260316,13.3,13.3,13.1,13.3,46100
AHC,20260316,12.9,13.4,12.9,13.1,700
AI,20260316,2.98,3.02,2.98,3.02,372100
AIE,20260316,1.19,1.29,1.19,1.27,21399900
AIMCG,20260316,1.3,1.3,1.26,1.27,197400
AIMIRT,20260316,10.8,11,10.8,11,162500
AIRA,20260316,1.13,1.14,1.13,1.14,17600
AIT,20260316,4.82,4.86,4.82,4.86,302800
AJ,20260316,2.62,3.1,2.58,2.82,60277100
AJA,20260316,0.16,0.17,0.16,0.16,5180600
AKP,20260316,0.71,0.72,0.71,0.71,477800
AKR,20260316,0.88,0.9,0.88,0.89,1785400
ALLA,20260316,1.22,1.24,1.2,1.23,397400
ALLY,20260316,4.32,4.32,4.26,4.3,478600
ALPHAX,20260316,0.46,0.48,0.45,0.48,7960300
ALT,20260316,1.05,1.07,1.03,1.05,325400
ALUCON,20260316,218,218,218,218,200
AMA,20260316,3.92,3.96,3.9,3.92,319600
AMANAH,20260316,0.7,0.71,0.68,0.68,411500
AMARC,20260316,3.62,3.62,3.32,3.38,4606900
AMARIN,20260316,2.76,2.9,2.76,2.9,1800
AMATA,20260316,18.4,18.6,18.1,18.4,9390400
AMATAR,20260316,6.6,6.65,6.6,6.65,4600
AMATAV,20260316,2.02,2.02,1.99,2,50600
AMC,20260316,2.02,2.08,2,2.08,16900
AMR,20260316,0.35,0.35,0.34,0.34,43600
ANAN,20260316,0.37,0.37,0.36,0.37,184300
ANI,20260316,2.68,2.7,2.68,2.7,117600
AOT,20260316,49,49,48,48.25,39618400
AP,20260316,8.55,8.75,8.55,8.65,7689100
APCO,20260316,2.76,2.78,2.76,2.78,5600
APCS,20260316,1.19,1.2,1.19,1.2,500
APO,20260316,2.18,2.46,2.18,2.46,12085800
APP,20260316,2.64,2.68,2.62,2.64,265100
APURE,20260316,2.12,2.14,2.1,2.14,19600
AQUA,20260316,0.14,0.14,0.12,0.14,5241200
ARIN,20260316,0.5,0.51,0.48,0.49,1370400
ARIP,20260316,0.43,0.45,0.43,0.43,82600
ARROW,20260316,5.1,5.2,5.1,5.15,6800
AS,20260316,2.66,2.78,2.66,2.7,1297600
ASAP,20260316,1.15,1.15,1.13,1.14,17700
ASEFA,20260316,3.98,4,3.96,3.98,82400
ASIAN,20260316,7,7.1,6.95,7.05,284000
