<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260312,11.87,11.87,11.87,11.87,10
1I01BSET50-O,20260312,4.19,4.19,4.19,4.19,12
2X01BSET50-O,20260312,6.55,6.55,6.55,6.55,1
BMSCITH-O,20260312,11.45,11.45,11.45,11.45,1
BSET100-O,20260312,10.35,10.4,10.33,10.37,27
CHINA-O,20260312,7.03,7.03,7.03,7.03,55
GLD-O,20260312,6.45,6.47,6.45,6.47,214
TDEX-O,20260312,9.11,9.2,9.04,9.18,333
1DIV,20260312,11.86,11.95,11.83,11.94,35200
1I01BSET50,20260312,4.18,4.18,4.13,4.13,3500
2I01BSET50,20260312,3.48,3.48,3.32,3.32,1945300
2X01BSET50,20260312,6.3,6.61,6.3,6.61,184400
BMSCITH,20260312,11.4,11.63,11.4,11.63,906000
BSET100,20260312,10.25,10.41,10.24,10.41,26000
CHINA,20260312,7.03,7.04,7,7.01,13000
GLD,20260312,6.43,6.46,6.42,6.46,1117700
TDEX,20260312,9.06,9.2,9.03,9.18,577000
2S,20260312,2.44,2.56,2.44,2.54,86500
3BBIF,20260312,6.6,6.65,6.55,6.65,2163700
88TH,20260312,5,5.75,5,5.5,9851600
A5,20260312,1.83,1.84,1.83,1.84,600
AAI,20260312,3.5,3.5,3.42,3.46,3263800
AAV,20260312,1.09,1.12,1.07,1.1,135322700
ABM,20260312,0.59,0.63,0.59,0.6,8100
ACC,20260312,0.4,0.4,0.39,0.4,635300
ACE,20260312,1.28,1.29,1.28,1.29,675000
ACG,20260312,0.61,0.62,0.61,0.61,101000
ADB,20260312,0.56,0.58,0.56,0.58,1900
ADD,20260312,3.98,4.02,3.96,4,12200
ADVANC,20260312,357,368,357,368,4857800
ADVICE,20260312,5.5,5.6,5.45,5.6,818600
AE,20260312,0.08,0.08,0.07,0.08,7670000
AEONTS,20260312,91.5,91.75,90,91.25,415700
AF,20260312,0.36,0.37,0.35,0.37,22000
AFC,20260312,3.08,3.08,3.08,3.08,500
AGE,20260312,1.11,1.16,1.11,1.14,3446900
AH,20260312,13.3,13.4,13.2,13.3,354900
AI,20260312,2.96,2.96,2.94,2.94,88100
AIE,20260312,1.07,1.14,1.06,1.11,10207000
AIMCG,20260312,1.29,1.31,1.29,1.3,76900
AIMIRT,20260312,10.9,11.1,10.9,11.1,79400
AIRA,20260312,1.14,1.14,1.14,1.14,1400
AIT,20260312,4.84,4.86,4.8,4.82,1154500
AJ,20260312,1.84,2.04,1.83,2,6497600
AJA,20260312,0.16,0.17,0.16,0.17,948400
AKP,20260312,0.71,0.72,0.7,0.71,335400
AKR,20260312,0.89,0.89,0.88,0.89,607500
ALLA,20260312,1.21,1.22,1.2,1.22,142900
ALLY,20260312,4.32,4.34,4.26,4.32,129800
ALPHAX,20260312,0.51,0.53,0.5,0.53,23062000
ALT,20260312,1,1.02,0.98,1.02,246500
ALUCON,20260312,217,217,217,217,300
AMA,20260312,3.98,4.02,3.96,4,123500
AMANAH,20260312,0.69,0.71,0.69,0.7,643300
AMARC,20260312,3.54,3.72,3.44,3.66,6453200
AMARIN,20260312,2.56,3.48,2.56,2.94,295600
AMATA,20260312,18.3,18.8,18.2,18.7,13531000
AMATAR,20260312,6.5,6.65,6.5,6.65,4500
AMATAV,20260312,2.06,2.06,2,2.04,78300
AMC,20260312,2.04,2.08,2.04,2.08,23300
AMR,20260312,0.35,0.36,0.34,0.35,200900
ANAN,20260312,0.38,0.38,0.37,0.38,1800800
ANI,20260312,2.68,2.72,2.62,2.7,15100
AOT,20260312,50.25,50.75,49.5,50.5,38813700
AP,20260312,8.75,8.8,8.65,8.75,5644100
APCO,20260312,2.76,2.78,2.72,2.78,11600
APCS,20260312,1.19,1.19,1.19,1.19,100
APO,20260312,1.9,1.99,1.89,1.98,908700
APP,20260312,2.6,2.66,2.6,2.66,237600
APURE,20260312,2.14,2.2,2.12,2.2,18100
AQUA,20260312,0.14,0.14,0.13,0.14,851600
ARIN,20260312,0.51,0.54,0.51,0.53,666100
ARIP,20260312,0.42,0.43,0.42,0.43,29600
ARROW,20260312,5.25,5.25,5.2,5.25,6600
AS,20260312,2.6,2.68,2.6,2.68,550600
ASAP,20260312,1.15,1.18,1.15,1.18,10500
ASEFA,20260312,3.92,3.94,3.88,3.92,59200
ASIAN,20260312,7.15,7.15,7.05,7.1,412300
ASIMAR,20260312,1.61,1.65,1.61,1.65,1345100
ASK,20260312,8.65,8.9,8.55,8.8,295200
ASN,20260312,0.71,0.71,0.7,0.71,400
ASP,20260312,2.06,2.1,2.04,2.08,638100
ASW,20260312,7.55,7.6,7.45,7.55,217400
ATLAS,20260312,1.78,1.89,1.76,1.86,14477500
ATP30,20260312,0.85,0.86,0.84,0.86,289200
AU,20260312,4.82,4.94,4.82,4.92,288800
AUCT,20260312,5.1,5.2,5.1,5.15,271700
AURA,20260312,13.3,13.4,12.9,13.4,896600
AWC,20260312,2.04,2.1,2,2.08,87159300
AXTRART,20260312,12.4,12.6,12.4,12.5,1633900
AYUD,20260312,37.25,37.25,36.5,37.25,12500
B,20260312,0.04,0.04,0.03,0.04,3786900
B-WORK,20260312,5.35,5.35,5.3,5.35,124500
B52,20260312,0.26,0.28,0.26,0.28,5100
BA,20260312,13.9,14.2,13.7,14.1,12611100
BAFS,20260312,8.25,8.45,8.25,8.4,73100
BAM,20260312,7.1,7.25,7.05,7.2,9066100
BANPU,20260312,5.85,6.05,5.8,6,108287500
BAREIT,20260312,10.7,10.7,10.6,10.7,373600
BAY,20260312,25.75,26,25.25,25.75,661300
BBGI,20260312,3.76,3.86,3.72,3.84,3220300
BBIK,20260312,20.2,21,20.2,20.9,3820900
BBL,20260312,166,169,166,168.5,5427200
BC,20260312,0.69,0.69,0.68,0.68,34500
BCH,20260312,9.8,9.9,9.7,9.9,9436800
BCP,20260312,36.25,37.75,36,37.75,10774700
BCPG,20260312,6.4,6.5,6.15,6.45,33949400
BCT,20260312,44,44,44,44,800
BDMS,20260312,18.5,18.8,18.4,18.7,123636100
BE8,20260312,5.55,5.65,5.45,5.65,477000
BEAUTY,20260312,0.34,0.37,0.34,0.36,9832100
BEC,20260312,1.98,2.06,1.98,2.02,704100
BEM,20260312,5.25,5.45,5.25,5.45,43900100
BEYOND,20260312,8.75,8.75,8.6,8.6,41200
BGC,20260312,4.32,4.42,4.32,4.42,161300
BGRIM,20260312,11.4,12,11.3,11.8,26958100
BGT,20260312,0.4,0.4,0.39,0.39,63600
BH,20260312,178,178.5,175,176.5,6964800
BIG,20260312,0.3,0.3,0.29,0.29,740000
BIOTEC,20260312,0.18,0.19,0.18,0.19,1682600
BIS,20260312,1.94,2.06,1.93,2.04,150500
BIZ,20260312,4.8,4.84,4.74,4.8,336600
BJC,20260312,13.4,14.2,13.4,14.1,12209200
BJCHI,20260312,0.56,0.58,0.56,0.57,46100
BKA,20260312,0.87,0.92,0.85,0.9,2134200
BKD,20260312,1.1,1.12,1.09,1.11,35200
BKGI,20260312,1.38,1.38,1.34,1.38,12300
BKIH,20260312,308,311,308,309,25600
BLA,20260312,19.6,19.9,19.5,19.8,757600
BLAND,20260312,0.42,0.43,0.41,0.43,4685200
BLC,20260312,3.92,3.98,3.88,3.92,319000
BLESS,20260312,0.21,0.23,0.21,0.22,119300
BM,20260312,1.01,1.01,0.99,1.01,354300
BOFFICE,20260312,5.2,5.25,5.15,5.25,185000
BOL,20260312,5.05,5.05,5,5.05,34900
BPP,20260312,12,12.6,12,12.5,371700
BPS,20260312,0.41,0.43,0.41,0.42,49400
BR,20260312,1.61,1.61,1.59,1.61,116500
BRI,20260312,1.41,1.42,1.38,1.42,238200
BRR,20260312,3.74,3.92,3.72,3.8,58800
BRRGIF,20260312,3.7,3.7,3.68,3.7,181800
BSBM,20260312,0.57,0.58,0.55,0.56,54300
BSM,20260312,0.36,0.45,0.34,0.38,18000
BTC,20260312,0.2,0.21,0.19,0.21,1637800
BTG,20260312,20,20.9,19.9,20.8,5992000
BTNC,20260312,19.8,19.9,19.2,19.8,9000
BTS,20260312,2.08,2.12,2.04,2.1,48369000
BTSGIF,20260312,2.52,2.54,2.5,2.54,1144100
BTW,20260312,0.09,0.09,0.08,0.09,173300
BUI,20260312,12.7,12.8,12.6,12.7,227100
BVG,20260312,1.7,1.72,1.68,1.68,135200
BWG,20260312,0.34,0.39,0.33,0.38,174892000
BYD,20260312,0.51,0.53,0.5,0.52,4523300
CAZ,20260312,1.54,1.54,1.5,1.54,4900
CBG,20260312,35,36,34.75,35.75,4853900
CCET,20260312,4.74,4.9,4.74,4.86,47124000
CCP,20260312,0.25,0.26,0.25,0.25,242500
CEN,20260312,0.57,0.57,0.55,0.56,173400
CENTEL,20260312,32.75,34.25,32.75,34,3187900
CEYE,20260312,1.49,1.5,1.49,1.5,30100
CFARM,20260312,0.77,0.82,0.76,0.8,1290500
CFRESH,20260312,0.7,0.72,0.69,0.71,185100
CGD,20260312,0.11,0.12,0.11,0.11,431900
CGH,20260312,0.44,0.44,0.43,0.43,272200
CH,20260312,1.66,1.67,1.66,1.66,65400
CHAO,20260312,4.5,4.6,4.4,4.44,219900
CHASE,20260312,0.49,0.5,0.49,0.5,505600
CHAYO,20260312,1.07,1.12,1.06,1.1,1326100
CHEWA,20260312,0.19,0.19,0.18,0.18,70500
CHG,20260312,1.48,1.49,1.46,1.49,15649600
CHIC,20260312,0.29,0.29,0.28,0.29,53700
CHOW,20260312,1.27,1.27,1.23,1.23,33400
CI,20260312,0.32,0.32,0.31,0.32,9000
CIG,20260312,0.02,0.03,0.02,0.03,761200
CITY,20260312,1.23,1.24,1.23,1.23,4300
CIVIL,20260312,0.87,0.91,0.87,0.89,121000
CK,20260312,15.5,15.8,15.3,15.8,4384900
CKP,20260312,2.3,2.38,2.28,2.36,5029200
CM,20260312,1.61,1.62,1.6,1.61,3500
CMAN,20260312,2.68,2.72,2.62,2.72,1468100
CMC,20260312,0.42,0.43,0.42,0.43,6000
CMO,20260312,0.85,0.88,0.78,0.83,2147100
CMR,20260312,1.37,1.38,1.35,1.38,157100
CNT,20260312,1.05,1.09,1.05,1.06,76200
COCOCO,20260312,5.75,5.8,5.7,5.75,688700
COLOR,20260312,1,1,1,1,1000
COM7,20260312,23.4,24.1,23,23.9,17761700
COMAN,20260312,0.55,0.55,0.45,0.55,30700
CPALL,20260312,46.25,47.25,45.75,47.25,31909600
CPANEL,20260312,1.95,2,1.95,2,5700
CPAXT,20260312,14.6,15.8,14.5,15.6,59166000
CPF,20260312,18.7,19.1,18.6,19.1,23710700
CPH,20260312,8.5,8.55,8.4,8.5,119400
CPI,20260312,3.6,3.64,3.58,3.62,3568300
CPL,20260312,0.62,0.65,0.62,0.62,96000
CPN,20260312,63.25,66.5,63,66.5,15987400
CPNCG,20260312,6.2,6.2,6.1,6.15,1032000
CPNREIT,20260312,11.5,11.7,11.4,11.6,2672700
CPR,20260312,2.72,2.76,2.7,2.72,24500
CPT,20260312,0.97,1,0.96,1,75400
CPTREIT,20260312,5.5,5.55,5.5,5.55,61000
CPW,20260312,2.2,2.24,2.14,2.24,106800
CRANE,20260312,0.43,0.43,0.42,0.43,67500
CRC,20260312,17.8,19.1,17.7,18.9,25687800
CRD,20260312,0.34,0.35,0.34,0.35,20700
CREDIT,20260312,16.9,17,16.8,16.9,238700
CSC,20260312,45.25,45.5,45,45.5,14900
CSP,20260312,0.38,0.39,0.38,0.38,16700
CSR,20260312,70,70,70,70,200
CSS,20260312,0.77,0.77,0.76,0.76,267200
CTARAF,20260312,4.6,4.6,4.56,4.58,101000
CTW,20260312,3.02,3.2,3,3.16,154300
CWT,20260312,0.86,0.86,0.84,0.86,550200
D,20260312,2.68,2.72,2.68,2.72,144500
DCC,20260312,1.24,1.24,1.21,1.22,1718200
DCON,20260312,0.22,0.23,0.22,0.23,895500
DDD,20260312,5.85,6,5.8,5.8,25400
DELTA,20260312,255,262,254,262,13038900
DEMCO,20260312,2.38,2.38,2.36,2.38,26800
DHOUSE,20260312,0.39,0.41,0.39,0.4,20300
DIF,20260312,9.45,9.5,9.45,9.45,4971400
DIMET,20260312,0.05,0.05,0.05,0.05,643000
DITTO,20260312,11,11.3,10.9,11.2,616000
DMT,20260312,11,11.2,11,11.2,960100
DOD,20260312,1.74,1.85,1.74,1.79,2282600
DOHOME,20260312,3.28,3.38,3.22,3.34,12099200
DPAINT,20260312,0.62,0.64,0.62,0.64,162600
