<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2X01BSET50-O,20260409,7.01,7.01,7.01,7.01,23
BMSCITH-O,20260409,12.23,12.23,12.23,12.23,51
BSET100-O,20260409,10.9,10.94,10.9,10.94,46
CHINA-O,20260409,7.01,7.01,7.01,7.01,72
GLD-O,20260409,6.04,6.05,6.02,6.05,574
TDEX-O,20260409,9.57,9.62,9.57,9.58,321
1DIV,20260409,12.3,12.3,12.24,12.25,13300
1I01BSET50,20260409,3.9,3.9,3.9,3.9,12000
2I01BSET50,20260409,3.02,3.03,3.01,3.03,294200
2X01BSET50,20260409,7.1,7.13,7.05,7.07,299400
BMSCG,20260409,7.9,7.9,7.78,7.78,10600
BMSCITH,20260409,12.15,12.3,12.15,12.23,423300
BSET100,20260409,10.89,10.9,10.81,10.81,111100
CHINA,20260409,7.01,7.01,6.95,6.98,5300
GLD,20260409,6.02,6.06,6.01,6.04,1918900
TDEX,20260409,9.63,9.63,9.54,9.57,2182800
UBOT,20260409,12.99,12.99,12.99,12.99,300
2S,20260409,2.68,2.74,2.66,2.7,236500
3BBIF,20260409,6.6,6.65,6.6,6.65,6509800
88TH,20260409,4.9,4.94,4.78,4.82,997200
A5,20260409,1.85,1.85,1.8,1.82,12200
AAI,20260409,3.42,3.44,3.4,3.42,3671500
AAV,20260409,1.11,1.12,1.08,1.1,90857600
ABM,20260409,0.53,0.55,0.49,0.51,385400
ACC,20260409,0.38,0.42,0.37,0.38,26045000
ACE,20260409,1.28,1.29,1.27,1.28,184600
ACG,20260409,0.72,0.72,0.71,0.71,18800
ADB,20260409,0.59,0.6,0.59,0.59,26700
ADD,20260409,3.4,3.44,3.3,3.42,38500
ADVANC,20260409,363,367,362,362,6074200
ADVICE,20260409,5.4,5.4,5.2,5.35,12260200
AE,20260409,0.08,0.08,0.07,0.08,1798700
AEONTS,20260409,94,94.25,91.5,91.75,872600
AF,20260409,0.34,0.35,0.34,0.34,208800
AFC,20260409,2.98,3,2.92,2.98,2300
AGE,20260409,1.17,1.18,1.13,1.15,1776500
AH,20260409,13,13.1,12.7,12.8,248000
AHC,20260409,14,14,13.6,13.6,200
AI,20260409,2.92,2.94,2.92,2.92,15800
AIE,20260409,1.17,1.19,1.16,1.16,1156600
AIMCG,20260409,1.29,1.3,1.27,1.29,279700
AIMIRT,20260409,11.2,11.2,11.1,11.2,74200
AIRA,20260409,1.12,1.12,1.12,1.12,100
AIT,20260409,4.84,4.88,4.82,4.84,384100
AJ,20260409,3.06,3.14,2.92,2.94,7600300
