<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260119,11.62,12.12,11.61,11.62,36
2X01BSET50-O,20260119,5.25,5.37,5.25,5.37,101
BMSCG-O,20260119,7.33,7.33,7.3,7.3,7
BMSCITH-O,20260119,7.5,9.99,7.5,9.99,71
BSET100-O,20260119,9.2,9.3,9.2,9.3,166
CHINA-O,20260119,6.96,6.96,6.96,6.96,32
GLD-O,20260119,5.77,5.78,5.76,5.78,388
TDEX-O,20260119,8.47,8.53,8.44,8.52,638
UHERO-O,20260119,9.59,9.59,9.59,9.59,64
1DIV,20260119,15.02,15.02,11.58,11.58,16100
1I01BSET50,20260119,4.71,4.71,4.67,4.67,1400
2I01BSET50,20260119,4.41,4.43,4.33,4.38,306600
2X01BSET50,20260119,5.28,5.37,5.27,5.35,95500
BMSCG,20260119,7.26,7.33,7.26,7.32,1100
BMSCITH,20260119,9.93,10.03,9.93,10,146100
BSET100,20260119,9.21,9.3,9.21,9.27,10800
CHINA,20260119,6.98,6.99,6.95,6.98,6000
GLD,20260119,5.76,5.78,5.75,5.77,1583000
TDEX,20260119,8.38,8.56,8.38,8.5,555500
UHERO,20260119,9.77,9.77,9.69,9.69,50000
2S,20260119,2.44,2.46,2.42,2.46,1000
3BBIF,20260119,6.4,6.45,6.4,6.45,3475500
88TH,20260119,4.14,4.26,4.14,4.22,1447300
A,20260119,4.82,4.82,4.82,4.82,200
A5,20260119,1.84,1.84,1.75,1.83,92500
AAI,20260119,4.08,4.18,4.06,4.18,2197000
AAV,20260119,1.26,1.26,1.18,1.24,328725900
ABM,20260119,0.63,0.63,0.63,0.63,100
ACC,20260119,0.4,0.41,0.39,0.4,4571900
ACE,20260119,1.29,1.3,1.29,1.3,490900
ACG,20260119,0.57,0.59,0.57,0.58,21600
ADB,20260119,0.59,0.59,0.57,0.59,25200
ADD,20260119,3.22,3.34,3.22,3.34,16700
ADVANC,20260119,343,343,339,340,3213000
ADVICE,20260119,5.65,5.8,5.65,5.75,973300
AE,20260119,0.08,0.1,0.08,0.09,10159100
AEONTS,20260119,100,100,97.5,98,671900
AF,20260119,0.28,0.29,0.27,0.29,11100
AFC,20260119,3.48,3.48,3.44,3.44,1700
AGE,20260119,1.29,1.3,1.28,1.29,93800
AH,20260119,13,13,12.6,12.8,294000
AHC,20260119,13,13,13,13,100
AI,20260119,3,3.02,2.98,3,225300
AIE,20260119,1.02,1.02,1,1.01,641800
AIMCG,20260119,1.69,1.69,1.68,1.68,99100
AIMIRT,20260119,10.5,10.8,10.5,10.7,294800
AIRA,20260119,1.12,1.12,1.11,1.11,10700
AIT,20260119,4.96,4.98,4.92,4.96,502100
AJ,20260119,1.86,1.98,1.86,1.91,3446700
AJA,20260119,0.17,0.17,0.16,0.16,3539700
AKP,20260119,0.61,0.61,0.6,0.6,132000
AKR,20260119,0.86,0.86,0.83,0.84,3015600
AKS,20260119,0.02,0.02,0.01,0.01,660800
ALLA,20260119,1.16,1.17,1.16,1.17,61500
ALLY,20260119,4.34,4.38,4.3,4.32,358700
ALPHAX,20260119,0.5,0.5,0.49,0.5,9152700
ALT,20260119,1.05,1.08,1.05,1.07,214900
ALUCON,20260119,200,200,200,200,100
AMA,20260119,4.1,4.14,4.1,4.14,161900
AMANAH,20260119,0.74,0.75,0.73,0.74,125300
AMARC,20260119,2.42,2.78,2.42,2.7,7243400
AMARIN,20260119,2.14,2.26,2.12,2.26,25700
AMATA,20260119,15.5,15.7,15.3,15.7,7865700
AMATAR,20260119,6.75,6.75,6.7,6.75,3300
AMATAV,20260119,1.79,1.79,1.77,1.78,35900
AMC,20260119,1.99,1.99,1.98,1.98,800
AMR,20260119,0.39,0.4,0.39,0.39,129800
ANAN,20260119,0.41,0.42,0.4,0.41,1497700
ANI,20260119,2.76,2.76,2.7,2.76,87200
AOT,20260119,52,52.25,51.25,51.75,18198600
AP,20260119,8.7,8.8,8.65,8.7,7779200
APCO,20260119,2.8,2.82,2.78,2.8,4300
APCS,20260119,1.4,1.4,1.4,1.4,100
APO,20260119,1.94,1.94,1.85,1.87,1483600
APP,20260119,2.52,2.54,2.5,2.52,494500
APURE,20260119,2.16,2.18,2.14,2.18,170300
AQUA,20260119,0.15,0.16,0.15,0.15,4287900
ARIN,20260119,0.59,0.6,0.57,0.59,3232100
ARIP,20260119,0.44,0.44,0.42,0.43,181800
ARROW,20260119,5,5.05,5,5,8800
AS,20260119,2.72,2.82,2.72,2.78,3043900
ASAP,20260119,1.2,1.2,1.2,1.2,42000
ASEFA,20260119,3.5,3.5,3.44,3.5,12700
ASIA,20260119,5.4,5.45,5.4,5.45,2100
ASIAN,20260119,7.35,7.45,7.25,7.45,389200
ASIMAR,20260119,1.49,1.53,1.47,1.5,97400
ASK,20260119,7.3,7.35,7.25,7.3,534000
ASN,20260119,0.77,0.79,0.77,0.78,4700
ASP,20260119,2.02,2.04,2,2.04,271100
ASW,20260119,5.95,6,5.95,6,57000
ATLAS,20260119,1.64,1.66,1.63,1.65,4269200
ATP30,20260119,0.85,0.85,0.84,0.84,420200
AU,20260119,5,5.1,5,5.1,536500
AUCT,20260119,5.25,5.25,5.15,5.15,509900
AURA,20260119,13.2,13.6,13.2,13.4,836800
AWC,20260119,2,2.06,2,2.02,26372500
AXTRART,20260119,12.6,12.8,12.6,12.8,1444900
AYUD,20260119,35.5,36.75,35.5,36.5,18600
B,20260119,0.05,0.05,0.03,0.04,2563200
B-WORK,20260119,5.05,5.1,5,5.1,289600
B52,20260119,0.4,0.4,0.4,0.4,172900
BA,20260119,15.3,15.6,15.1,15.4,5638900
BAFS,20260119,8.55,8.6,8.45,8.6,152700
BAM,20260119,7.95,8.15,7.9,8.15,10613600
BANPU,20260119,5.3,5.35,5.2,5.3,38990000
BAREIT,20260119,10.3,10.3,10.2,10.3,794100
BAY,20260119,25.75,26,25.5,25.75,155500
BBGI,20260119,2.7,2.76,2.68,2.76,461300
BBIK,20260119,14.3,14.7,14.2,14.7,315200
BBL,20260119,171,171.5,169,169.5,4416600
BC,20260119,0.84,0.87,0.8,0.81,35000
BCH,20260119,9.95,10.2,9.8,10.1,19092500
BCP,20260119,29,29.5,28.75,29.25,4644100
BCPG,20260119,7,7.3,7,7.25,9193900
BCT,20260119,59,59,59,59,800
BDMS,20260119,18.9,19.6,18.9,19.5,90579400
BE8,20260119,4.8,5,4.78,4.92,1106200
BEAUTY,20260119,0.44,0.44,0.42,0.42,11328400
BEC,20260119,1.85,1.86,1.83,1.85,583900
BEM,20260119,5.2,5.25,5.15,5.2,31208800
BEYOND,20260119,8.75,8.75,8.5,8.65,7600
BGC,20260119,3.92,3.96,3.92,3.94,393200
BGRIM,20260119,13.7,14,13.7,13.9,7116700
BGT,20260119,0.37,0.39,0.37,0.37,56800
BH,20260119,143,151,142.5,150,7970900
BIG,20260119,0.29,0.3,0.29,0.29,74400
BIOTEC,20260119,0.18,0.18,0.17,0.18,600300
BIS,20260119,1.94,1.97,1.94,1.96,90900
BIZ,20260119,4,4.04,4,4.04,119700
BJC,20260119,13.8,14.3,13.8,14.2,6658100
BJCHI,20260119,0.58,0.6,0.58,0.6,45500
BKA,20260119,0.69,0.75,0.69,0.72,1560700
BKD,20260119,1,1.01,1,1,5600
BKGI,20260119,1.24,1.25,1.24,1.25,51700
BKIH,20260119,300,300,299,300,24500
BLA,20260119,20.6,20.9,20.5,20.7,903200
BLAND,20260119,0.43,0.44,0.43,0.43,1773500
BLC,20260119,4.04,4.08,4,4.06,408600
BLESS,20260119,0.22,0.22,0.2,0.22,1416000
BM,20260119,1.13,1.15,1.12,1.15,367900
