<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL01,20260623,28.75,29.25,28.75,28.75,15019
AAPL03,20260623,3.24,3.32,3.24,3.28,113998
AAPL19,20260623,6.45,6.6,6.45,6.55,248
AAPL80,20260623,9.75,10,9.75,9.75,4252275
ABBV19,20260623,7.15,7.75,7.15,7.7,286886
ABBV80,20260623,7.2,7.7,7.2,7.7,72566
ABNB06,20260623,4.68,4.68,4.54,4.64,20899
ADBE03,20260623,1.42,1.46,1.41,1.45,214342
ADBE06,20260623,1.61,1.64,1.57,1.62,846241
ADVANT19,20260623,6.7,6.7,6.4,6.4,1985384
ADVANT23,20260623,4.48,4.5,4.24,4.26,4242814
AFRM03,20260623,3.04,3.1,2.92,2.92,265455
AIA06,20260623,3.1,3.12,3.08,3.12,1881
AIA19,20260623,3.1,3.1,3.06,3.1,14179
AIA23,20260623,2.38,2.4,2.36,2.4,3921
ALAB01,20260623,6,6.3,5.85,5.85,2844043
AMAT01,20260623,5.75,5.85,5.45,5.45,1661868
AMAT23,20260623,8.35,8.4,7.85,7.95,182679
AMD03,20260623,8.85,9.3,8.6,8.65,148891
AMD23,20260623,7.4,7.7,7.1,7.15,1043828
AMD80,20260623,3.56,3.7,3.42,3.46,21373135
AMGN06,20260623,2.78,2.88,2.78,2.88,144465
AMZN01,20260623,23.6,23.6,22.4,22.5,150682
AMZN03,20260623,4.02,4.02,3.84,3.84,7377
AMZN06,20260623,1.99,1.99,1.9,1.92,157614
AMZN23,20260623,2.68,2.68,2.54,2.54,61113
AMZN80,20260623,2,2,1.9,1.9,12576451
ANET23,20260623,3.12,3.22,3.06,3.08,604732
ANET80,20260623,5.65,5.8,5.5,5.6,1073730
ANTA13,20260623,1.78,1.78,1.76,1.77,204
ANTA23,20260623,1.8,1.81,1.78,1.79,183181
APLD03,20260623,5.1,5.3,4.72,4.78,1848825
APPL03,20260623,2.56,2.64,2.5,2.56,1453300
ASEMI23,20260623,8.9,8.9,8.45,8.7,766418
ASEMI24,20260623,4.46,4.46,4.2,4.22,1946078
ASICS23,20260623,2.58,2.58,2.54,2.56,2308
ASML01,20260623,53,53.75,49.25,49.75,596250
ASTS01,20260623,3.48,3.52,3.04,3.12,3481247
ASTS03,20260623,2.62,2.64,2.28,2.3,11760432
AVGO23,20260623,3.06,3.1,2.82,2.84,3918376
AVGO80,20260623,2.7,2.72,2.5,2.5,7333259
AXP06,20260623,2.8,2.8,2.74,2.74,19651
BABA01,20260623,9.6,9.6,9.5,9.55,65824
BABA06,20260623,4.24,4.24,4.14,4.16,524986
BABA13,20260623,1.77,1.78,1.74,1.74,64270
BABA23,20260623,2.82,2.84,2.78,2.84,300751
BABA80,20260623,4.24,4.24,4.18,4.18,14750251
BAC03,20260623,3.74,3.82,3.74,3.78,47951
BDX06,20260623,1.59,1.59,1.54,1.55,303110
BIDU01,20260623,10.3,10.3,10.2,10.2,53095
BIDU06,20260623,4.52,4.52,4.46,4.46,39270
BIDU23,20260623,2.16,2.16,2.06,2.1,130313
BIDU80,20260623,4.52,4.52,4.4,4.4,5612300
BILIBILI01,20260623,2.52,2.56,2.5,2.5,5228950
BIREN23,20260623,10.6,10.6,10,10.1,1354749
BKNG03,20260623,2.34,2.34,2.28,2.3,100101
BKNG80,20260623,2.82,2.82,2.72,2.74,285630
BLK06,20260623,3.48,3.48,3.44,3.46,22733
BOEING80,20260623,7.35,7.4,7.25,7.3,45946
BONDAS19,20260623,6.5,6.5,6.45,6.5,4802
BONDUS01,20260623,9.6,9.6,9.55,9.6,5347326
BRKB23,20260623,5.4,5.45,5.4,5.45,68
BRKB80,20260623,1.62,1.62,1.61,1.62,2624136
BYDCOM01,20260623,0.74,0.74,0.72,0.74,595782
BYDCOM80,20260623,0.33,0.34,0.32,0.33,11070152
CAMBRI80,20260623,7.15,7.15,6.7,6.8,1410837
CATL01,20260623,6.95,6.95,6.7,6.8,5183820
CATL23,20260623,12.2,12.2,11.9,11.9,146904
CATL80,20260623,30.5,30.5,29.5,29.5,144301
CCJ23,20260623,2.18,2.22,2.12,2.14,422179
CEG23,20260623,2.26,2.3,2.2,2.2,2340872
CHHONGQ19,20260623,9.6,9.6,9.25,9.3,199504
CHMOBILE19,20260623,3.32,3.32,3.3,3.32,247199
CHMOBILE23,20260623,2.58,2.58,2.54,2.56,75971
CHNXT5023,20260623,9.8,9.85,9.55,9.55,129201
CMBANK23,20260623,2.2,2.26,2.18,2.26,40020
CME03,20260623,2.72,2.74,2.68,2.68,13882
CN01,20260623,25.5,25.5,24.8,24.9,77164
CN23,20260623,6.4,6.45,6.3,6.45,830109
CNBIO24,20260623,1.25,1.26,1.24,1.24,94465
CNEV24,20260623,2.24,2.26,2.22,2.22,8614
CNRE80,20260623,2.5,2.5,2.4,2.4,379099
CNROBOAI23,20260623,2.74,2.74,2.66,2.68,200859
CNSEMI23,20260623,4.56,4.56,4.32,4.32,357470
CNSTAR5023,20260623,10,10,9.75,10,8734
CNTECH01,20260623,24.1,24.1,23.7,23.7,243035
