<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV-O,20260302,12.1,12.35,12.1,12.25,332
2I01BSET50-O,20260302,3.11,3.14,3.11,3.14,30
2X01BSET50-O,20260302,7.3,7.32,7.14,7.14,102
BMSCITH-O,20260302,12.17,12.5,12.09,12.09,38
BSET100-O,20260302,10.93,10.93,10.88,10.88,86
CHINA-O,20260302,6.91,6.92,6.91,6.92,17
GLD-O,20260302,6.59,6.72,6.59,6.72,3972
TDEX-O,20260302,9.65,9.75,9.53,9.53,1358
1DIV,20260302,12.3,12.32,12,12.25,114700
1I01BSET50,20260302,3.96,3.98,3.96,3.98,11800
2I01BSET50,20260302,3.1,3.25,3.03,3.25,7052800
2X01BSET50,20260302,7.24,7.42,6.9,6.9,510800
BMSCG,20260302,8.01,8.06,7.89,7.89,7000
BMSCITH,20260302,12.14,12.31,12.01,12.01,1070100
BSET100,20260302,10.93,10.99,10.62,10.62,243800
CHINA,20260302,6.9,6.99,6.89,6.94,717400
GLD,20260302,6.62,6.7,6.58,6.67,12280900
TDEX,20260302,9.65,9.73,9.48,9.48,4071500
UBOT,20260302,14.97,14.97,14.79,14.89,700
UHERO,20260302,8.14,8.58,8.14,8.58,1500
2S,20260302,2.64,2.68,2.58,2.58,150200
3BBIF,20260302,6.55,6.65,6.55,6.55,12122400
88TH,20260302,5,5.35,5,5.2,8308800
A5,20260302,1.83,1.83,1.7,1.82,203200
AAI,20260302,4.02,4.06,3.9,3.9,15322700
AAV,20260302,1.2,1.24,1.14,1.15,375417800
ABM,20260302,0.64,0.65,0.62,0.62,21700
ACC,20260302,0.4,0.42,0.4,0.4,3113000
ACE,20260302,1.28,1.3,1.28,1.28,2691100
ACG,20260302,0.63,0.66,0.6,0.61,514100
ADB,20260302,0.59,0.59,0.56,0.56,289800
ADD,20260302,4.06,4.08,3.98,3.98,19900
ADVANC,20260302,377,378,365,365,12678400
ADVICE,20260302,5.6,5.75,5.55,5.6,2234700
AE,20260302,0.09,0.1,0.08,0.09,854400
AEONTS,20260302,96.25,97,93.5,93.5,1996000
AF,20260302,0.36,0.36,0.33,0.34,14300
AFC,20260302,3.24,3.24,3.24,3.24,1000
AGE,20260302,1.15,1.15,1.09,1.09,4623200
AH,20260302,14.5,14.9,14.4,14.5,287000
AHC,20260302,13.5,13.5,12,12.9,9200
AI,20260302,3.02,3.06,3.02,3.04,260500
AIE,20260302,1.09,1.1,1.06,1.06,2126900
AIMCG,20260302,1.36,1.37,1.35,1.36,312500
AIMIRT,20260302,11.3,11.4,11.2,11.2,657000
AIRA,20260302,1.13,1.13,1.12,1.12,36500
AIT,20260302,4.88,5,4.88,4.92,1360900
AJ,20260302,1.75,1.75,1.6,1.63,4126700
AJA,20260302,0.17,0.18,0.17,0.17,9656500
AKP,20260302,0.71,0.72,0.7,0.7,1476000
AKR,20260302,0.9,0.91,0.89,0.9,3765300
AKS,20260302,0.02,0.03,0.02,0.03,4842900
ALLA,20260302,1.22,1.23,1.2,1.21,1559300
ALLY,20260302,4.4,4.44,4.36,4.36,955800
ALPHAX,20260302,0.45,0.47,0.43,0.43,5248300
ALT,20260302,1.08,1.11,0.99,1,1486800
ALUCON,20260302,220,220,217,217,600
AMA,20260302,4.18,4.22,4.16,4.2,1041600
AMANAH,20260302,0.75,0.76,0.73,0.74,1845600
AMARC,20260302,3.4,3.5,3.38,3.4,3636800
AMATA,20260302,18.6,19.2,18.2,18.2,28151000
AMATAR,20260302,6.6,6.7,6.6,6.6,173100
AMATAV,20260302,2.26,2.26,2.1,2.12,431800
AMC,20260302,2.04,2.14,2.04,2.14,38100
AMR,20260302,0.33,0.39,0.33,0.36,421200
ANAN,20260302,0.41,0.42,0.39,0.39,3214800
ANI,20260302,2.76,2.86,2.76,2.78,666200
AOT,20260302,51.25,52.75,51.25,51.5,55423300
AP,20260302,9,9.15,8.7,8.8,18929300
APCO,20260302,2.78,2.8,2.74,2.8,17100
APCS,20260302,1.29,1.3,1.29,1.3,200
APO,20260302,1.78,1.97,1.74,1.85,3825800
APP,20260302,2.66,2.7,2.62,2.64,787800
APURE,20260302,2.3,2.36,2.26,2.28,207400
AQUA,20260302,0.15,0.15,0.14,0.15,4140200
ARIN,20260302,0.59,0.6,0.55,0.56,2763800
ARIP,20260302,0.45,0.49,0.44,0.46,275700
ARROW,20260302,5.45,5.45,5.35,5.35,64200
AS,20260302,2.92,2.98,2.82,2.84,2395200
ASAP,20260302,1.2,1.2,1.17,1.17,51400
ASEFA,20260302,4.12,4.16,4.06,4.14,431800
ASIA,20260302,6.1,6.1,6.05,6.05,3700
ASIAN,20260302,7.4,7.6,7.4,7.45,1467600
ASIMAR,20260302,1.55,1.62,1.55,1.6,126000
ASK,20260302,9.2,9.3,9,9,1153300
ASN,20260302,0.75,0.75,0.72,0.72,22300
ASP,20260302,2.2,2.24,2.16,2.16,2935700
ASW,20260302,7.55,8.2,7.55,7.8,1493200
ATLAS,20260302,1.85,1.9,1.82,1.82,8654500
ATP30,20260302,0.94,0.94,0.91,0.92,838700
AU,20260302,5.05,5.1,4.96,5,1856600
AUCT,20260302,5.3,5.3,5.15,5.25,1302300
AURA,20260302,15.6,15.7,14.1,14.7,4739900
AWC,20260302,2.34,2.4,2.22,2.26,161501900
AXTRART,20260302,13.2,13.2,12.9,12.9,442500
AYUD,20260302,38.75,38.75,37.25,37.5,30000
B,20260302,0.04,0.05,0.03,0.05,21358400
B-WORK,20260302,5.55,5.6,5.5,5.5,565500
B52,20260302,0.32,0.32,0.26,0.29,119200
BA,20260302,16.2,16.7,15.7,15.7,29695100
BAFS,20260302,9.25,9.4,9,9.15,729600
BAM,20260302,7.3,7.45,7.15,7.3,34560600
BANPU,20260302,5.65,5.7,5.5,5.55,73856400
BAREIT,20260302,11.1,11.4,11.1,11.4,1063400
BAY,20260302,26.25,26.5,25.75,25.75,1431000
BBGI,20260302,3.18,3.4,3.18,3.36,2242400
BBIK,20260302,21.6,22.2,20.7,20.7,4533800
BBL,20260302,173.5,176,173.5,174,17711500
BC,20260302,0.71,0.71,0.69,0.7,700
BCH,20260302,10.6,10.7,10.1,10.3,29692500
BCP,20260302,38.5,38.5,36.25,36.5,10573800
BCPG,20260302,7.85,8.05,7.65,7.7,26215600
BCT,20260302,48.5,48.5,48,48,3400
BDMS,20260302,20.8,21.3,20.7,20.7,112491500
BE8,20260302,5.65,6,5.6,5.75,1421800
BEAUTY,20260302,0.38,0.38,0.33,0.34,16709000
BEC,20260302,2.12,2.14,2.02,2.04,3100600
BEM,20260302,6,6.2,5.95,5.95,105879200
BEYOND,20260302,8.55,8.8,8.55,8.65,149800
BGC,20260302,4.3,4.6,4.24,4.36,680000
BGRIM,20260302,14.3,14.5,13.3,13.6,55603600
BGT,20260302,0.4,0.41,0.39,0.4,124700
BH,20260302,197.5,198,185,185,17696100
BIG,20260302,0.29,0.3,0.29,0.29,306400
BIOTEC,20260302,0.18,0.19,0.17,0.17,3581300
BIS,20260302,2,2,1.93,1.99,140500
BIZ,20260302,5.2,5.25,5.05,5.2,1721300
BJC,20260302,15.5,15.7,14.9,15,13910900
BJCHI,20260302,0.59,0.6,0.56,0.58,677200
BKA,20260302,0.78,0.78,0.66,0.76,2230500
BKD,20260302,1.22,1.24,1.2,1.23,492700
BKGI,20260302,1.47,1.48,1.41,1.42,892500
BKIH,20260302,312,313,311,311,43500
BLA,20260302,21,21.3,20.7,20.8,3131600
BLAND,20260302,0.47,0.47,0.44,0.44,17033100
BLC,20260302,3.94,3.94,3.86,3.88,574200
BLESS,20260302,0.23,0.23,0.21,0.21,522900
BM,20260302,1.05,1.05,1.02,1.03,2154600
BOFFICE,20260302,5.4,5.4,5.3,5.35,798500
BOL,20260302,5.05,5.15,5,5.05,463500
BPP,20260302,11.9,11.9,11.7,11.7,130000
BPS,20260302,0.42,0.42,0.4,0.4,488000
BR,20260302,1.7,1.7,1.65,1.66,571300
BRI,20260302,1.44,1.49,1.41,1.41,597300
BRR,20260302,3.9,3.9,3.7,3.76,216300
BRRGIF,20260302,3.88,3.88,3.84,3.88,1278800
BSBM,20260302,0.56,0.57,0.55,0.56,302700
BSM,20260302,0.39,0.39,0.38,0.39,8600
BTC,20260302,0.21,0.22,0.2,0.2,19582600
BTG,20260302,21.2,21.8,21.2,21.2,8722400
BTNC,20260302,20,20,19.9,20,8800
BTS,20260302,2.26,2.3,2.18,2.18,112554400
BTSGIF,20260302,2.56,2.56,2.54,2.54,2559300
BTW,20260302,0.1,0.11,0.1,0.1,879000
BUI,20260302,12.9,13.4,12.9,13.1,138600
BVG,20260302,1.73,1.73,1.69,1.71,139500
BWG,20260302,0.31,0.32,0.28,0.29,159757300
BYD,20260302,0.64,0.64,0.55,0.55,29097600
CAZ,20260302,1.58,1.59,1.54,1.58,86100
CBG,20260302,44.5,44.5,41.25,41.25,9808900
CCET,20260302,5.25,5.35,5.05,5.05,50571700
CCP,20260302,0.28,0.28,0.26,0.26,3692900
CEN,20260302,0.71,0.71,0.67,0.7,300400
CENTEL,20260302,36.75,38.25,36.25,36.25,11010600
CEYE,20260302,1.6,1.61,1.59,1.6,6300
CFARM,20260302,0.74,0.75,0.72,0.72,1118800
CFRESH,20260302,0.8,0.8,0.69,0.69,1734400
CGD,20260302,0.11,0.12,0.11,0.11,504600
CGH,20260302,0.43,0.44,0.41,0.43,4725900
CH,20260302,1.7,1.72,1.7,1.7,104700
CHAO,20260302,4.58,4.58,4.46,4.52,214300
CHARAN,20260302,15.8,17.1,15.2,17.1,7900
CHASE,20260302,0.5,0.5,0.48,0.48,3696300
CHAYO,20260302,1.17,1.19,1.12,1.12,11599400
CHEWA,20260302,0.18,0.2,0.18,0.19,1607100
CHG,20260302,1.58,1.61,1.55,1.55,30482100
CHIC,20260302,0.3,0.34,0.28,0.3,116500
CHO,20260302,0.06,0.06,0.05,0.06,456300
CHOW,20260302,1.32,1.32,1.22,1.29,176200
CI,20260302,0.33,0.35,0.33,0.34,142900
CIG,20260302,0.02,0.03,0.02,0.03,2024400
CITY,20260302,1.45,1.48,1.44,1.46,55100
CIVIL,20260302,0.94,0.97,0.91,0.91,529500
CK,20260302,16.7,17.2,16.7,16.8,17343600
CKP,20260302,2.4,2.48,2.36,2.42,22362700
CM,20260302,1.66,1.66,1.61,1.65,127300
CMAN,20260302,2.62,2.66,2.52,2.64,570600
CMC,20260302,0.45,0.47,0.41,0.41,122200
CMO,20260302,0.58,0.72,0.48,0.72,9061000
CMR,20260302,1.49,1.58,1.4,1.41,933000
CNT,20260302,1.11,1.11,1.06,1.07,394700
COCOCO,20260302,5.8,5.95,5.6,5.7,2697700
COLOR,20260302,1.04,1.04,1,1.01,202900
COM7,20260302,23.2,23.9,23.1,23.2,16519000
COMAN,20260302,0.47,0.47,0.43,0.45,343100
CPALL,20260302,50,51.25,50,50,52808000
CPANEL,20260302,1.97,1.97,1.68,1.83,228700
CPAXT,20260302,16.3,17.3,16.3,16.3,72100000
CPF,20260302,20.5,20.7,20.4,20.4,38972000
CPH,20260302,9.5,9.5,9,9,238400
CPI,20260302,3.6,3.6,3.4,3.5,555000
CPL,20260302,0.68,0.68,0.61,0.62,479800
CPN,20260302,67.75,68.75,66.75,67,11930400
CPNCG,20260302,6.25,6.25,6.2,6.2,558700
CPNREIT,20260302,11.9,12,11.8,11.8,3748300
CPR,20260302,2.82,2.88,2.78,2.78,45800
CPT,20260302,0.99,1,0.99,1,17200
CPTREIT,20260302,5.65,5.75,5.55,5.6,165100
CPW,20260302,2.28,2.28,2.24,2.24,635400
CRANE,20260302,0.44,0.44,0.43,0.43,47300
CRC,20260302,20,20.3,19.2,19.8,28274700
CRD,20260302,0.34,0.37,0.34,0.36,908100
CREDIT,20260302,18.5,18.6,17.4,17.4,1159200
CSC,20260302,45.5,45.5,45.25,45.25,8700
CSP,20260302,0.4,0.4,0.38,0.39,29400
CSR,20260302,66.25,68.75,66.25,68.75,1600
CSS,20260302,0.78,0.78,0.76,0.77,2192000
CTARAF,20260302,4.76,4.76,4.74,4.76,10800
CTW,20260302,2.96,3,2.96,3,1100
CWT,20260302,0.9,0.92,0.86,0.86,3889300
D,20260302,2.96,2.96,2.86,2.88,981000
DCC,20260302,1.23,1.24,1.2,1.2,3310300
DCON,20260302,0.23,0.24,0.23,0.23,3533200
DDD,20260302,6.4,6.45,5.85,6.05,43600
DELTA,20260302,275,292,267,267,20694400
DEMCO,20260302,2.32,2.4,2.32,2.34,124900
DEXON,20260302,1.03,1.05,1.02,1.03,22000
DHOUSE,20260302,0.38,0.38,0.37,0.37,9200
DIF,20260302,9.5,9.55,9.45,9.5,17838800
DIMET,20260302,0.05,0.05,0.05,0.05,221100
DITTO,20260302,12.1,12.4,11.6,11.7,3076600
DMT,20260302,11.1,11.2,11,11,25381400
DOD,20260302,1.89,1.95,1.81,1.81,7999400
DOHOME,20260302,3.7,3.78,3.56,3.56,28097500
DPAINT,20260302,0.74,0.74,0.7,0.7,1165000
DREIT,20260302,5.05,5.05,4.96,4.96,392000
DRT,20260302,5,5,4.82,4.82,1255600
DTCENT,20260302,0.95,0.96,0.91,0.92,2225200
DTCI,20260302,19,19,19,19,500
DUSIT,20260302,11.2,11.3,10.8,10.8,953400
DV8,20260302,4.48,4.52,4.4,4.46,461600
EA,20260302,2.88,2.9,2.64,2.66,123771700
EASON,20260302,1.09,1.1,1.07,1.08,2385900
EAST,20260302,0.74,0.74,0.71,0.72,1659400
EASTW,20260302,2.78,2.8,2.64,2.64,4501100
ECF,20260302,0.05,0.06,0.05,0.06,12186200
EFORL,20260302,0.15,0.16,0.14,0.14,7862900
EGATIF,20260302,6.15,6.2,6.1,6.15,854100
EGCO,20260302,120,120,118,119,1841600
EKH,20260302,5.1,5.1,5,5,1548800
EMC,20260302,0.02,0.03,0.02,0.03,4372700
EMPIRE,20260302,0.66,0.69,0.61,0.61,19069700
EP,20260302,1.2,1.22,1.15,1.21,230600
EPG,20260302,3.74,3.86,3.64,3.64,8733800
ERW,20260302,3.02,3.1,2.88,2.96,67929500
ESTAR,20260302,0.22,0.23,0.21,0.21,11345800
ETC,20260302,0.61,0.62,0.59,0.59,7405100
ETE,20260302,0.58,0.62,0.56,0.56,206700
ETL,20260302,0.53,0.53,0.48,0.48,254500
EURO,20260302,4.5,4.5,4.42,4.42,71700
EVER,20260302,0.05,0.06,0.05,0.06,671300
FANCY,20260302,0.3,0.3,0.23,0.25,1009000
FLOYD,20260302,1.13,1.14,1.11,1.13,1257800
FM,20260302,3.78,3.86,3.78,3.78,2344900
FMT,20260302,22.5,22.9,22.3,22.3,6300
FN,20260302,0.46,0.47,0.45,0.46,242700
FNS,20260302,0.93,0.93,0.85,0.86,81700
FORTH,20260302,8.1,8.25,7.4,7.4,6884100
FPI,20260302,1.69,1.79,1.69,1.76,16900
FPT,20260302,6.4,6.6,6.25,6.25,77000
FSMART,20260302,6.8,6.95,6.55,6.55,3332700
FSX,20260302,1.29,1.3,1.12,1.12,447100
FTE,20260302,1.89,1.95,1.89,1.9,381900
FTI,20260302,1.65,1.67,1.6,1.61,263300
FTREIT,20260302,11.6,11.7,11.2,11.2,2864500
FUTURERT,20260302,9.15,9.2,9.1,9.1,442600
FVC,20260302,0.44,0.44,0.36,0.37,7198700
GABLE,20260302,4,4.04,3.92,3.98,1368400
GAHREIT,20260302,4.74,4.76,4.62,4.72,94900
GBX,20260302,0.58,0.6,0.58,0.58,827500
GC,20260302,4.5,4.5,4.44,4.44,328800
GCAP,20260302,0.27,0.28,0.27,0.28,2564700
GEL,20260302,0.03,0.04,0.03,0.04,208200
GENCO,20260302,0.25,0.26,0.25,0.26,427400
GFC,20260302,2.98,3.02,2.9,3.02,37000
GFPT,20260302,9.6,9.7,9.5,9.55,4369800
GGC,20260302,2.96,2.98,2.9,2.9,127700
GJS,20260302,0.1,0.11,0.1,0.1,1250000
GLOBAL,20260302,7.3,7.5,7.2,7.25,10746500
GLORY,20260302,0.58,0.67,0.58,0.59,33800
GPI,20260302,1.61,1.68,1.61,1.64,334200
GPSC,20260302,39.5,40,38,38,29342900
GRAMMY,20260302,4.14,4.14,4.1,4.12,2800
GRAND,20260302,0.03,0.04,0.03,0.03,1917800
GREEN,20260302,0.61,0.62,0.6,0.6,198100
GROREIT,20260302,7.95,8.05,7.95,8.05,85000
GTB,20260302,0.7,0.71,0.69,0.7,82000
GTV,20260302,0.04,0.05,0.04,0.04,14594000
GULF,20260302,57.25,59.25,56.75,57.5,132521800
GUNKUL,20260302,2.3,2.34,2.2,2.22,89366000
GVREIT,20260302,6.6,6.6,6.5,6.55,568300
